,pain-questions,pregnancy-questions,period-questions,sexual-intercourse-questions,vision-questions,stomach-questions,penis-questions,swelling-questions,drinking-questions,skin-questions
0,177,124,122,62,65,35,33,35,44,57
1,148,129,118,83,71,44,40,32,35,39
2,151,111,106,80,68,45,30,52,47,36
3,135,100,101,46,55,46,32,39,40,28
4,121,101,113,52,43,46,22,29,30,30
5,133,125,97,87,44,42,44,39,29,36
6,165,138,133,97,58,41,59,64,34,43
7,131,150,130,69,63,32,44,51,48,46
8,139,120,140,42,62,25,43,35,37,28
9,286,228,238,79,109,78,76,71,77,63
10,218,175,174,66,97,72,67,59,61,58
11,185,160,159,104,91,59,58,41,60,70
12,1989,1661,1631,867,826,565,548,547,542,534
