pain-questions,2264
pregnancy-questions,1770
period-questions,1675
sexual-intercourse-questions,891
vision-questions,865
skin-questions,794
stomach-questions,590
surgery-questions,583
drinking-questions,568
penis-questions,565
swelling-questions,562
head-questions,547
leg-questions,525
movement-questions,522
drug-questions,519
pressure-questions,507
vagina-questions,485
baby-questions,482
food-questions,463
ck-questions,461
cancer-questions,454
eyes-questions,452
tic-questions,442
infection-questions,438
hand-questions,428
arm-questions,422
antibiotic-questions,412
weight-questions,398
ears-questions,397
foot-questions,394
headache-questions,388
coldness-questions,387
burn-questions,384
walking-questions,377
exercise-questions,375
birth-control-questions,371
breast-questions,367
throat-questions,346
diet-questions,343
fever-questions,338
diabetes-questions,329
blood-pressure-questions,328
chest-questions,322
cough-questions,305
neck-questions,296
ejaculation-questions,289
insurance-questions,283
nausea-questions,281
hair-questions,276
tooth-questions,274
heart-questions,270
injection-questions,264
mouth-questions,261
herpes-questions,260
muscle-questions,257
finger-questions,254
pregnancy-test-questions,250
nose-questions,242
running-questions,241
knee-questions,239
spotting-questions,236
cramps-questions,226
rash-questions,226
itch-questions,225
urination-questions,221
stress-questions,216
flu-questions,215
lump-questions,214
healing-questions,210
smoking-questions,208
anxiety-questions,205
vitamin-questions,202
dizziness-questions,201
condom-questions,198
yeast-infection-questions,197
diarrhea-questions,196
family-questions,193
masturbation-questions,192
depression-questions,184
over-the-counter-questions,184
vomit-questions,184
injury-questions,183
fear-questions,182
smell-questions,180
virus-questions,176
blood-test-questions,174
shoulder-questions,173
allergy-questions,172
back-pain-questions,171
sweating-questions,170
anus-questions,169
erection-questions,169
oil-questions,162
ovulation-questions,157
bruise-questions,154
birth-control-pill-questions,151
dog-questions,151
testicle-questions,150
shingles-questions,148
tenderness-questions,147
blister-questions,143
ankle-questions,140
bowel-movement-questions,140
toe-questions,139
acne-questions,138
cyst-questions,138
menopause-questions,138
lip-questions,137
liver-questions,133
kidney-questions,132
milk-questions,130
sore-questions,130
bladder-questions,129
high-blood-pressure-questions,127
fatigue-questions,125
ovary-questions,123
thyroid-questions,123
reaction-questions,122
sperm-questions,122
thigh-questions,120
hysterectomy-questions,119
weight-loss-questions,119
cholesterol-questions,115
arthritis-questions,113
brain-questions,112
meal-questions,111
ibuprofen-questions,109
drowsiness-questions,107
sexually-transmitted-disease-questions,107
fertility-questions,105
bloating-questions,104
nipple-questions,103
irregularity-questions,102
short-stature-questions,102
bacterium-questions,101
blood-sugar-questions,101
sore-throat-questions,101
nerve-questions,99
weakness-questions,99
orgasm-questions,98
sinus-questions,98
swallow-questions,98
migraine-questions,97
fracture-questions,96
tongue-questions,95
confusion-questions,93
