source,target,value
allergy,immunotherapy,1
allergy,cats,5
allergy,drug,13
allergy,over,4
allergy,pregnancy,3
allergy,food,7
allergy,baby,1
allergy,arm,1
allergy,lymph,1
allergy,sinus,3
allergy,swelling,11
allergy,dizziness,2
allergy,memory,1
allergy,mold,2
allergy,pets,1
allergy,shellfish,5
allergy,asthma,5
allergy,injection,7
allergy,sulfur,1
allergy,fish,1
allergy,oil,2
allergy,blood,1
allergy,period,2
allergy,coldness,9
allergy,stuffy,2
allergy,dog,3
allergy,mite,1
allergy,peanut,2
allergy,peanut,4
allergy,reaction,5
allergy,vaccines,2
allergy,cough,8
allergy,antibiotic,6
allergy,eyes,13
allergy,fever,5
allergy,impetigo,1
allergy,neck,2
allergy,shoulder,1
allergy,nasal,3
allergy,antidepressant,1
allergy,exercise,1
allergy,headache,1
allergy,weakness,1
allergy,mouth,2
allergy,nose,12
allergy,sore,2
allergy,throat,7
allergy,diet,5
allergy,milk,2
allergy,anaphylaxis,1
allergy,egg,1
allergy,lump,1
allergy,shock,2
allergy,acne,1
allergy,ears,2
allergy,tinnitus,1
allergy,flu,1
allergy,soy,2
allergy,vagina,1
allergy,yeast,2
allergy,hives,3
allergy,shingles,1
allergy,welt,1
allergy,air,1
allergy,blood,1
allergy,cramps,1
allergy,diarrhea,1
allergy,eyelid,2
allergy,mucus,5
allergy,pink,1
allergy,hay,2
allergy,runny,4
allergy,watery,1
allergy,hand,3
allergy,fingernail,1
allergy,scrape,1
allergy,sweating,1
allergy,dairy,1
allergy,drinking,2
allergy,sinus,8
allergy,vision,6
allergy,penis,1
allergy,h,1
allergy,hormone,1
allergy,orgasm,1
allergy,bacterium,1
allergy,drainage,4
allergy,virus,1
allergy,chest,4
allergy,lightheadedness,1
allergy,tightness,1
allergy,vomit,1
allergy,cold,1
allergy,acetaminophen,2
allergy,ankle,1
allergy,sprain,1
allergy,running,3
allergy,spitting,1
allergy,biopsy,1
allergy,burn,6
allergy,inflammation,1
allergy,lip,2
allergy,amoxicillin,2
allergy,cephalexin,1
allergy,ibuprofen,1
allergy,honey,1
allergy,cavity,1
allergy,tooth,2
allergy,x,2
allergy,electrogastrogram,1
allergy,tetanus,1
allergy,vaccination,1
allergy,whooping,1
allergy,hair,2
allergy,postpartum,1
allergy,tattoo,1
allergy,congestive,1
allergy,kidney,1
allergy,rash,2
allergy,thigh,1
allergy,walking,3
allergy,high,1
allergy,penicillin,3
allergy,medicare,1
allergy,jaw,1
allergy,pain,3
allergy,family,1
allergy,allergic,3
allergy,tongue,2
allergy,pneumonia,1
allergy,pork,2
allergy,wheat,1
allergy,nausea,1
allergy,stomach,3
allergy,immunization,1
allergy,exercise,1
allergy,immune,1
allergy,lung,1
allergy,movement,1
allergy,fear,1
allergy,itch,2
allergy,urination,1
allergy,skin,2
allergy,syrup,2
allergy,aloe,1
allergy,vitamin,1
allergy,zinc,1
allergy,cyst,1
allergy,foot,1
allergy,long,1
allergy,sting,1
allergy,mood,1
allergy,laryngitis,1
allergy,vertigo,1
allergy,steroid,1
allergy,almond,2
allergy,lotion,1
allergy,ear,1
allergy,meat,1
allergy,tick,1
allergy,maple,1
allergy,scalp,1
allergy,celiac,1
allergy,failure,1
allergy,food,1
allergy,weight,1
allergy,knee,1
allergy,poisoning,1
allergy,tonsil,1
allergy,soy,1
allergy,prostate,1
allergy,erectile,1
allergy,erection,1
allergy,sexual,1
allergy,bronchitis,1
allergy,fruit,1
allergy,vegetable,1
allergy,anger,1
allergy,sausage,1
allergy,insurance,1
