source,target,value
antibiotic,cuts,1
antibiotic,scrape,1
antibiotic,pregnancy,12
antibiotic,burn,10
antibiotic,hand,5
antibiotic,infection,2
antibiotic,wrist,3
antibiotic,dog,4
antibiotic,multivitamin,2
antibiotic,swallow,2
antibiotic,cold,6
antibiotic,coldness,10
antibiotic,pain,40
antibiotic,diarrhea,7
antibiotic,travelers,2
antibiotic,vision,12
antibiotic,birth,8
antibiotic,iron,1
antibiotic,supplement,1
antibiotic,stomach,7
antibiotic,h,3
antibiotic,milk,1
antibiotic,birth,4
antibiotic,sexual,6
antibiotic,family,3
antibiotic,bacterium,8
antibiotic,cephalexin,4
antibiotic,allergy,6
antibiotic,eyes,14
antibiotic,fever,21
antibiotic,impetigo,2
antibiotic,aggression,1
antibiotic,rosacea,2
antibiotic,belly,1
antibiotic,drainage,9
antibiotic,drug,5
antibiotic,high,2
antibiotic,blister,3
antibiotic,food,1
antibiotic,immune,5
antibiotic,throat,22
antibiotic,arm,7
antibiotic,breast,4
antibiotic,chest,8
antibiotic,muscle,1
antibiotic,boil,5
antibiotic,jaw,1
antibiotic,swelling,13
antibiotic,tooth,15
antibiotic,cough,18
antibiotic,honey,3
antibiotic,sinus,15
antibiotic,syrup,2
antibiotic,nausea,5
antibiotic,ejaculation,1
antibiotic,erection,1
antibiotic,penis,7
antibiotic,skin,6
antibiotic,kidney,2
antibiotic,urination,10
antibiotic,pilonidal,1
antibiotic,ear,14
antibiotic,ears,23
antibiotic,quit,1
antibiotic,steroid,8
antibiotic,tea,3
antibiotic,blindness,1
antibiotic,head,12
antibiotic,surgery,12
antibiotic,cornea,1
antibiotic,acetaminophen,5
antibiotic,back,7
antibiotic,hydrocodone,1
antibiotic,dizziness,4
antibiotic,pressure,4
antibiotic,birth,1
antibiotic,period,13
antibiotic,armpit,2
antibiotic,rash,14
antibiotic,workout,1
antibiotic,itch,4
antibiotic,smell,4
antibiotic,sting,4
antibiotic,diverticulitis,3
antibiotic,temperature,2
antibiotic,sinus,14
antibiotic,injection,11
antibiotic,shaving,1
antibiotic,tonsil,9
antibiotic,dental,2
antibiotic,bronchitis,9
antibiotic,ibuprofen,3
antibiotic,virus,3
antibiotic,mite,2
antibiotic,tightness,1
antibiotic,pink,4
antibiotic,foot,3
antibiotic,sore,4
antibiotic,pneumonia,11
antibiotic,nose,6
antibiotic,nostril,1
antibiotic,flu,5
antibiotic,vagina,11
antibiotic,walking,5
antibiotic,drowsiness,2
antibiotic,lightheadedness,1
antibiotic,neck,8
antibiotic,vaginal,1
antibiotic,yeast,13
antibiotic,food,5
antibiotic,lung,4
antibiotic,cyst,5
antibiotic,penicillin,9
antibiotic,smoking,3
antibiotic,drinking,7
antibiotic,wine,2
antibiotic,blood,6
antibiotic,leg,6
antibiotic,methicillin,3
antibiotic,lymph,3
antibiotic,hormone,1
antibiotic,hot,1
antibiotic,sweating,2
antibiotic,exercise,2
antibiotic,running,6
antibiotic,emergency,3
antibiotic,diaper,1
antibiotic,healing,10
antibiotic,diabetes,2
antibiotic,hunger,1
antibiotic,tinnitus,2
antibiotic,fear,4
antibiotic,ovary,2
antibiotic,urinary,6
antibiotic,clitoris,1
antibiotic,toothache,1
antibiotic,acne,3
antibiotic,cystic,1
antibiotic,scar,1
antibiotic,middle,2
antibiotic,barium,1
antibiotic,reaction,3
antibiotic,treadmill,1
antibiotic,taste,5
antibiotic,bowel,1
antibiotic,colon,1
antibiotic,resection,1
antibiotic,ammonia,1
antibiotic,seizure,1
antibiotic,strep,16
antibiotic,toddler,1
antibiotic,amoxicillin,9
antibiotic,painkiller,1
antibiotic,chlamydia,2
antibiotic,acute,1
antibiotic,immunization,1
antibiotic,vaccination,3
antibiotic,ankle,3
antibiotic,pleurisy,1
antibiotic,cervix,1
antibiotic,movement,2
antibiotic,abscess,4
antibiotic,runny,2
antibiotic,mouth,4
antibiotic,eardrum,1
antibiotic,anus,1
antibiotic,furuncle,1
antibiotic,salt,3
antibiotic,ruptured,1
antibiotic,insurance,5
antibiotic,insomnia,1
antibiotic,poison,1
antibiotic,sleepiness,1
antibiotic,staph,2
antibiotic,pap,1
antibiotic,sore,7
antibiotic,vomit,2
antibiotic,thyroid,3
antibiotic,knee,2
antibiotic,stitches,3
antibiotic,endoscopy,1
antibiotic,ulcer,1
antibiotic,forearm,1
antibiotic,circumcision,1
antibiotic,foreskin,1
antibiotic,forehead,3
antibiotic,vinegar,2
antibiotic,meal,1
antibiotic,lump,1
antibiotic,multiple,1
antibiotic,scalp,2
antibiotic,kidney,7
antibiotic,allergic,3
antibiotic,otitis,1
antibiotic,big,1
antibiotic,ingrown,1
antibiotic,urinalysis,1
antibiotic,tooth,1
antibiotic,mood,1
antibiotic,biopsy,1
antibiotic,diet,2
antibiotic,inhaler,2
antibiotic,kidney,2
antibiotic,fatigue,1
antibiotic,shingles,1
antibiotic,tenderness,3
antibiotic,fertility,2
antibiotic,gonorrhea,1
antibiotic,insect,1
antibiotic,yeast,1
antibiotic,gastroenteritis,1
antibiotic,scarlet,1
antibiotic,confusion,1
antibiotic,hair,2
antibiotic,thigh,1
antibiotic,vaginal,3
antibiotic,cellulitis,4
antibiotic,wound,5
antibiotic,headache,5
antibiotic,infertility,1
antibiotic,anti,1
antibiotic,testicle,1
antibiotic,vasectomy,1
antibiotic,tattoo,2
antibiotic,tonsillitis,2
antibiotic,asthma,1
antibiotic,urethra,3
antibiotic,tick,1
antibiotic,tick,1
antibiotic,fracture,1
antibiotic,spine,1
antibiotic,condom,1
antibiotic,shin,2
antibiotic,tetanus,1
antibiotic,cancer,2
antibiotic,tongue,3
antibiotic,bladder,3
antibiotic,menopause,1
antibiotic,wisdom,3
antibiotic,x,1
antibiotic,travel,2
antibiotic,cocaine,1
antibiotic,vein,1
antibiotic,healthy,1
antibiotic,vaginitis,2
antibiotic,skull,1
antibiotic,double,1
antibiotic,bipolar,1
antibiotic,finger,3
antibiotic,nail,1
antibiotic,thumb,1
antibiotic,swimmers,1
antibiotic,injury,2
antibiotic,masturbation,2
antibiotic,cold,1
antibiotic,cats,2
antibiotic,fingernail,3
antibiotic,blood,1
antibiotic,liver,3
antibiotic,cranberry,1
antibiotic,yogurt,1
antibiotic,stress,1
antibiotic,folliculitis,1
antibiotic,bacterial,1
antibiotic,polyp,1
antibiotic,uterus,1
antibiotic,prostate,1
antibiotic,heel,1
antibiotic,paronychia,1
antibiotic,hormone,1
antibiotic,feeding,1
antibiotic,anger,1
antibiotic,jock,1
antibiotic,erosion,1
antibiotic,vasculitis,1
antibiotic,hysterectomy,1
antibiotic,intestine,1
antibiotic,pregnancy,1
antibiotic,chemotherapy,1
antibiotic,colonoscopy,1
antibiotic,toe,1
antibiotic,pharyngitis,1
antibiotic,drug,1
antibiotic,coffee,1
antibiotic,weakness,1
antibiotic,psoriasis,1
antibiotic,short,1
antibiotic,baby,1
antibiotic,irregularity,1
antibiotic,hives,1
antibiotic,inflammation,1
antibiotic,mucus,1
