source,target,value
anus,sexual,15
anus,acne,2
anus,genital,2
anus,mouth,1
anus,torso,1
anus,carrot,1
anus,diet,2
anus,fever,2
anus,noodle,1
anus,jelly,1
anus,prenatal,1
anus,vagina,13
anus,vitamin,1
anus,movement,5
anus,nausea,3
anus,pain,20
anus,skin,10
anus,food,2
anus,stomach,6
anus,wheat,1
anus,whole,1
anus,blister,4
anus,lip,1
anus,smell,1
anus,sweating,2
anus,leg,2
anus,penis,13
anus,rash,6
anus,testicle,7
anus,circumcision,1
anus,ejaculation,9
anus,condom,5
anus,cramps,1
anus,burn,7
anus,pea,3
anus,vision,3
anus,big,1
anus,tendon,1
anus,walking,3
anus,bowel,3
anus,flatulence,2
anus,hair,1
anus,healing,6
anus,urination,2
anus,diarrhea,3
anus,pressure,3
anus,cavity,5
anus,sinus,2
anus,surgery,3
anus,period,7
anus,pregnancy,10
anus,enema,1
anus,erectile,1
anus,prostatitis,1
anus,clitoris,1
anus,herpes,2
anus,masturbation,3
anus,tongue,1
anus,pinworm,2
anus,hemorrhoid,3
anus,swelling,2
anus,antibiotic,1
anus,furuncle,1
anus,salt,2
anus,buttocks,2
anus,fear,3
anus,lump,9
anus,cyst,1
anus,ovary,1
anus,birth,1
anus,ovulation,1
anus,anal,1
anus,boil,3
anus,constipation,2
anus,fertility,1
anus,genitalia,1
anus,hiv,2
anus,tampon,1
anus,chlamydia,2
anus,diabetes,1
anus,diaper,1
anus,human,2
anus,wart,3
anus,anal,1
anus,hemmorhoid,1
anus,wound,2
anus,colonoscopy,1
anus,fruit,1
anus,skin,1
anus,anxiety,1
anus,paranoid,1
anus,itch,3
anus,prostate,3
anus,insurance,1
anus,worm,1
anus,bacterium,2
anus,sperm,2
anus,swallow,3
anus,massage,2
anus,drainage,2
anus,fistula,2
anus,cough,1
anus,pilonidal,1
anus,finger,3
anus,mucus,1
anus,scrotum,2
anus,nerve,1
anus,sore,3
anus,spasm,1
anus,yogurt,1
anus,rectum,2
anus,exercise,1
anus,sexually,2
anus,tooth,1
anus,colon,1
anus,hysterectomy,2
anus,belly,1
anus,elbow,1
anus,anal,1
anus,fissure,1
anus,trauma,1
anus,limb,1
anus,injury,1
anus,liver,1
anus,bladder,1
anus,sphincter,1
anus,stress,1
anus,tightness,1
anus,jock,1
anus,vinegar,1
anus,confusion,1
