source,target,value
anxiety,heart,14
anxiety,insomnia,5
anxiety,stress,15
anxiety,depression,44
anxiety,drug,15
anxiety,muscle,6
anxiety,nausea,9
anxiety,tea,2
anxiety,period,9
anxiety,panic,20
anxiety,chest,12
anxiety,pain,14
anxiety,post,1
anxiety,attention,4
anxiety,meal,1
anxiety,fear,15
anxiety,insurance,2
anxiety,headache,5
anxiety,heartburn,2
anxiety,stomach,6
anxiety,dizziness,6
anxiety,vision,6
anxiety,tension,1
anxiety,weight,4
anxiety,coldness,4
anxiety,urethra,1
anxiety,urination,1
anxiety,anti,1
anxiety,hypothyroidism,1
anxiety,psychosis,3
anxiety,anaphylactic,1
anxiety,reaction,1
anxiety,throat,2
anxiety,concentration,8
anxiety,head,8
anxiety,hot,2
anxiety,panic,2
anxiety,mouth,1
anxiety,mucus,1
anxiety,nose,1
anxiety,taste,1
anxiety,drinking,5
anxiety,fatigue,3
anxiety,drug,1
anxiety,smoking,5
anxiety,arm,2
anxiety,leg,1
anxiety,stroke,2
anxiety,weakness,1
anxiety,blood,3
anxiety,organ,1
anxiety,blindness,1
anxiety,memory,1
anxiety,nightmare,1
anxiety,ankle,1
anxiety,foot,3
anxiety,wrist,1
anxiety,antidepressant,3
anxiety,asthma,1
anxiety,lung,2
anxiety,hallucination,2
anxiety,amoxicillin,1
anxiety,mood,2
anxiety,smell,1
anxiety,erection,3
anxiety,penis,1
anxiety,sexual,2
anxiety,tardive,1
anxiety,marijuana,2
anxiety,migraine,1
anxiety,seizure,2
anxiety,exercise,2
anxiety,drowsiness,3
anxiety,family,3
anxiety,bipolar,4
anxiety,suicide,3
anxiety,injury,1
anxiety,tubal,1
anxiety,tightness,2
anxiety,borderline,2
anxiety,psychotherapy,1
anxiety,chronic,2
anxiety,fibromyalgia,2
anxiety,running,2
anxiety,pregnancy,3
anxiety,short,2
anxiety,nervousness,4
anxiety,menopause,1
anxiety,echocardiogram,1
anxiety,electrocardiogram,2
anxiety,exercise,1
anxiety,inflammation,1
anxiety,sweating,2
anxiety,burn,1
anxiety,fever,4
anxiety,spasm,2
anxiety,shoulder,2
anxiety,wound,1
anxiety,over,1
anxiety,supplement,1
anxiety,pain,1
anxiety,hyperventilation,2
anxiety,lightheadedness,1
anxiety,blood,3
anxiety,sadness,3
anxiety,transfusion,1
anxiety,cholesterol,1
anxiety,anus,1
anxiety,paranoid,3
anxiety,low,1
anxiety,drug,1
anxiety,melatonin,1
anxiety,orgasm,1
anxiety,dyslexia,1
anxiety,condom,1
anxiety,exposure,2
anxiety,hiv,2
anxiety,tonsil,1
anxiety,surgery,4
anxiety,postpartum,1
anxiety,lump,2
anxiety,high,1
anxiety,anger,1
anxiety,masturbation,1
anxiety,testosterone,3
anxiety,brain,1
anxiety,tumor,1
anxiety,testicle,2
anxiety,walking,1
anxiety,movement,1
anxiety,phobia,2
anxiety,palpitation,2
anxiety,artery,1
anxiety,vitamin,1
anxiety,height,2
anxiety,paralysis,1
anxiety,hand,2
anxiety,diabetes,1
anxiety,birth,3
anxiety,cramps,1
anxiety,ejaculation,1
anxiety,injection,2
anxiety,diarrhea,2
anxiety,makeup,1
anxiety,crying,2
anxiety,manic,1
anxiety,colonoscopy,1
anxiety,neuropathy,1
anxiety,diverticulitis,1
anxiety,hormone,2
anxiety,low,1
anxiety,eyes,2
anxiety,shock,1
anxiety,blood,1
anxiety,confusion,2
anxiety,forehead,1
anxiety,heart,2
anxiety,bloating,1
anxiety,bowel,1
anxiety,pressure,1
anxiety,methadone,1
anxiety,food,1
anxiety,skin,1
anxiety,knee,1
anxiety,endoscopy,1
anxiety,irritable,1
anxiety,abdominal,1
anxiety,back,1
anxiety,oxygen,1
anxiety,constipation,2
anxiety,healing,1
anxiety,rectum,1
anxiety,resection,1
anxiety,vomit,1
anxiety,cancer,1
anxiety,hernia,1
anxiety,neck,1
anxiety,blood,1
anxiety,meditation,1
anxiety,pulse,1
anxiety,screening,1
anxiety,tachycardia,1
anxiety,schizophrenia,1
anxiety,ears,1
anxiety,vertigo,1
anxiety,breast,1
anxiety,weight,1
