source,target,value
arm,bedbug,1
arm,insurance,7
arm,spider,2
arm,skin,37
arm,hair,10
arm,hyperpigmentation,1
arm,neck,28
arm,allergy,1
arm,lymph,4
arm,sinus,1
arm,swelling,21
arm,pain,80
arm,hand,60
arm,tremor,1
arm,flu,5
arm,injection,8
arm,chest,41
arm,itch,19
arm,rash,33
arm,wrinkle,1
arm,mole,1
arm,pregnancy,6
arm,baby,3
arm,leg,56
arm,blood,1
arm,blood,2
arm,elbow,30
arm,vein,7
arm,hiv,1
arm,penis,1
arm,knee,3
arm,sweating,10
arm,antibiotic,7
arm,breast,14
arm,muscle,21
arm,serotonin,1
arm,forearm,5
arm,lump,12
arm,tattoo,1
arm,foot,12
arm,hydrocortisone,2
arm,thigh,8
arm,toe,2
arm,back,2
arm,ibuprofen,2
arm,shoulder,50
arm,vision,20
arm,shoulder,4
arm,spine,4
arm,forehead,1
arm,stomach,8
arm,exercise,2
arm,heart,11
arm,head,17
arm,whitehead,2
arm,movement,15
arm,tightness,5
arm,armpit,14
arm,psoriasis,3
arm,torso,3
arm,orange,1
arm,dizziness,8
arm,drinking,5
arm,nausea,4
arm,platelet,1
arm,chlamydia,1
arm,herpes,2
arm,blood,5
arm,weight,8
arm,workout,4
arm,rotator,4
arm,x,5
arm,hives,1
arm,fever,5
arm,keratosis,1
arm,numbness,18
arm,pressure,4
arm,angina,1
arm,family,2
arm,biopsy,2
arm,ring,3
arm,circulation,1
arm,ears,3
arm,boil,2
arm,diet,2
arm,stress,5
arm,food,2
arm,meal,1
arm,anxiety,2
arm,stroke,4
arm,weakness,5
arm,beta,1
arm,heart,1
arm,lower,1
arm,restlessness,2
arm,hyperhidrosis,2
arm,nervousness,3
arm,blister,2
arm,buttocks,2
arm,wrist,9
arm,temperature,4
arm,gallbladder,1
arm,tinea,1
arm,injury,6
arm,limb,1
arm,hysterectomy,2
arm,walking,10
arm,drug,1
arm,hallucination,1
arm,crying,1
arm,herniated,1
arm,blood,6
arm,drowsiness,4
arm,surgery,12
arm,lightheadedness,2
arm,bruise,10
arm,fracture,3
arm,range,1
arm,nerve,6
arm,pinched,1
arm,shock,1
arm,big,1
arm,coldness,8
arm,grip,2
arm,finger,21
arm,cortisone,2
arm,welt,2
arm,running,8
arm,kidney,1
arm,period,3
arm,migraine,1
arm,acne,3
arm,atopic,1
arm,burn,11
arm,mouth,4
arm,throat,4
arm,bicep,5
arm,cold,1
arm,pulse,2
arm,diabetes,4
arm,drainage,2
arm,healing,6
arm,aging,1
arm,hair,1
arm,corpulence,1
arm,electrocardiogram,2
arm,cough,1
arm,pneumonia,3
arm,thumb,6
arm,fear,4
arm,fibromyalgia,1
arm,tenderness,3
arm,massage,1
arm,pea,2
arm,swine,1
arm,diarrhea,3
arm,blood,2
arm,bone,1
arm,belly,2
arm,arthritis,2
arm,cervix,1
arm,eyebrow,1
arm,short,3
arm,cats,2
arm,shoulder,1
arm,carpal,2
arm,hookworm,1
arm,spotting,1
arm,attention,1
arm,insomnia,1
arm,fish,1
arm,vomit,2
arm,exercise,6
arm,blinking,1
arm,eyes,3
arm,pets,1
arm,plant,1
arm,poison,3
arm,physical,1
arm,rotator,1
arm,chickenpox,1
arm,occupational,1
arm,tetanus,1
arm,allergic,3
arm,reaction,1
arm,scrape,1
arm,genital,1
arm,head,1
arm,jaw,2
arm,rehabilitation,1
arm,paranoid,1
arm,sunburn,3
arm,sunscreen,1
arm,oil,1
arm,over,1
arm,acetaminophen,1
arm,vagina,1
arm,ringworm,1
arm,trigeminal,1
arm,bacterium,1
arm,seizure,2
arm,emergency,1
arm,fatigue,3
arm,myasthenia,1
arm,rectum,1
arm,thermometer,1
arm,poisoning,1
arm,aloe,1
arm,ankle,1
arm,shingles,5
arm,virus,1
arm,sore,3
arm,concussion,1
arm,confusion,1
arm,headache,7
arm,ammonia,1
arm,coconut,1
arm,yeast,2
arm,heart,2
arm,lip,3
arm,lupus,1
arm,nose,1
arm,broken,1
arm,trauma,2
arm,cherry,1
arm,dry,1
arm,deep,1
arm,heel,1
arm,melanoma,1
arm,breast,1
arm,heat,2
arm,shaving,1
arm,vaccination,1
arm,travel,1
arm,electrocution,1
arm,long,1
arm,degenerative,1
arm,insect,1
arm,abscess,1
arm,nicotine,1
arm,tobacco,1
arm,lemon,1
arm,lotion,2
arm,birth,1
arm,constipation,1
arm,urethra,1
arm,genitalia,1
arm,ligament,1
arm,smell,1
arm,stitches,1
arm,tendonitis,1
arm,calcium,1
arm,lung,1
arm,nipple,1
arm,reflex,1
arm,tendon,2
arm,menopause,1
arm,tennis,4
arm,mononucleosis,1
arm,multivitamin,1
arm,cancer,3
arm,herniated,1
arm,sciatica,1
arm,brain,1
arm,lung,1
arm,whiplash,1
arm,stress,1
arm,cuts,1
arm,cellulitis,1
arm,postpartum,1
arm,restless,1
arm,skin,1
arm,dementia,1
arm,pacemaker,1
arm,calamine,1
arm,icing,1
arm,urination,1
arm,sting,1
arm,soft,1
arm,pore,2
arm,nail,1
arm,scalp,1
arm,breastfeed,1
arm,broken,1
arm,stem,1
arm,essential,1
arm,neuralgia,1
arm,cramps,2
arm,height,1
arm,type,1
arm,fuzziness,1
arm,osteoporosis,1
arm,spinal,1
