source,target,value
baby,tooth,10
baby,teething,6
baby,pregnancy,140
baby,weight,10
baby,breastfeed,17
baby,crying,9
baby,feeding,19
baby,belch,2
baby,food,8
baby,toddler,5
baby,coldness,11
baby,drug,7
baby,cold,4
baby,first,1
baby,hand,6
baby,acetaminophen,2
baby,infant,6
baby,over,3
baby,pain,20
baby,stuffy,1
baby,runny,2
baby,nose,3
baby,back,4
baby,allergy,1
baby,sunscreen,1
baby,skin,8
baby,circumcision,2
baby,cesarean,1
baby,little,1
baby,ultrasound,7
baby,birth,12
baby,spina,1
baby,vaccines,1
baby,epilepsy,1
baby,temperature,3
baby,eyes,3
baby,cavity,2
baby,molar,2
baby,stress,6
baby,kidney,3
baby,honey,1
baby,tooth,1
baby,brain,4
baby,head,9
baby,jelly,1
baby,vision,7
baby,weight,1
baby,fever,12
baby,breast,16
baby,whooping,2
baby,belly,1
baby,hernia,2
baby,macadamia,1
baby,boil,1
baby,x,1
baby,supplement,1
baby,cereal,10
baby,rice,4
baby,chest,2
baby,sids,1
baby,finger,3
baby,thumb,2
baby,ear,1
baby,acne,1
baby,bowel,1
baby,exercise,1
baby,multivitamin,1
baby,arm,3
baby,leg,5
baby,tubal,7
baby,aids,1
baby,hiv,1
baby,sperm,2
baby,cramps,2
baby,spotting,6
baby,stomach,15
baby,running,4
baby,dog,3
baby,hair,3
baby,cough,10
baby,sore,2
baby,vomit,3
baby,ejaculation,6
baby,period,41
baby,sexual,14
baby,vaginal,1
baby,miscarriage,9
baby,bacterium,3
baby,vagina,4
baby,diaper,2
baby,yeast,5
baby,fertility,5
baby,insurance,4
baby,sadness,1
baby,condom,3
baby,craving,1
baby,taste,4
baby,drinking,9
baby,mouth,4
baby,labor,2
baby,walking,4
baby,klinefelters,1
baby,lip,2
baby,uterus,6
baby,marijuana,2
baby,smell,6
baby,smoking,8
baby,family,7
baby,fetus,3
baby,movement,15
baby,rash,3
baby,tenderness,2
baby,flu,2
baby,drowsiness,3
baby,newborn,11
baby,nipple,2
baby,thrush,3
baby,hepatitis,1
baby,mucus,5
baby,conception,3
baby,dental,1
baby,height,3
baby,tonsil,1
baby,diarrhea,3
baby,infertility,2
baby,pregnancy,8
baby,shingles,3
baby,birth,2
baby,milk,17
baby,painkiller,1
baby,ovulation,5
baby,turkey,1
baby,choking,1
baby,skull,1
baby,tetanus,1
baby,in,1
baby,surgery,6
baby,tubal,2
baby,thirst,1
baby,irregularity,6
baby,shoulder,2
baby,enema,1
baby,bronchitis,3
baby,apnea,1
baby,oxygen,1
baby,swelling,4
baby,fibromyalgia,2
baby,occupational,1
baby,lump,2
baby,foot,1
baby,knee,1
baby,talc,1
baby,throat,1
baby,diabetes,4
baby,confusion,1
baby,clitoris,1
baby,menstrual,2
baby,nail,1
baby,toe,2
baby,toenail,1
baby,hysterectomy,2
baby,third,1
baby,bipolar,1
baby,first,2
baby,gestational,1
baby,insulin,1
baby,spit,1
baby,birth,4
baby,carrot,1
baby,juice,2
baby,drainage,1
baby,sleepiness,2
baby,anemia,1
baby,injection,2
baby,emergency,1
baby,urination,2
baby,testicle,3
baby,undescended,1
baby,bruise,1
baby,placenta,2
baby,chickenpox,1
baby,ringworm,1
baby,depression,2
baby,electrogastrogram,1
baby,ovary,2
baby,swallow,1
baby,vinegar,1
baby,dark,1
baby,chlamydia,1
baby,sexually,1
baby,mite,1
baby,chemotherapy,1
baby,cradle,1
baby,fatigue,2
baby,yeast,1
baby,tongue,1
baby,gender,1
baby,syrup,1
baby,meal,1
baby,urinary,1
baby,testosterone,2
baby,abortion,2
baby,herb,2
baby,pear,1
baby,elbow,1
baby,staph,1
baby,cervix,1
baby,hunger,3
baby,tightness,2
baby,hot,2
baby,fish,1
baby,oil,2
baby,vitamin,1
baby,thyroid,1
baby,scar,1
baby,workout,2
baby,dairy,2
baby,diet,1
baby,sweating,1
baby,down,1
baby,headache,1
baby,pulse,1
baby,kidney,1
baby,stent,1
baby,consumption,1
baby,asthma,3
baby,fear,2
baby,inhaler,1
baby,ears,1
baby,immune,1
baby,pneumonia,3
baby,stillbirth,1
baby,amoxicillin,1
baby,dry,1
baby,salt,1
baby,burn,1
baby,blood,2
baby,dairy,1
baby,calcium,1
baby,lactose,1
baby,nervousness,1
baby,cocaine,1
baby,scoliosis,1
baby,jaundice,1
baby,dehydration,1
baby,travel,1
baby,nicotine,2
baby,quit,1
baby,blister,1
baby,coffee,1
baby,mashed,1
baby,shoulder,1
baby,strep,1
baby,cooking,1
baby,grapefruit,1
baby,sunburn,1
baby,ovarian,1
baby,constipation,1
baby,dizziness,1
baby,menopause,1
baby,cats,1
baby,herpes,1
baby,cortisone,1
baby,morning,1
baby,forgetfulness,1
baby,memory,1
baby,iris,1
baby,allergic,1
baby,iron,1
baby,antibiotic,1
baby,meningitis,1
baby,soy,1
