source,target,value
back,acetaminophen,2
back,drug,2
back,hydrocodone,2
back,ulcer,1
back,multivitamin,1
back,muscle,6
back,naproxen,2
back,spasm,2
back,migraine,2
back,baby,4
back,pain,63
back,magnetic,5
back,pregnancy,26
back,enema,1
back,stomach,10
back,vision,9
back,walking,7
back,insurance,3
back,steroid,3
back,arm,2
back,ibuprofen,2
back,shoulder,4
back,lung,2
back,cramps,11
back,period,29
back,movement,10
back,swelling,2
back,hike,1
back,running,2
back,spine,7
back,tooth,1
back,bowel,2
back,nausea,14
back,pelvis,1
back,tampon,2
back,vagina,2
back,antibiotic,7
back,indigestion,1
back,headache,10
back,lumbar,1
back,neck,3
back,labor,1
back,heart,2
back,vomit,5
back,pelvic,2
back,pressure,2
back,polycystic,1
back,breast,3
back,chest,1
back,cough,4
back,emergency,1
back,injection,3
back,knee,3
back,scoliosis,2
back,abdominal,2
back,fatigue,5
back,fever,4
back,leg,15
back,hemorrhoid,1
back,sexual,9
back,slipped,1
back,tightness,2
back,obesity,2
back,rectum,1
back,bacterium,2
back,drowsiness,1
back,arthritis,3
back,dizziness,1
back,spotting,7
back,physical,3
back,exercise,2
back,ankle,3
back,edema,1
back,foot,4
back,bruise,3
back,fracture,1
back,weight,2
back,elbow,1
back,numbness,2
back,ring,1
back,healing,1
back,x,2
back,inflammation,1
back,urinary,1
back,autoimmune,1
back,reflex,1
back,tachycardia,1
back,thigh,4
back,cervical,1
back,food,1
back,degenerative,1
back,bloating,1
back,confusion,1
back,kidney,2
back,artery,1
back,tenderness,1
back,kidney,2
back,thirst,1
back,urination,3
back,burn,2
back,diabetes,1
back,hiv,1
back,iron,1
back,vitamin,1
back,diarrhea,3
back,surgery,1
back,diet,1
back,gallstone,1
back,over,2
back,skin,1
back,bladder,1
back,aspirin,3
back,cold,1
back,coldness,1
back,herniated,1
back,yeast,1
back,blood,3
back,epidural,1
back,ovulation,2
back,hysterectomy,1
back,smell,3
back,vaginal,1
back,appendix,1
back,penis,1
back,hormone,1
back,cancer,1
back,stomach,1
back,hip,1
back,acute,1
back,pancreatitis,1
back,hallucination,1
back,thyroid,1
back,aggression,1
back,chronic,1
back,shoulder,1
back,sternum,1
back,morphine,1
back,pain,1
back,pain,1
back,osteoporosis,1
back,constipation,1
back,libido,1
back,mood,1
back,fibromyalgia,1
back,chondromalacia,1
back,knee,1
back,supplement,1
back,anxiety,1
back,concentration,1
back,condom,1
back,birth,1
back,oxycodone,1
back,electroencephalogram,1
back,seizure,1
back,meat,1
back,nerve,1
back,panic,1
back,weight,1
back,family,1
back,hand,1
back,irritable,1
back,weakness,1
back,methadone,1
