source,target,value
birth,lip,2
birth,acne,1
birth,pregnancy,37
birth,multivitamin,2
birth,antibiotic,4
birth,birth,37
birth,sexual,17
birth,period,46
birth,coldness,4
birth,drug,2
birth,over,1
birth,cuts,1
birth,stomach,5
birth,supplement,2
birth,rash,1
birth,skin,1
birth,electrogastrogram,2
birth,uterus,2
birth,infertility,1
birth,acetaminophen,1
birth,ibuprofen,1
birth,infection,1
birth,penicillin,1
birth,flax,1
birth,flaxseed,1
birth,weight,2
birth,vitamin,1
birth,diet,2
birth,weight,1
birth,melasma,2
birth,condom,7
birth,hair,1
birth,short,2
birth,ejaculation,6
birth,testosterone,1
birth,baby,2
birth,breast,2
birth,milk,1
birth,spotting,5
birth,irregularity,1
birth,pregnancy,3
birth,diarrhea,1
birth,ovulation,2
birth,hunger,3
birth,iron,1
birth,biofeedback,1
birth,family,1
birth,lightheadedness,1
birth,tenderness,1
birth,menstrual,1
birth,tampon,1
birth,diabetes,1
birth,insulin,1
birth,injury,1
birth,vertigo,1
birth,birth,2
birth,colon,1
birth,walking,1
birth,drinking,1
birth,leg,1
birth,numbness,1
birth,pain,5
birth,vein,1
birth,menopause,1
birth,morning,1
birth,hormone,4
birth,diaphragm,1
birth,vagina,1
birth,breast,1
birth,cancer,1
birth,libido,1
birth,armpit,1
birth,cold,1
birth,diet,1
birth,magnesium,1
birth,arm,1
birth,constipation,1
birth,morning,1
birth,drug,1
birth,bloating,1
birth,fatigue,1
birth,stress,1
birth,heart,1
birth,sweating,1
birth,mood,1
birth,confusion,1
birth,burn,2
birth,sting,1
birth,hand,1
birth,hormone,2
birth,infant,1
birth,herb,1
birth,red,1
birth,cramps,3
birth,drainage,2
birth,swallow,2
birth,surgery,1
birth,tubal,1
birth,smoking,1
