source,target,value
blood,chlamydia,1
blood,cholesterol,6
blood,drug,1
blood,triglyceride,4
blood,pregnancy,14
blood,chickenpox,1
blood,period,17
blood,confusion,4
blood,iron,3
blood,food,3
blood,herpes,4
blood,poison,1
blood,sexual,8
blood,thigh,1
blood,coffee,2
blood,drinking,7
blood,eyes,1
blood,diabetes,5
blood,obesity,1
blood,type,2
blood,weight,2
blood,blood,3
blood,pap,2
blood,diet,6
blood,abdominal,2
blood,lightheadedness,2
blood,nausea,4
blood,stomach,6
blood,allergy,1
blood,cramps,2
blood,diarrhea,2
blood,hiv,1
blood,arm,6
blood,drowsiness,3
blood,hand,3
blood,shoulder,2
blood,bone,1
blood,cancer,2
blood,vision,12
blood,benign,1
blood,jaw,1
blood,mumps,1
blood,neck,1
blood,burn,3
blood,hallucination,1
blood,mouth,1
blood,skin,1
blood,human,1
blood,creatinine,3
blood,birth,1
blood,acne,1
blood,hair,5
blood,ovary,1
blood,spotting,1
blood,anemia,2
blood,blister,2
blood,antibiotic,6
blood,surgery,4
blood,vagina,2
blood,high,1
blood,thyroid,6
blood,pregnancy,3
blood,knee,1
blood,movement,2
blood,positron,1
blood,running,4
blood,ibuprofen,1
blood,rash,3
blood,ultrasound,3
blood,hiv,1
blood,stress,3
blood,injection,2
blood,cat,3
blood,chronic,1
blood,magnetic,1
blood,pain,6
blood,baldness,1
blood,vitamin,2
blood,dizziness,4
blood,heart,3
blood,migraine,1
blood,wine,1
blood,prostate,1
blood,gastric,1
blood,fish,1
blood,oil,1
blood,genital,1
blood,virus,5
blood,anxiety,3
blood,headache,3
blood,sadness,1
blood,walking,1
blood,chest,1
blood,x,2
blood,endoscopy,1
blood,h,1
blood,ulcer,1
blood,rectum,1
blood,cesarean,1
blood,hemoglobin,1
blood,mononucleosis,1
blood,potassium,1
blood,estrogen,2
blood,consumption,1
blood,lip,1
blood,hypothyroidism,1
blood,belly,1
blood,fatigue,3
blood,shingles,2
blood,drug,1
blood,miscarriage,1
blood,bruise,1
blood,strep,1
blood,throat,2
blood,birth,1
blood,gender,1
blood,hormone,1
blood,sexually,2
blood,marijuana,2
blood,family,3
blood,electrocardiogram,1
blood,kidney,2
blood,sgpt,1
blood,finger,1
blood,nerve,5
blood,weakness,2
blood,biopsy,1
blood,insurance,1
blood,liver,4
blood,gallstone,2
blood,pancreas,1
blood,cough,2
blood,lupus,1
blood,asthma,1
blood,exercise,3
blood,dog,1
blood,flu,1
blood,breast,4
blood,tenderness,1
blood,palpitation,1
blood,vein,1
blood,inflammation,2
blood,ovulation,1
blood,penis,1
blood,irregularity,1
blood,immune,1
blood,vaccination,1
blood,foot,1
blood,lung,1
blood,travel,1
blood,baby,2
blood,urethra,1
blood,fear,1
blood,malnutrition,1
blood,phobia,1
blood,bladder,1
blood,lipid,1
blood,jaundice,1
blood,nicotine,1
blood,hyperhidrosis,1
blood,sweating,3
blood,bipolar,1
blood,pneumonia,1
blood,seizure,1
blood,stroke,1
blood,sodium,1
blood,tobacco,1
blood,hepatitis,1
blood,pancreatic,1
blood,cortisol,1
blood,urinary,1
blood,brain,1
blood,injury,1
blood,sinus,1
blood,hormone,1
blood,measles,1
blood,elbow,1
blood,muscle,1
blood,ring,1
blood,leg,2
blood,paranoid,1
blood,orange,1
blood,weight,1
blood,ovarian,1
blood,erectile,1
blood,bloating,1
blood,priapism,1
blood,exposure,1
blood,head,1
blood,zinc,1
