source,target,value
breast,lump,31
breast,skin,12
breast,breast,9
breast,breast,1
breast,period,71
breast,pregnancy,69
breast,keloid,1
breast,scar,3
breast,surgery,12
breast,itch,5
breast,baby,16
breast,feeding,11
breast,breastfeed,11
breast,drug,1
breast,family,4
breast,milk,29
breast,bloating,12
breast,nausea,19
breast,stomach,22
breast,nipple,37
breast,tenderness,54
breast,birth,11
breast,spotting,7
breast,bruise,4
breast,cyst,4
breast,arm,14
breast,antibiotic,4
breast,chest,20
breast,muscle,2
breast,swelling,12
breast,heart,6
breast,pain,57
breast,fatigue,6
breast,hormone,7
breast,hydrocortisone,1
breast,lactate,1
breast,craving,4
breast,food,7
breast,tooth,2
breast,cramps,11
breast,headache,9
breast,pregnancy,19
breast,puberty,3
breast,pelvis,2
breast,hypothyroidism,1
breast,lactose,1
breast,newborn,2
breast,breast,1
breast,biopsy,5
breast,benign,4
breast,fear,5
breast,herpes,1
breast,massage,1
breast,penis,2
breast,syphilis,1
breast,neck,2
breast,vomit,9
breast,diet,4
breast,exercise,2
breast,cancer,9
breast,breast,3
breast,insurance,7
breast,hysterectomy,5
breast,tubal,4
breast,waist,2
breast,injection,4
breast,weight,3
breast,depression,1
breast,head,4
breast,armpit,6
breast,corpulence,4
breast,erection,1
breast,hair,2
breast,dry,1
breast,stress,4
breast,bioidentical,1
breast,hot,2
breast,short,3
breast,ovulation,7
breast,painful,1
breast,condom,2
breast,sexual,12
breast,drowsiness,7
breast,running,3
breast,gynecomastia,2
breast,smell,6
breast,cat,2
breast,heart,1
breast,lung,2
breast,birth,2
breast,dizziness,2
breast,hand,5
breast,pressure,2
breast,fertility,1
breast,sleepiness,2
breast,sweating,4
breast,ribcage,2
breast,cough,4
breast,smoking,1
breast,workout,1
breast,x,2
breast,menstrual,1
breast,back,3
breast,birth,4
breast,cereal,3
breast,weight,3
breast,vision,14
breast,vitamin,1
breast,eyes,1
breast,weight,4
breast,thrush,1
breast,yeast,5
breast,fever,2
breast,gallbladder,1
breast,libido,1
breast,paranoid,1
breast,foreskin,1
breast,vagina,1
breast,flu,2
breast,choking,1
breast,miscarriage,1
breast,hunger,2
breast,puffiness,1
breast,shoulder,3
breast,morning,1
breast,burn,8
breast,cervix,2
breast,scalp,1
breast,diarrhea,1
breast,vinegar,1
breast,injury,2
breast,movement,7
breast,rash,6
breast,uterus,1
breast,foot,1
breast,conception,1
breast,irregularity,4
breast,mammogram,8
breast,buttocks,1
breast,thigh,2
breast,walking,1
breast,confusion,4
breast,mood,1
breast,flatulence,1
breast,prenatal,1
breast,estrogen,2
breast,coldness,3
breast,menopause,5
breast,boil,2
breast,polycystic,2
breast,sting,1
breast,chemotherapy,1
breast,healing,3
breast,wound,1
breast,shingles,1
breast,ultrasound,4
breast,screening,1
breast,bone,1
breast,ejaculation,1
breast,virus,2
breast,narcotic,1
breast,dog,1
breast,aspiration,1
breast,rice,2
breast,pea,2
breast,constipation,1
breast,hernia,1
breast,leg,3
breast,lymph,2
breast,blood,4
breast,spider,1
breast,consumption,1
breast,travel,1
breast,incontinence,1
breast,vertigo,1
breast,tampon,1
breast,vaginal,1
breast,rectum,1
breast,ovary,1
breast,weakness,1
breast,infant,1
breast,height,1
breast,mole,3
breast,blister,1
breast,nerve,1
breast,tumor,2
breast,drainage,1
breast,aids,1
breast,swallow,1
breast,torso,1
breast,yeast,1
breast,methicillin,1
breast,heat,1
breast,shoulder,1
breast,drinking,2
breast,piercing,1
breast,sexually,1
breast,prostate,1
breast,nodule,1
breast,ulcer,1
breast,orange,1
breast,perimenopause,1
breast,ovarian,1
breast,migraine,1
breast,dislocation,1
breast,fracture,1
breast,bladder,1
breast,bacterium,1
breast,anxiety,1
breast,osteoporosis,1
breast,spinal,1
breast,cavity,1
