source,target,value
bruise,drug,1
bruise,buttocks,3
bruise,pain,1
bruise,breast,4
bruise,cyst,1
bruise,lump,11
bruise,skin,12
bruise,healing,11
bruise,instability,1
bruise,knee,13
bruise,leg,23
bruise,forehead,2
bruise,hair,1
bruise,head,10
bruise,swelling,37
bruise,toe,10
bruise,finger,5
bruise,movement,7
bruise,sprain,4
bruise,wrist,2
bruise,ovary,1
bruise,pain,32
bruise,period,2
bruise,blood,1
bruise,ankle,6
bruise,foot,10
bruise,rash,2
bruise,hand,11
bruise,shin,6
bruise,walking,8
bruise,weight,3
bruise,drinking,2
bruise,vision,10
bruise,running,4
bruise,sting,1
bruise,vein,1
bruise,penis,5
bruise,aspirin,3
bruise,nipple,1
bruise,blood,4
bruise,nose,4
bruise,fracture,8
bruise,x,5
bruise,cuts,1
bruise,big,2
bruise,nail,4
bruise,tenderness,3
bruise,mouth,1
bruise,uterine,1
bruise,thumb,1
bruise,varicose,1
bruise,arm,10
bruise,range,1
bruise,surgery,4
bruise,laparoscopy,1
bruise,vitamin,1
bruise,injury,14
bruise,pressure,7
bruise,corpulence,1
bruise,massage,1
bruise,thigh,8
bruise,lip,2
bruise,eye,1
bruise,pinched,1
bruise,stress,1
bruise,exercise,3
bruise,toddler,1
bruise,trauma,6
bruise,wound,1
bruise,wound,1
bruise,erection,2
bruise,sexual,1
bruise,benign,1
bruise,mole,1
bruise,scalp,1
bruise,confusion,1
bruise,tightness,2
bruise,feeding,1
bruise,head,1
bruise,lice,1
bruise,hike,2
bruise,insurance,3
bruise,arthritis,1
bruise,dislocation,2
bruise,diabetes,1
bruise,eyes,4
bruise,high,1
bruise,jaw,1
bruise,blood,2
bruise,chest,2
bruise,forearm,4
bruise,puncture,1
bruise,icing,1
bruise,purpura,1
bruise,baby,1
bruise,placenta,1
bruise,stomach,2
bruise,soft,2
bruise,paranoid,1
bruise,back,3
bruise,autism,1
bruise,head,1
bruise,itch,2
bruise,spider,1
bruise,tibia,2
bruise,stress,1
bruise,brain,1
bruise,concussion,2
bruise,skull,1
bruise,first,1
bruise,food,1
bruise,fruit,1
bruise,blood,1
bruise,strep,1
bruise,throat,1
bruise,appendix,1
bruise,insect,1
bruise,testicle,5
bruise,urination,2
bruise,numbness,2
bruise,hysterectomy,1
bruise,pelvic,1
bruise,index,1
bruise,headache,5
bruise,over,1
bruise,tooth,1
bruise,wisdom,1
bruise,coldness,2
bruise,dizziness,1
bruise,sleepiness,1
bruise,muscle,1
bruise,elbow,2
bruise,multivitamin,1
bruise,hernia,1
bruise,cough,1
bruise,ibuprofen,1
bruise,osteoporosis,1
bruise,spine,1
bruise,skin,1
bruise,ejaculation,1
bruise,bladder,2
bruise,stitches,1
bruise,cramps,1
bruise,ultrasound,1
bruise,calf,1
bruise,puncture,1
bruise,orange,1
bruise,tailbone,1
bruise,travel,1
bruise,ears,1
bruise,tinnitus,1
bruise,tattoo,1
bruise,broken,1
bruise,kidney,1
bruise,kidney,1
bruise,ck,1
bruise,cats,1
bruise,fever,1
bruise,flu,1
bruise,sore,1
bruise,broken,1
bruise,bipolar,1
bruise,peripheral,1
bruise,cancer,1
bruise,hiccup,1
