source,target,value
burn,mayonnaise,1
burn,finger,4
burn,second,1
burn,antibiotic,10
burn,hand,15
burn,infection,1
burn,wrist,1
burn,blister,10
burn,healing,5
burn,lip,6
burn,pain,53
burn,tooth,1
burn,vision,15
burn,itch,15
burn,mole,4
burn,skin,1
burn,calorie,12
burn,chemotherapy,1
burn,nail,4
burn,wart,4
burn,emergency,1
burn,soup,2
burn,thigh,6
burn,ears,4
burn,pressure,8
burn,swelling,13
burn,forearm,2
burn,eyes,17
burn,bacterium,1
burn,smell,9
burn,vagina,31
burn,yeast,12
burn,egg,1
burn,eyeball,1
burn,eyelid,2
burn,stitches,2
burn,vinegar,3
burn,drainage,2
burn,leg,15
burn,iron,3
burn,shoulder,5
burn,acne,3
burn,chest,10
burn,laparoscopic,1
burn,surgery,2
burn,uterus,2
burn,ankle,4
burn,foot,12
burn,skin,25
burn,walking,10
burn,fever,7
burn,urination,24
burn,varicose,1
burn,birth,1
burn,period,11
burn,vaginal,4
burn,blood,3
burn,hallucination,1
burn,mouth,8
burn,nose,5
burn,hormone,1
burn,anus,7
burn,pea,1
burn,sexual,12
burn,armpit,1
burn,skin,1
burn,diarrhea,5
burn,nausea,3
burn,fatigue,2
burn,diet,3
burn,hemorrhoidectomy,1
burn,allergic,2
burn,hair,2
burn,scalp,2
burn,vein,1
burn,blinking,1
burn,muscle,4
burn,sting,4
burn,aloe,2
burn,heart,6
burn,throat,10
burn,exercise,3
burn,weight,7
burn,arm,11
burn,coldness,6
burn,neck,6
burn,amoxicillin,2
burn,ear,1
burn,eardrum,1
burn,rash,10
burn,dog,1
burn,food,9
burn,injection,5
burn,irritable,2
burn,pregnancy,5
burn,testicle,3
burn,ultrasound,1
burn,lotion,3
burn,stress,3
burn,sunburn,3
burn,drinking,8
burn,heartburn,5
burn,sore,1
burn,thrush,1
burn,ulcer,2
burn,toe,1
burn,workout,1
burn,worm,1
burn,erectile,1
burn,penis,24
burn,prostatitis,1
burn,weight,2
burn,dizziness,1
burn,bladder,2
burn,potato,1
burn,swallow,3
burn,height,2
burn,hiv,1
burn,high,2
burn,sexually,5
burn,movement,11
burn,shoulder,1
burn,sore,4
burn,flu,1
burn,head,10
burn,nostril,2
burn,triglyceride,1
burn,breast,8
burn,cervix,1
burn,migraine,1
burn,foreskin,3
burn,corpulence,2
burn,tonsil,1
burn,attention,1
burn,anxiety,1
burn,knee,2
burn,physical,1
burn,drowsiness,1
burn,running,5
burn,bacterial,1
burn,spotting,2
burn,buttocks,2
burn,urethra,3
burn,ejaculation,4
burn,biopsy,1
burn,allergy,6
burn,inflammation,4
burn,stomach,14
burn,genital,5
burn,cholesterol,1
burn,niacin,1
burn,vitamin,2
burn,herpes,2
burn,irregularity,1
burn,meal,2
burn,nerve,3
burn,bloodshot,1
burn,multivitamin,1
burn,flatulence,1
burn,sweating,3
burn,tenderness,2
burn,tongue,4
burn,hike,1
burn,lung,1
burn,diabetes,3
burn,fitness,1
burn,cooking,1
burn,headache,3
burn,kidney,2
burn,shingles,2
burn,acetaminophen,1
burn,insurance,2
burn,cats,1
burn,lump,3
burn,belly,1
burn,x,1
burn,kidney,2
burn,colonoscopy,1
burn,milk,1
burn,chronic,1
burn,masturbation,4
burn,artery,1
burn,plaque,1
burn,birthmark,1
burn,runny,1
burn,cough,4
burn,vaccination,1
burn,whooping,1
burn,urinary,2
burn,hysterectomy,2
burn,condom,1
burn,temperature,1
burn,thermometer,1
burn,yeast,2
burn,constipation,2
burn,cramps,1
burn,melanoma,1
burn,tumor,1
burn,fear,1
burn,back,2
burn,paranoid,1
burn,birth,2
burn,circumcision,2
burn,tea,2
burn,rectum,2
burn,scrotum,1
burn,abdominal,1
burn,aspiration,1
burn,baby,1
burn,anal,1
burn,human,1
burn,cold,1
burn,numbness,2
burn,thumb,1
burn,spasm,1
burn,concentration,1
burn,vasectomy,1
burn,fiber,2
burn,indigestion,1
burn,grape,1
burn,peripheral,1
burn,big,1
burn,fracture,1
burn,aloe,1
burn,neuropathy,1
burn,tennis,1
burn,vaginitis,2
burn,virus,1
burn,pulse,1
burn,bowel,4
burn,sciatica,1
burn,birth,2
burn,steroid,3
burn,ginger,1
burn,jaw,2
burn,travel,1
burn,cancer,1
burn,prostate,1
burn,insulin,1
burn,calf,1
burn,bloating,3
burn,menstrual,1
burn,appendix,1
burn,calamine,1
burn,menopause,1
burn,libido,1
burn,blood,1
burn,cervical,1
burn,jock,1
burn,tonsillitis,1
burn,hives,1
burn,welt,1
burn,scar,1
burn,hemorrhoid,1
burn,plantar,1
burn,metabolism,1
burn,pepper,1
burn,reaction,1
burn,ovulation,1
burn,vomit,1
