source,target,value
cancer,liver,15
cancer,fatigue,6
cancer,stress,1
cancer,exercise,1
cancer,nutrition,1
cancer,scrotum,1
cancer,colonoscopy,4
cancer,polyp,4
cancer,fruit,1
cancer,heart,1
cancer,vegetable,1
cancer,esophagus,3
cancer,anemia,1
cancer,pancreatic,3
cancer,breast,1
cancer,family,10
cancer,weight,1
cancer,penis,2
cancer,virus,3
cancer,wart,4
cancer,jaw,1
cancer,nightmare,1
cancer,colon,4
cancer,pain,17
cancer,swelling,6
cancer,lung,3
cancer,x,2
cancer,healing,1
cancer,lip,4
cancer,mouth,5
cancer,skin,4
cancer,benign,3
cancer,brain,2
cancer,chemotherapy,7
cancer,head,1
cancer,surgery,9
cancer,chest,1
cancer,smoking,4
cancer,cyst,7
cancer,hysterectomy,4
cancer,ultrasound,2
cancer,ears,4
cancer,itch,2
cancer,sore,2
cancer,vision,10
cancer,colon,4
cancer,mucus,2
cancer,lump,19
cancer,tumor,8
cancer,eyes,3
cancer,massage,1
cancer,pea,3
cancer,cervix,4
cancer,ovary,3
cancer,uterus,4
cancer,belly,2
cancer,muscle,2
cancer,organ,2
cancer,biopsy,8
cancer,breast,9
cancer,fear,4
cancer,breast,8
cancer,drug,3
cancer,pressure,1
cancer,merkel,1
cancer,skin,8
cancer,armpit,5
cancer,blood,1
cancer,diabetes,1
cancer,spine,2
cancer,blister,1
cancer,ulcer,1
cancer,digestive,1
cancer,juice,1
cancer,lemon,1
cancer,running,2
cancer,bone,1
cancer,blood,2
cancer,salivary,1
cancer,human,6
cancer,pap,4
cancer,hernia,2
cancer,leg,2
cancer,syphilis,1
cancer,testicle,8
cancer,foot,1
cancer,hand,3
cancer,sexual,8
cancer,cough,1
cancer,flu,3
cancer,prostate,3
cancer,prostate,1
cancer,period,3
cancer,sexually,1
cancer,cervical,2
cancer,pelvic,1
cancer,dementia,1
cancer,confusion,2
cancer,tongue,4
cancer,dysplasia,1
cancer,tobacco,3
cancer,acetaminophen,1
cancer,grief,1
cancer,bladder,2
cancer,drowsiness,1
cancer,stomach,4
cancer,taste,1
cancer,diet,2
cancer,injection,2
cancer,insurance,2
cancer,high,1
cancer,testosterone,2
cancer,puberty,1
cancer,prostate,7
cancer,thallium,1
cancer,tofu,1
cancer,tenderness,2
cancer,coldness,1
cancer,urination,4
cancer,waist,1
cancer,concentration,1
cancer,crying,1
cancer,lung,4
cancer,methadone,1
cancer,hormone,3
cancer,supplement,2
cancer,ovarian,3
cancer,tonsil,1
cancer,endometrium,2
cancer,pregnancy,1
cancer,drainage,3
cancer,sarcoma,1
cancer,vaccines,1
cancer,birth,1
cancer,birth,1
cancer,libido,1
cancer,rice,1
cancer,testicular,1
cancer,undescended,1
cancer,feeding,2
cancer,seeds,1
cancer,medicare,1
cancer,throat,7
cancer,movement,1
cancer,nipple,2
cancer,buttocks,1
cancer,glaucoma,1
cancer,yeast,2
cancer,kidney,1
cancer,keloid,1
cancer,oxycodone,1
cancer,sinus,1
cancer,sore,1
cancer,lymph,2
cancer,metastasis,1
cancer,neck,6
cancer,antibiotic,2
cancer,cellulitis,1
cancer,soy,2
cancer,hypothyroidism,1
cancer,thyroid,2
cancer,exposure,1
cancer,fever,2
cancer,sperm,1
cancer,food,2
cancer,meat,1
cancer,plant,1
cancer,protein,1
cancer,cirrhosis,3
cancer,kidney,4
cancer,bartholin,1
cancer,walnut,1
cancer,spinal,1
cancer,vaccination,2
cancer,pancreatitis,2
cancer,rectum,1
cancer,masturbation,1
cancer,uterine,1
cancer,vagina,2
cancer,arm,3
cancer,diarrhea,1
cancer,alcoholism,1
cancer,vomit,1
cancer,aggression,1
cancer,tea,1
cancer,anti,1
cancer,prostatitis,1
cancer,burn,1
cancer,ejaculation,2
cancer,sweating,1
cancer,blood,1
cancer,myeloma,1
cancer,back,1
cancer,stomach,3
cancer,yoga,1
cancer,vaginal,1
cancer,pancreas,1
cancer,magnesium,1
cancer,potassium,1
cancer,hemorrhoid,1
cancer,intestine,1
cancer,calcium,1
cancer,orgasm,1
cancer,birth,1
cancer,garlic,1
cancer,scar,1
cancer,ankle,1
cancer,tremor,1
cancer,niacin,1
cancer,radiation,1
cancer,anxiety,1
cancer,menopause,1
cancer,vocal,1
cancer,mole,1
cancer,immunotherapy,1
cancer,bruise,1
cancer,hiccup,1
cancer,leukoplakia,1
cancer,whitehead,1
