source,target,value
chest,angina,4
chest,pain,116
chest,dizziness,10
chest,lightheadedness,5
chest,nausea,4
chest,stomach,27
chest,stent,2
chest,heart,50
chest,vision,17
chest,adult,1
chest,over,3
chest,baby,2
chest,sids,1
chest,anxiety,12
chest,hot,1
chest,period,7
chest,sweating,9
chest,cold,5
chest,coldness,17
chest,diabetes,2
chest,high,5
chest,arm,41
chest,itch,6
chest,rash,10
chest,skin,7
chest,lithium,1
chest,flatulence,4
chest,muscle,14
chest,pacemaker,2
chest,pectoral,1
chest,weight,5
chest,lung,10
chest,x,12
chest,fever,12
chest,breast,20
chest,antibiotic,8
chest,palpation,2
chest,tension,1
chest,cough,24
chest,shoulder,10
chest,mucus,2
chest,exercise,10
chest,food,6
chest,stress,8
chest,exercise,4
chest,neck,24
chest,head,12
chest,whitehead,1
chest,movement,13
chest,tightness,19
chest,leg,10
chest,anesthesia,1
chest,surgery,5
chest,abdominal,1
chest,hernia,1
chest,endoscopy,1
chest,throat,9
chest,esophagus,3
chest,emergency,3
chest,carrot,1
chest,meat,1
chest,ears,7
chest,tinnitus,1
chest,vagina,2
chest,yeast,1
chest,ear,1
chest,post,1
chest,pressure,7
chest,cancer,1
chest,smoking,7
chest,nose,4
chest,hives,3
chest,numbness,2
chest,blood,3
chest,family,4
chest,sinus,5
chest,headache,9
chest,vomit,3
chest,insurance,4
chest,beta,1
chest,heart,1
chest,lower,1
chest,diet,3
chest,buttocks,1
chest,blister,2
chest,mitral,1
chest,walking,8
chest,armpit,2
chest,workout,3
chest,belly,1
chest,hair,6
chest,nipple,4
chest,runny,3
chest,running,10
chest,treadmill,2
chest,bacterium,1
chest,poisoning,1
chest,angioplasty,1
chest,angiogram,1
chest,vein,2
chest,appendix,1
chest,thyroid,4
chest,cramps,2
chest,injection,6
chest,crying,3
chest,panic,4
chest,liver,2
chest,tenderness,3
chest,heart,2
chest,burn,10
chest,laparoscopic,1
chest,uterus,1
chest,pregnancy,8
chest,flu,2
chest,hoarseness,1
chest,shoulder,4
chest,epistaxis,1
chest,fatigue,6
chest,pulse,5
chest,waist,1
chest,drowsiness,5
chest,lump,6
chest,brain,1
chest,echocardiogram,2
chest,elbow,2
chest,electrocardiogram,5
chest,drinking,9
chest,meal,3
chest,swallow,4
chest,anger,2
chest,toddler,1
chest,torso,2
chest,ligament,1
chest,ribcage,1
chest,hand,5
chest,blood,2
chest,pulmonary,1
chest,back,1
chest,condom,2
chest,pregnancy,1
chest,sexual,4
chest,heartburn,2
chest,corpulence,2
chest,fear,2
chest,supplement,2
chest,paraplegia,1
chest,bloating,2
chest,quit,1
chest,sore,2
chest,concentration,1
chest,potato,1
chest,kyphosis,1
chest,choking,1
chest,mouth,2
chest,puberty,1
chest,lymph,1
chest,beverages,1
chest,dog,2
chest,yoga,1
chest,thigh,2
chest,sternum,2
chest,acetaminophen,2
chest,pleurisy,2
chest,allergy,4
chest,confusion,1
chest,wound,1
chest,bruise,2
chest,blood,1
chest,asthma,3
chest,inhaler,1
chest,pets,1
chest,varicose,1
chest,ibuprofen,1
chest,spine,2
chest,irritability,1
chest,tetanus,1
chest,jaw,5
chest,blood,1
chest,diet,1
chest,gastritis,1
chest,kidney,1
chest,chemotherapy,1
chest,cats,1
chest,palpitation,1
chest,foot,1
chest,forehead,1
chest,juice,1
chest,multivitamin,1
chest,short,2
chest,pneumonia,2
chest,antidepressant,1
chest,depression,2
chest,swelling,3
chest,menopause,1
chest,acne,2
chest,limb,2
chest,nervousness,1
chest,nerve,1
chest,tachycardia,1
chest,hunger,1
chest,consciousness,1
chest,finger,1
chest,artery,1
chest,irregularity,2
chest,healing,2
chest,scar,1
chest,bronchitis,1
chest,menstrual,1
chest,height,1
chest,sunburn,1
chest,lymphoma,1
chest,infant,1
chest,blood,1
chest,bicep,1
chest,staph,1
chest,salad,1
chest,forearm,1
chest,taste,1
chest,marijuana,1
chest,virus,1
chest,cortisone,1
chest,cat,1
chest,first,1
chest,weakness,4
chest,protein,1
chest,temperature,2
chest,tooth,1
chest,breast,1
chest,magnetic,1
chest,birth,1
chest,heart,2
chest,drowning,1
chest,ulcer,1
chest,melatonin,1
chest,scoliosis,1
chest,masturbation,3
chest,ejaculation,2
chest,sperm,1
chest,exposure,1
chest,sting,1
chest,rhinitis,1
chest,coffee,1
chest,shingles,1
chest,congestive,1
chest,cavity,1
chest,pericarditis,1
chest,fracture,1
