source,target,value
coldness,cold,71
coldness,arthritis,1
coldness,pain,21
coldness,vitamin,5
coldness,baby,11
coldness,drug,17
coldness,high,8
coldness,over,13
coldness,pregnancy,11
coldness,flu,18
coldness,injection,4
coldness,runny,7
coldness,cough,41
coldness,infant,4
coldness,hoarseness,1
coldness,sore,15
coldness,toddler,4
coldness,drainage,5
coldness,sinus,14
coldness,ears,15
coldness,antibiotic,10
coldness,swelling,8
coldness,throat,22
coldness,tonsil,5
coldness,ice,1
coldness,molar,1
coldness,cavity,2
coldness,allergy,9
coldness,stuffy,6
coldness,obesity,1
coldness,diabetes,4
coldness,cholesterol,1
coldness,naproxen,1
coldness,chest,17
coldness,birth,4
coldness,thyroid,5
coldness,aspirin,2
coldness,breastfeed,1
coldness,acetaminophen,2
coldness,family,3
coldness,flax,1
coldness,flaxseed,1
coldness,drinking,15
coldness,tooth,6
coldness,turkey,14
coldness,vision,18
coldness,exercise,10
coldness,muscle,2
coldness,fish,1
coldness,blood,3
coldness,foot,15
coldness,anxiety,4
coldness,urethra,2
coldness,urination,4
coldness,rice,1
coldness,tongue,1
coldness,coffee,4
coldness,drowsiness,8
coldness,lump,4
coldness,lymph,4
coldness,neck,8
coldness,pressure,5
coldness,finger,7
coldness,hand,20
coldness,heart,5
coldness,fever,18
coldness,nausea,4
coldness,stomach,6
coldness,sweating,18
coldness,ejaculation,3
coldness,nose,18
coldness,temperature,9
coldness,jaw,2
coldness,corpulence,2
coldness,immune,4
coldness,brain,1
coldness,allergic,1
coldness,dizziness,4
coldness,lightheadedness,3
coldness,hives,1
coldness,steroid,2
coldness,cold,5
coldness,genital,1
coldness,herpes,1
coldness,lip,6
coldness,eyes,15
coldness,puffiness,1
coldness,antidepressant,1
coldness,nasal,1
coldness,chai,1
coldness,caffeine,1
coldness,tea,2
coldness,gastric,1
coldness,hormone,2
coldness,period,6
coldness,bipolar,1
coldness,insurance,4
coldness,mood,1
coldness,running,11
coldness,lung,9
coldness,circulation,2
coldness,asthma,1
coldness,walking,5
coldness,yeast,1
coldness,diarrhea,3
coldness,skin,13
coldness,exercise,2
coldness,thirst,3
coldness,pulse,1
coldness,fertility,1
coldness,kidney,3
coldness,ovary,1
coldness,hot,2
coldness,vomit,6
coldness,crying,1
coldness,head,15
coldness,calorie,1
coldness,smoking,3
coldness,mucus,3
coldness,fatigue,2
coldness,whooping,4
coldness,spit,1
coldness,anemia,1
coldness,low,1
coldness,supplement,1
coldness,zinc,2
coldness,healthy,1
coldness,knee,1
coldness,surgery,7
coldness,diabetic,1
coldness,rash,5
coldness,movement,7
coldness,pink,3
coldness,ear,2
coldness,biopsy,2
coldness,colonoscopy,1
coldness,endoscopy,1
coldness,sleepiness,2
coldness,leg,6
coldness,low,1
coldness,hydrocortisone,1
coldness,eyebrow,2
coldness,piercing,1
coldness,soft,1
coldness,arm,8
coldness,grip,1
coldness,bronchitis,3
coldness,weight,2
coldness,ibuprofen,1
coldness,food,6
coldness,birth,3
coldness,cats,1
coldness,dog,2
coldness,morphine,1
coldness,burn,6
coldness,tightness,1
coldness,pancreatitis,1
coldness,thumb,2
coldness,wrist,2
coldness,tear,1
coldness,insulin,1
coldness,type,1
coldness,fear,4
coldness,vagina,1
coldness,flour,1
coldness,weakness,4
coldness,thigh,1
coldness,sinus,5
coldness,irregularity,1
coldness,sexual,3
coldness,marijuana,1
coldness,methadone,1
coldness,penicillin,2
coldness,watery,1
coldness,bacterium,1
coldness,elbow,2
coldness,shoulder,4
coldness,electrocardiogram,1
coldness,numbness,2
coldness,scoliosis,1
coldness,blinking,1
coldness,skull,1
coldness,soda,1
coldness,weight,1
coldness,reaction,2
coldness,headache,7
coldness,nipple,1
coldness,hiv,1
coldness,mouth,2
coldness,rhinitis,1
coldness,scrape,2
coldness,sexually,1
coldness,shaving,1
coldness,abscess,1
coldness,nostril,2
coldness,flatulence,1
coldness,pancreas,1
coldness,blood,1
coldness,confusion,2
coldness,heartburn,2
coldness,meal,1
coldness,ankle,3
coldness,breast,3
coldness,hair,2
coldness,wisdom,1
coldness,stress,2
coldness,swallow,1
coldness,colorado,1
coldness,nebulization,1
coldness,northnarolina,1
coldness,travel,1
coldness,cellulitis,1
coldness,virus,7
coldness,penis,1
coldness,cancer,1
coldness,waist,1
coldness,testicle,1
coldness,prenatal,1
coldness,autism,1
coldness,attention,1
coldness,constriction,1
coldness,index,1
coldness,injury,1
coldness,vaccination,1
coldness,alcoholism,1
