source,target,value
condom,skin,2
condom,birth,7
condom,herpes,6
condom,oral,2
condom,erection,5
condom,penis,14
condom,rectum,1
condom,testicle,2
condom,abdominal,2
condom,irregularity,3
condom,period,66
condom,vagina,18
condom,buttocks,1
condom,fear,5
condom,vision,5
condom,crying,2
condom,ejaculation,27
condom,sexual,74
condom,birth,21
condom,pregnancy,71
condom,masturbation,2
condom,virus,2
condom,baby,3
condom,stress,6
condom,pregnancy,10
condom,chlamydia,3
condom,tattoo,1
condom,blister,2
condom,erythema,1
condom,anus,5
condom,breast,2
condom,pain,2
condom,genitalia,3
condom,drowsiness,1
condom,bladder,1
condom,exposure,5
condom,hiv,5
condom,western,1
condom,toxic,1
condom,finger,2
condom,chest,2
condom,belly,1
condom,morning,4
condom,cramps,6
condom,injection,2
condom,weight,1
condom,paranoid,5
condom,spotting,4
condom,nausea,1
condom,stomach,2
condom,testosterone,1
condom,urination,1
condom,abortion,2
condom,genital,2
condom,abscess,1
condom,lump,1
condom,waist,1
condom,human,2
condom,cough,1
condom,ovulation,5
condom,mouth,4
condom,swelling,2
condom,wrinkle,1
condom,throat,2
condom,leg,1
condom,drug,1
condom,marijuana,1
condom,smoking,1
condom,anxiety,1
condom,tonsil,1
condom,fertility,1
condom,nervousness,3
condom,pelvis,1
condom,fatigue,1
condom,headache,1
condom,sore,1
condom,depression,1
condom,migraine,1
condom,foreskin,1
condom,head,1
condom,diaphragm,1
condom,burn,1
condom,vinegar,1
condom,hormone,1
condom,bacterium,2
condom,short,4
condom,hormone,2
condom,hair,1
condom,hand,2
condom,cold,1
condom,flu,2
condom,lip,2
condom,yeast,3
condom,sperm,2
condom,affordable,1
condom,stillbirth,1
condom,sexually,2
condom,antibiotic,1
condom,strep,1
condom,stomachache,1
condom,movement,2
condom,scrape,1
condom,itch,3
condom,thrush,1
condom,diarrhea,1
condom,yeast,2
condom,tongue,1
condom,endometrial,1
condom,urinary,1
condom,drinking,2
condom,coconut,1
condom,vasectomy,2
condom,back,1
condom,mood,1
condom,smell,1
condom,insurance,2
condom,estrogen,1
condom,confusion,1
condom,drug,1
condom,conception,2
condom,bloating,1
condom,spit,1
condom,surgery,1
condom,tubal,1
condom,stroke,1
condom,scrotum,1
