source,target,value
cough,itch,2
cough,throat,26
cough,coldness,41
cough,cold,14
cough,infant,7
cough,hoarseness,3
cough,sore,24
cough,toddler,2
cough,pregnancy,10
cough,sinus,11
cough,allergy,8
cough,drug,4
cough,over,7
cough,acetaminophen,1
cough,ibuprofen,2
cough,hydrocodone,1
cough,nasal,2
cough,steroid,3
cough,belly,1
cough,cyst,1
cough,ovary,1
cough,pelvic,2
cough,mucus,18
cough,taste,3
cough,schizophrenia,1
cough,sleep,1
cough,sleepiness,1
cough,smoking,5
cough,cats,3
cough,chest,24
cough,heart,5
cough,shoulder,3
cough,sweating,6
cough,collapsed,1
cough,asthma,3
cough,virus,2
cough,fever,30
cough,lymph,1
cough,sinus,9
cough,antibiotic,18
cough,honey,3
cough,syrup,1
cough,muscle,4
cough,neck,7
cough,shoulder,2
cough,vision,12
cough,baby,10
cough,vomit,5
cough,palpitation,1
cough,shock,1
cough,nose,12
cough,ablation,1
cough,lung,11
cough,movement,9
cough,appendix,1
cough,blood,3
cough,rash,2
cough,boil,1
cough,head,7
cough,nostril,1
cough,drinking,11
cough,stuffy,9
cough,fatigue,3
cough,pneumonia,5
cough,walking,3
cough,flu,8
cough,pulse,3
cough,mold,2
cough,penicillin,2
cough,runny,14
cough,running,12
cough,ear,5
cough,ears,11
cough,pain,34
cough,whooping,5
cough,nausea,3
cough,zinc,2
cough,immune,1
cough,tonsil,2
cough,spit,2
cough,bronchitis,9
cough,x,3
cough,period,3
cough,inhaler,3
cough,tightness,4
cough,chronic,1
cough,exercise,4
cough,nightmare,1
cough,dizziness,2
cough,food,4
cough,headache,10
cough,mouth,3
cough,spitting,1
cough,eyes,6
cough,post,1
cough,insurance,2
cough,dental,1
cough,tooth,3
cough,drowsiness,4
cough,separation,1
cough,allergic,1
cough,ice,2
cough,milk,4
cough,waist,1
cough,diarrhea,2
cough,temperature,1
cough,anger,1
cough,nervousness,1
cough,hay,1
cough,injury,2
cough,short,1
cough,pasta,1
cough,watery,2
cough,cancer,1
cough,lump,1
cough,testicle,1
cough,foot,2
cough,stomach,4
cough,weakness,2
cough,swallow,6
cough,tongue,1
cough,breast,4
cough,ribcage,1
cough,workout,1
cough,congestive,1
cough,edema,1
cough,back,4
cough,emergency,2
cough,incontinence,1
cough,jaw,1
cough,gallbladder,1
cough,bicep,1
cough,arm,1
cough,amoxicillin,3
cough,barium,1
cough,wrist,1
cough,pressure,5
cough,asthma,1
cough,hernia,1
cough,chickenpox,1
cough,vaccination,3
cough,quit,3
cough,pancreas,1
cough,skin,1
cough,condom,1
cough,fear,1
cough,sexual,3
cough,esophagus,1
cough,spasm,1
cough,laboratory,1
cough,shingles,1
cough,cavity,1
cough,lemon,1
cough,tea,4
cough,swelling,3
cough,toe,1
cough,dog,1
cough,rabies,1
cough,autism,1
cough,attention,1
cough,burn,4
cough,choking,2
cough,echocardiogram,1
cough,tachycardia,1
cough,ventricle,1
cough,exposure,1
cough,blood,2
cough,cramps,1
cough,crying,1
cough,cirrhosis,1
cough,coffee,1
cough,anus,1
cough,middle,1
cough,strep,3
cough,tonsillitis,1
cough,reaction,1
cough,dehydration,1
cough,ammonia,1
cough,labor,1
cough,menstrual,1
cough,pleurisy,1
cough,hand,1
cough,aspiration,1
cough,smell,1
cough,surgery,2
cough,travel,1
cough,hair,1
cough,herniated,1
cough,ultrasound,1
cough,acute,1
cough,hematoma,1
cough,birth,1
cough,feeding,1
cough,pink,1
cough,ulcer,1
cough,knee,1
cough,abdominal,1
cough,hiv,1
cough,thyroid,1
cough,bruise,1
cough,inflammation,1
cough,hunger,1
cough,adenoidectomy,1
cough,plaque,1
cough,leg,1
cough,thigh,1
cough,mite,1
cough,family,1
cough,cartilage,1
cough,hiccup,1
cough,bacterium,1
