source,target,value
cramps,muscle,13
cramps,vitamin,2
cramps,bloating,11
cramps,ibuprofen,1
cramps,pain,38
cramps,stomach,34
cramps,concussion,1
cramps,menstrual,3
cramps,naproxen,2
cramps,leg,24
cramps,potassium,2
cramps,birth,17
cramps,period,114
cramps,ejaculation,3
cramps,ovulation,10
cramps,pregnancy,42
cramps,bowel,4
cramps,diarrhea,12
cramps,nausea,12
cramps,ribcage,2
cramps,sweating,4
cramps,weakness,3
cramps,pregnancy,11
cramps,sexual,16
cramps,spotting,20
cramps,baby,2
cramps,foot,5
cramps,back,11
cramps,breast,11
cramps,fatigue,5
cramps,headache,5
cramps,pressure,3
cramps,tightness,2
cramps,tooth,1
cramps,miscarriage,4
cramps,forearm,1
cramps,hand,8
cramps,arthritis,2
cramps,knee,2
cramps,diet,2
cramps,prostate,1
cramps,menopause,6
cramps,chest,2
cramps,blood,2
cramps,allergy,1
cramps,b12,1
cramps,anus,1
cramps,pelvic,2
cramps,vision,6
cramps,tampon,3
cramps,drowsiness,1
cramps,puberty,1
cramps,ankle,2
cramps,calf,5
cramps,neuropathy,1
cramps,irregularity,4
cramps,injection,2
cramps,drinking,4
cramps,salt,1
cramps,vomit,7
cramps,condom,6
cramps,weight,2
cramps,vagina,3
cramps,soda,1
cramps,caffeine,1
cramps,menstrual,1
cramps,running,3
cramps,fever,3
cramps,mucus,3
cramps,family,1
cramps,stroke,1
cramps,weight,1
cramps,swelling,4
cramps,post,1
cramps,morning,1
cramps,hot,1
cramps,kidney,1
cramps,ovary,2
cramps,cervical,1
cramps,wrist,1
cramps,cough,1
cramps,movement,4
cramps,birth,1
cramps,urination,2
cramps,nervousness,1
cramps,constipation,2
cramps,burn,1
cramps,insurance,3
cramps,massage,1
cramps,meal,2
cramps,belly,1
cramps,heart,1
cramps,smell,2
cramps,diaphragm,2
cramps,smoking,1
cramps,calcium,1
cramps,spasm,2
cramps,throat,1
cramps,thyroid,1
cramps,tenderness,2
cramps,abdominal,2
cramps,diabetes,2
cramps,iron,1
cramps,thigh,4
cramps,dehydration,1
cramps,anxiety,1
cramps,food,1
cramps,crying,1
cramps,buttocks,1
cramps,obesity,1
cramps,stress,2
cramps,finger,3
cramps,herniated,1
cramps,fertility,1
cramps,pelvis,1
cramps,dizziness,1
cramps,low,1
cramps,swallow,1
cramps,uterus,1
cramps,bruise,1
cramps,ultrasound,1
cramps,endometriosis,1
cramps,fallopian,1
cramps,surgery,1
cramps,puncture,1
cramps,insomnia,1
cramps,blood,2
cramps,flu,1
cramps,piercing,1
cramps,blood,1
cramps,anemia,1
cramps,insulin,1
cramps,ectopic,1
cramps,perimenopause,1
cramps,melatonin,1
cramps,colon,1
cramps,weight,1
cramps,birth,3
cramps,eyes,1
cramps,mite,1
cramps,arm,2
cramps,height,1
cramps,type,1
cramps,blood,1
