source,target,value
depression,vitamin,1
depression,bipolar,5
depression,diet,1
depression,drug,15
depression,pregnancy,5
depression,lithium,1
depression,st,1
depression,hormone,2
depression,menopause,3
depression,anxiety,44
depression,muscle,3
depression,nausea,2
depression,insomnia,2
depression,manic,5
depression,period,9
depression,attention,3
depression,meal,1
depression,fibromyalgia,3
depression,pain,7
depression,insurance,2
depression,monoamine,1
depression,hot,1
depression,hysterectomy,1
depression,heart,1
depression,high,2
depression,electroconvulsive,1
depression,thyroid,3
depression,drug,1
depression,sweating,3
depression,borderline,1
depression,antidepressant,7
depression,vision,9
depression,parkinsons,1
depression,schizophrenia,2
depression,exercise,4
depression,panic,3
depression,fatigue,6
depression,hair,2
depression,pituitary,2
depression,testosterone,4
depression,blindness,1
depression,memory,1
depression,nightmare,1
depression,concentration,4
depression,crying,2
depression,suicide,2
depression,breast,1
depression,fear,3
depression,head,4
depression,surgery,2
depression,anger,6
depression,weight,6
depression,yeast,1
depression,orgasm,1
depression,post,1
depression,psychotherapy,1
depression,sexual,1
depression,heartburn,1
depression,psychosis,1
depression,smell,2
depression,movement,1
depression,family,8
depression,b12,1
depression,neuropathy,1
depression,trauma,1
depression,vitamin,1
depression,birth,2
depression,injection,3
depression,injury,1
depression,chronic,2
depression,running,4
depression,headache,6
depression,sids,1
depression,stress,9
depression,sexual,3
depression,drowsiness,3
depression,seizure,1
depression,drinking,4
depression,height,1
depression,coffee,1
depression,low,1
depression,brain,2
depression,mental,1
depression,weight,2
depression,diabetes,3
depression,baby,2
depression,miscarriage,1
depression,postpartum,1
depression,health,1
depression,virginia,1
depression,chest,2
depression,depo,2
depression,lupus,1
depression,condom,1
depression,migraine,2
depression,allergic,1
depression,hives,1
depression,weight,1
depression,craving,1
depression,corpulence,1
depression,hypothyroidism,1
depression,food,1
depression,healthy,3
depression,post,1
depression,weight,1
depression,supplement,1
depression,dizziness,2
depression,sadness,2
depression,over,1
depression,paranoid,1
depression,neck,2
depression,erection,1
depression,penis,1
depression,irritability,1
depression,vasectomy,1
depression,cpap,1
depression,snorer,1
depression,mood,1
depression,pregnancy,1
depression,diverticulitis,1
depression,thigh,1
depression,tightness,1
depression,constipation,1
depression,resection,1
depression,shock,1
depression,paranoia,1
depression,spasm,1
depression,drainage,1
depression,electric,1
depression,eyes,1
depression,high,1
depression,short,1
depression,type,1
depression,dog,2
depression,walking,2
depression,reaction,1
depression,oxygen,1
depression,heart,1
depression,cats,1
depression,hyperthyroidism,1
depression,epilepsy,1
depression,gastric,1
depression,vomit,1
depression,stretch,1
depression,diet,1
