source,target,value
diabetes,echocardiogram,1
diabetes,hyperglycemia,1
diabetes,diet,15
diabetes,blood,21
diabetes,period,6
diabetes,coffee,2
diabetes,milk,1
diabetes,high,10
diabetes,bowel,1
diabetes,bloating,1
diabetes,flatulence,1
diabetes,ginkgo,1
diabetes,injury,3
diabetes,vitamin,2
diabetes,drug,7
diabetes,vision,12
diabetes,fruit,2
diabetes,overactive,1
diabetes,sexual,1
diabetes,tongue,2
diabetes,big,2
diabetes,finger,2
diabetes,skin,6
diabetes,toe,4
diabetes,diabetic,1
diabetes,nerve,2
diabetes,tooth,1
diabetes,anemia,2
diabetes,kidney,7
diabetes,coldness,4
diabetes,cold,2
diabetes,flu,2
diabetes,chest,2
diabetes,oatmeal,4
diabetes,meal,5
diabetes,rash,1
diabetes,coma,1
diabetes,fatigue,2
diabetes,pain,9
diabetes,vitamin,2
diabetes,foot,14
diabetes,exercise,6
diabetes,insulin,19
diabetes,ejaculation,1
diabetes,fertility,2
diabetes,anger,2
diabetes,brain,1
diabetes,reaction,1
diabetes,headache,4
diabetes,hypoglycemia,2
diabetes,celiac,1
diabetes,nausea,2
diabetes,vomit,2
diabetes,ablation,1
diabetes,healing,4
diabetes,heart,6
diabetes,surgery,6
diabetes,hand,6
diabetes,meat,1
diabetes,weight,11
diabetes,edema,1
diabetes,movement,2
diabetes,blood,5
diabetes,obesity,3
diabetes,type,6
diabetes,drainage,3
diabetes,puncture,1
diabetes,rectum,1
diabetes,sleep,2
diabetes,colonoscopy,1
diabetes,endoscopy,1
diabetes,stomach,2
diabetes,ultrasound,1
diabetes,rheumatoid,2
diabetes,height,4
diabetes,waist,2
diabetes,walking,6
diabetes,cooking,2
diabetes,food,5
diabetes,gallbladder,1
diabetes,over,2
diabetes,sinus,2
diabetes,gestational,4
diabetes,pregnancy,8
diabetes,drinking,16
diabetes,family,7
diabetes,knee,3
diabetes,giddiness,1
diabetes,leg,7
diabetes,numbness,4
diabetes,autoimmune,1
diabetes,lupus,2
diabetes,metabolism,1
diabetes,yeast,1
diabetes,addiction,1
diabetes,fibromyalgia,3
diabetes,premature,1
diabetes,supplement,1
diabetes,dry,1
diabetes,oil,2
diabetes,scalp,1
diabetes,cancer,1
diabetes,blood,4
diabetes,spine,2
diabetes,tumor,1
diabetes,heart,2
diabetes,choking,1
diabetes,neuropathy,3
diabetes,dizziness,4
diabetes,neck,4
diabetes,injection,3
diabetes,diarrhea,2
diabetes,dog,2
diabetes,eyes,4
diabetes,short,3
diabetes,drowsiness,3
diabetes,running,4
diabetes,suicide,1
diabetes,treadmill,1
diabetes,kidney,2
diabetes,potassium,2
diabetes,stent,2
diabetes,nail,2
diabetes,heart,3
diabetes,oral,1
diabetes,infertility,1
diabetes,turkey,2
diabetes,hike,1
diabetes,low,1
diabetes,type,2
diabetes,yeast,6
diabetes,positron,1
diabetes,arm,4
diabetes,antibiotic,2
diabetes,corpulence,3
diabetes,tenderness,1
diabetes,muscle,4
diabetes,shin,1
diabetes,blindness,1
diabetes,stroke,2
diabetes,fear,4
diabetes,seizure,3
diabetes,triglyceride,1
diabetes,liver,3
diabetes,birth,1
diabetes,baby,4
diabetes,sweating,7
diabetes,blister,2
diabetes,wound,3
diabetes,pineapple,1
diabetes,watermelon,1
diabetes,bruise,1
diabetes,jaw,1
diabetes,fiber,1
diabetes,hydrocephalus,1
diabetes,acetaminophen,1
diabetes,sleepiness,1
diabetes,depression,3
diabetes,boil,3
diabetes,aspirin,1
diabetes,hepatitis,1
diabetes,marijuana,1
diabetes,burn,3
diabetes,anus,1
diabetes,roast,1
diabetes,insurance,3
diabetes,weight,1
diabetes,birth,1
diabetes,blood,1
diabetes,alcoholism,1
diabetes,benign,1
diabetes,tea,1
diabetes,pancreatitis,1
diabetes,hunger,2
diabetes,irritability,1
diabetes,ring,1
diabetes,gallstone,1
diabetes,head,3
diabetes,high,2
diabetes,lemon,1
diabetes,stress,2
diabetes,creatinine,1
diabetes,tattoo,3
diabetes,back,1
diabetes,hiv,1
diabetes,iron,1
diabetes,erectile,1
diabetes,carrot,1
diabetes,salt,2
diabetes,smoking,2
diabetes,bladder,1
diabetes,hair,1
diabetes,cats,2
diabetes,ringworm,1
diabetes,migraine,1
diabetes,ears,1
diabetes,cuts,1
diabetes,okra,2
diabetes,vegetable,1
diabetes,toenail,1
diabetes,lung,1
diabetes,spotting,2
diabetes,cramps,2
diabetes,goiter,1
diabetes,thyroid,1
diabetes,concentration,1
diabetes,chronic,1
diabetes,anxiety,1
diabetes,swelling,3
diabetes,soda,2
diabetes,dental,1
diabetes,apnea,1
diabetes,thirst,1
diabetes,urination,2
diabetes,thyroid,1
diabetes,acetone,1
diabetes,taste,1
diabetes,workout,1
diabetes,angioplasty,1
diabetes,cholesterol,3
diabetes,connective,1
diabetes,arthritis,1
diabetes,pulse,1
diabetes,wine,1
diabetes,calorie,1
diabetes,ankle,1
diabetes,systemic,1
diabetes,brain,1
diabetes,lymph,1
diabetes,perimenopause,1
diabetes,hip,1
diabetes,cervix,1
diabetes,shoulder,1
diabetes,emphysema,1
diabetes,cocaine,1
diabetes,steroid,1
diabetes,itch,1
diabetes,heat,1
diabetes,hemochromatosis,1
diabetes,insomnia,1
diabetes,restlessness,1
diabetes,spasm,1
diabetes,polyp,1
diabetes,dementia,1
diabetes,pacemaker,1
diabetes,confusion,2
diabetes,feeding,1
diabetes,weakness,1
diabetes,epilepsy,1
diabetes,fingernail,1
diabetes,splinter,1
diabetes,hyperthyroidism,1
diabetes,lightheadedness,1
diabetes,pressure,1
diabetes,organ,1
diabetes,vaginal,1
diabetes,penis,1
diabetes,flax,1
diabetes,garlic,1
