source,target,value
diarrhea,constipation,10
diarrhea,over,5
diarrhea,vomit,25
diarrhea,infant,2
diarrhea,travelers,12
diarrhea,drug,3
diarrhea,diet,4
diarrhea,infection,1
diarrhea,antibiotic,7
diarrhea,vision,12
diarrhea,stomach,42
diarrhea,irritable,4
diarrhea,menopause,1
diarrhea,perimenopause,1
diarrhea,pedialyte,2
diarrhea,toddler,2
diarrhea,flu,3
diarrhea,rectum,1
diarrhea,bowel,18
diarrhea,bacterium,1
diarrhea,drinking,9
diarrhea,insulin,1
diarrhea,cramps,12
diarrhea,nausea,21
diarrhea,dog,1
diarrhea,leg,4
diarrhea,virus,6
diarrhea,bladder,1
diarrhea,knee,2
diarrhea,pacemaker,1
diarrhea,surgery,4
diarrhea,fatigue,6
diarrhea,onion,1
diarrhea,sour,1
diarrhea,insurance,1
diarrhea,movement,7
diarrhea,food,3
diarrhea,birth,1
diarrhea,acne,1
diarrhea,hot,2
diarrhea,colon,2
diarrhea,pain,22
diarrhea,temperature,1
diarrhea,coldness,3
diarrhea,skin,4
diarrhea,fever,12
diarrhea,gallbladder,2
diarrhea,smell,4
diarrhea,ears,2
diarrhea,yogurt,3
diarrhea,salt,1
diarrhea,headache,4
diarrhea,blood,2
diarrhea,allergy,1
diarrhea,weight,2
diarrhea,swelling,3
diarrhea,testicle,2
diarrhea,bloating,6
diarrhea,flatulence,3
diarrhea,spasm,1
diarrhea,gastroenteritis,3
diarrhea,diabetes,2
diarrhea,colonoscopy,5
diarrhea,esophagogastroduodenoscopy,1
diarrhea,lactose,1
diarrhea,cyst,2
diarrhea,penicillin,1
diarrhea,throat,2
diarrhea,burn,5
diarrhea,cough,2
diarrhea,baby,3
diarrhea,pregnancy,4
diarrhea,sore,1
diarrhea,eyes,1
diarrhea,injection,1
diarrhea,abdominal,5
diarrhea,food,12
diarrhea,heartburn,1
diarrhea,mouth,1
diarrhea,urination,2
diarrhea,anus,3
diarrhea,pressure,2
diarrhea,tenderness,2
diarrhea,colposcopy,1
diarrhea,intestine,4
diarrhea,meal,4
diarrhea,dizziness,2
diarrhea,lightheadedness,1
diarrhea,circulation,1
diarrhea,calf,1
diarrhea,ankle,1
diarrhea,arm,3
diarrhea,hair,1
diarrhea,sweating,5
diarrhea,lump,1
diarrhea,rash,1
diarrhea,tongue,1
diarrhea,endoscopy,2
diarrhea,morphine,1
diarrhea,ultrasound,2
diarrhea,drowsiness,1
diarrhea,mucus,5
diarrhea,welt,1
diarrhea,weakness,3
diarrhea,fish,1
diarrhea,period,5
diarrhea,birth,1
diarrhea,breast,1
diarrhea,hunger,2
diarrhea,weight,1
diarrhea,ingrown,1
diarrhea,fear,2
diarrhea,worm,1
diarrhea,appendix,1
diarrhea,hand,1
diarrhea,ovary,4
diarrhea,confusion,1
diarrhea,blood,1
diarrhea,head,1
diarrhea,lactose,1
diarrhea,migraine,1
diarrhea,weight,2
diarrhea,electrogastrogram,1
diarrhea,cat,1
diarrhea,taste,1
diarrhea,walking,1
diarrhea,inhaler,1
diarrhea,sting,1
diarrhea,coffee,2
diarrhea,exercise,1
diarrhea,glycerin,1
diarrhea,metamucil,1
diarrhea,honey,1
diarrhea,vinegar,1
diarrhea,fruit,1
diarrhea,short,2
diarrhea,carrot,1
diarrhea,vegetable,1
diarrhea,pizza,1
diarrhea,supplement,1
diarrhea,pelvis,1
diarrhea,hemorrhoid,1
diarrhea,jelly,1
diarrhea,acetaminophen,1
diarrhea,ibuprofen,1
diarrhea,urethra,1
diarrhea,diaper,1
diarrhea,crying,1
diarrhea,amoxicillin,1
diarrhea,lip,1
diarrhea,oil,1
diarrhea,olive,1
diarrhea,heart,1
diarrhea,low,1
diarrhea,milk,1
diarrhea,soy,1
diarrhea,blood,1
diarrhea,sinus,1
diarrhea,pelvic,2
diarrhea,rice,1
diarrhea,back,3
diarrhea,running,2
diarrhea,caffeine,1
diarrhea,lobster,1
diarrhea,dehydration,2
diarrhea,nervousness,1
diarrhea,family,1
diarrhea,knee,1
diarrhea,anxiety,2
diarrhea,makeup,1
diarrhea,lettuce,2
diarrhea,finger,1
diarrhea,hemoglobin,1
diarrhea,nail,1
diarrhea,stool,1
diarrhea,cancer,1
diarrhea,drainage,1
diarrhea,pancreatic,2
diarrhea,condom,1
diarrhea,ejaculation,1
diarrhea,yeast,1
diarrhea,yeast,1
diarrhea,peanut,1
diarrhea,insomnia,1
diarrhea,gastritis,1
diarrhea,healing,2
diarrhea,penis,1
diarrhea,tooth,1
diarrhea,libido,1
diarrhea,mood,1
diarrhea,cats,1
diarrhea,biopsy,1
diarrhea,itch,1
diarrhea,scrotum,1
diarrhea,liver,1
diarrhea,panic,1
