source,target,value
diet,weight,38
diet,running,3
diet,obesity,5
diet,skin,8
diet,weight,11
diet,over,3
diet,diabetes,15
diet,cellulite,1
diet,exercise,49
diet,carbohydrate,3
diet,low,2
diet,heartburn,3
diet,urinary,2
diet,drug,7
diet,blood,8
diet,insurance,2
diet,stretch,1
diet,thigh,2
diet,food,42
diet,heart,11
diet,diarrhea,4
diet,travelers,1
diet,heart,2
diet,high,6
diet,fiber,7
diet,fibromyalgia,2
diet,dairy,3
diet,drinking,19
diet,soda,13
diet,attention,1
diet,liposuction,1
diet,birth,4
diet,supplement,2
diet,vision,14
diet,fitness,2
diet,nutrition,1
diet,calorie,12
diet,birth,2
diet,fruit,14
diet,grapefruit,1
diet,orange,1
diet,meal,8
diet,corpulence,6
diet,short,1
diet,oatmeal,2
diet,blood,1
diet,allergy,5
diet,milk,4
diet,reaction,1
diet,puberty,1
diet,kidney,5
diet,leg,6
diet,movement,9
diet,pain,6
diet,peanut,1
diet,carrot,2
diet,anus,2
diet,fever,1
diet,noodle,1
diet,thyroid,3
diet,stomach,19
diet,pancreas,2
diet,tumor,1
diet,bloating,7
diet,lactose,2
diet,pregnancy,2
diet,hunger,3
diet,pilates,1
diet,endoscopy,3
diet,esophagus,1
diet,smoking,3
diet,snack,3
diet,vegetable,7
diet,yogurt,4
diet,smell,3
diet,sweating,4
diet,triglyceride,3
diet,walking,8
diet,south,1
diet,potassium,4
diet,surgery,8
diet,waist,2
diet,kidney,1
diet,newborn,1
diet,x,2
diet,ice,3
diet,index,1
diet,pasta,3
diet,recipe,2
diet,cholesterol,10
diet,appendix,1
diet,gallbladder,1
diet,coffee,3
diet,constipation,2
diet,almond,4
diet,wheat,2
diet,insulin,2
diet,rheumatoid,1
diet,foot,8
diet,type,2
diet,arm,2
diet,elbow,1
diet,shoulder,1
diet,stress,8
diet,ulcer,1
diet,colonoscopy,1
diet,headache,3
diet,chest,3
diet,breast,4
diet,cramps,2
diet,seizure,1
diet,blood,6
diet,celiac,1
diet,psoriasis,1
diet,workout,4
diet,blood,6
diet,protein,7
diet,sodium,7
diet,fish,4
diet,herb,1
diet,hypothyroidism,1
diet,heart,1
diet,meat,5
diet,stent,1
diet,gastric,2
diet,cooking,2
diet,fear,2
diet,methadone,2
diet,diverticulosis,1
diet,burn,3
diet,healing,2
diet,hemorrhoidectomy,1
diet,iron,2
diet,diet,1
diet,pregnancy,4
diet,healthy,1
diet,brain,1
diet,family,4
diet,hike,1
diet,metabolism,2
diet,hemorrhoid,1
diet,worm,1
diet,calf,1
diet,drowsiness,2
diet,irregularity,2
diet,vagina,3
diet,yeast,1
diet,yeast,1
diet,plant,1
diet,hand,3
diet,muscle,4
diet,weight,3
diet,armpit,1
diet,flatulence,3
diet,quit,1
diet,height,4
diet,neuropathy,1
diet,craving,1
diet,cereal,1
diet,cuts,1
diet,multivitamin,2
diet,oil,2
diet,morphine,1
diet,ultrasound,1
diet,kidney,3
diet,knee,2
diet,prostate,2
diet,migraine,1
diet,orgasm,1
diet,sexual,2
diet,travel,1
diet,hormone,2
diet,caffeine,5
diet,gastroenteritis,1
diet,urinary,1
diet,hysterectomy,3
diet,ovary,1
diet,pelvic,1
diet,pressure,2
diet,calcium,2
diet,beta,1
diet,nsaid,1
diet,ejaculation,2
diet,masturbation,3
diet,period,7
diet,cancer,2
diet,shock,1
diet,heel,1
diet,vitamin,4
diet,prenatal,1
diet,gastritis,4
diet,injection,1
diet,coconut,1
diet,electrogastrogram,1
diet,small,1
diet,pain,1
diet,nausea,1
diet,tenderness,1
diet,gout,1
diet,pickle,1
diet,vinegar,1
diet,congestive,2
diet,lemon,1
diet,urination,1
diet,eating,2
diet,finger,1
diet,hair,8
diet,malnutrition,2
diet,antibiotic,2
diet,diverticulitis,1
diet,high,1
diet,pancreatic,1
diet,uterine,1
diet,plaque,1
diet,bowel,2
diet,meditation,1
diet,cholecystectomy,1
diet,gallbladder,1
diet,inflammation,2
diet,lupus,1
diet,anemia,1
diet,iron,1
diet,artery,1
diet,gallstone,2
diet,salt,6
diet,hot,1
diet,breastfeed,1
diet,baby,1
diet,mucus,1
diet,gastroparesis,1
diet,reflex,1
diet,confusion,1
diet,ammonia,1
diet,mineral,1
diet,peripheral,1
diet,back,1
diet,weakness,2
diet,intestine,2
diet,flaxseed,1
diet,grief,1
diet,iodine,1
diet,oyster,1
diet,arthritis,1
diet,dental,1
diet,olive,1
diet,phobia,1
diet,immune,1
diet,immunodeficiency,1
diet,head,1
diet,coldness,2
diet,dehydration,1
diet,autoimmune,1
diet,kale,1
diet,dizziness,1
diet,drainage,1
diet,rice,2
diet,salad,5
diet,penis,1
diet,abdominal,1
diet,throat,1
diet,fatty,1
diet,juice,1
diet,hives,1
diet,scalp,1
diet,spasm,1
diet,asthma,1
diet,allergic,1
diet,swelling,1
diet,oxygen,1
diet,lettuce,1
diet,yam,1
diet,circulation,1
diet,mouth,1
diet,taste,2
diet,high,1
diet,tea,1
diet,tongue,2
diet,canker,1
diet,pepper,1
diet,sunflower,3
diet,colitis,1
diet,wine,1
diet,tooth,1
diet,spotting,1
diet,aggression,1
diet,mood,1
diet,toddler,1
diet,bulimia,1
diet,appendectomy,1
diet,liver,1
diet,nose,1
diet,depression,1
