source,target,value
dizziness,chest,10
dizziness,lightheadedness,16
dizziness,nausea,32
dizziness,stomach,11
dizziness,allergy,2
dizziness,memory,1
dizziness,mold,1
dizziness,walking,17
dizziness,multiple,1
dizziness,muscle,2
dizziness,spasm,1
dizziness,surgery,2
dizziness,parkinsons,1
dizziness,running,10
dizziness,spotting,2
dizziness,vision,18
dizziness,insurance,1
dizziness,neck,2
dizziness,vertigo,8
dizziness,headache,23
dizziness,weakness,9
dizziness,fever,5
dizziness,heart,17
dizziness,anxiety,6
dizziness,arm,8
dizziness,drinking,12
dizziness,platelet,1
dizziness,exercise,7
dizziness,eyes,13
dizziness,hand,6
dizziness,heart,1
dizziness,coldness,4
dizziness,brain,6
dizziness,allergic,1
dizziness,ears,15
dizziness,forehead,1
dizziness,pressure,8
dizziness,head,25
dizziness,morphine,1
dizziness,belly,3
dizziness,intestine,1
dizziness,pain,12
dizziness,anemia,2
dizziness,dry,2
dizziness,period,8
dizziness,blood,1
dizziness,aneurysm,1
dizziness,vomit,5
dizziness,sinus,2
dizziness,food,6
dizziness,leg,5
dizziness,urination,1
dizziness,weight,2
dizziness,ear,5
dizziness,lymph,1
dizziness,antibiotic,4
dizziness,migraine,3
dizziness,spine,1
dizziness,polyp,1
dizziness,lump,2
dizziness,movement,12
dizziness,rash,1
dizziness,tenderness,3
dizziness,blood,12
dizziness,high,2
dizziness,sweating,9
dizziness,foot,5
dizziness,injection,3
dizziness,numbness,1
dizziness,tooth,1
dizziness,wisdom,1
dizziness,flu,1
dizziness,menstrual,1
dizziness,pregnancy,8
dizziness,stress,3
dizziness,appendix,1
dizziness,thyroid,3
dizziness,stroke,5
dizziness,diabetes,4
dizziness,cuts,1
dizziness,drowsiness,4
dizziness,wrist,2
dizziness,fatigue,8
dizziness,hypoglycemia,1
dizziness,cough,2
dizziness,ovulation,1
dizziness,carotid,1
dizziness,massage,1
dizziness,breast,2
dizziness,hearing,1
dizziness,taste,2
dizziness,consciousness,2
dizziness,concentration,1
dizziness,seizure,3
dizziness,diarrhea,2
dizziness,tinnitus,3
dizziness,swelling,4
dizziness,fuzziness,2
dizziness,middle,1
dizziness,concussion,2
dizziness,virus,1
dizziness,burn,1
dizziness,short,1
dizziness,cephalexin,1
dizziness,temperature,2
dizziness,confusion,2
dizziness,blood,4
dizziness,blood,3
dizziness,cortisone,1
dizziness,irregularity,2
dizziness,abscess,1
dizziness,hives,2
dizziness,toe,2
dizziness,back,1
dizziness,smell,1
dizziness,pulse,1
dizziness,sadness,2
dizziness,amoxicillin,1
dizziness,nasal,1
dizziness,pregnancy,2
dizziness,epinephrine,1
dizziness,throat,1
dizziness,benign,1
dizziness,magnetic,1
dizziness,iron,1
dizziness,asthma,1
dizziness,exposure,2
dizziness,bowel,1
dizziness,cat,2
dizziness,weight,2
dizziness,endometriosis,1
dizziness,mucus,1
dizziness,vagina,1
dizziness,heart,1
dizziness,coffee,1
dizziness,panic,2
dizziness,elbow,1
dizziness,nerve,1
dizziness,tachycardia,1
dizziness,depression,2
dizziness,meal,2
dizziness,palpitation,2
dizziness,ginger,1
dizziness,sinus,1
dizziness,disorientation,2
dizziness,herpes,1
dizziness,lip,2
dizziness,pelvis,1
dizziness,testicle,1
dizziness,swallow,1
dizziness,sleepiness,2
dizziness,lung,2
dizziness,smoking,1
dizziness,workout,1
dizziness,underactive,1
dizziness,dehydration,2
dizziness,finger,1
dizziness,echocardiogram,1
dizziness,alcohol,1
dizziness,bruise,1
dizziness,healing,1
dizziness,diet,1
dizziness,nervousness,1
dizziness,shock,1
dizziness,nose,1
dizziness,car,1
dizziness,knee,1
dizziness,birth,1
dizziness,baby,1
dizziness,mouth,1
dizziness,cramps,1
dizziness,low,2
dizziness,fear,1
dizziness,hiv,1
dizziness,oxygen,1
dizziness,ulcer,1
dizziness,family,3
dizziness,vein,1
dizziness,calcium,1
dizziness,aorta,1
dizziness,exercise,1
dizziness,toenail,1
dizziness,toenail,1
dizziness,cold,2
dizziness,bloating,1
dizziness,miscarriage,1
dizziness,fiber,1
dizziness,flaxseed,1
dizziness,drug,2
dizziness,pupil,1
dizziness,painful,1
dizziness,hip,1
dizziness,conception,1
dizziness,infusion,1
dizziness,lumbar,1
dizziness,hair,1
dizziness,irritability,1
dizziness,menopause,1
dizziness,vitamin,1
dizziness,vitamin,1
dizziness,drainage,1
dizziness,sinus,1
