source,target,value
dog,cats,14
dog,scabies,1
dog,antibiotic,4
dog,multivitamin,1
dog,swallow,1
dog,infection,1
dog,itch,1
dog,poison,2
dog,walking,7
dog,allergy,3
dog,mite,2
dog,ringworm,1
dog,infant,1
dog,diarrhea,1
dog,leg,6
dog,over,1
dog,baby,3
dog,hair,5
dog,finger,3
dog,hand,6
dog,insurance,3
dog,family,1
dog,virus,1
dog,wart,1
dog,hydrogen,1
dog,stomach,5
dog,ankle,1
dog,hookworm,1
dog,worm,3
dog,ears,6
dog,tightness,1
dog,diabetes,2
dog,eyes,5
dog,short,1
dog,weight,1
dog,coldness,2
dog,vision,8
dog,burn,1
dog,food,11
dog,injection,2
dog,dislocation,1
dog,knee,1
dog,running,2
dog,mouth,1
dog,movement,6
dog,wrist,2
dog,eyelid,2
dog,swelling,2
dog,exposure,1
dog,puffiness,2
dog,reaction,1
dog,smell,6
dog,fear,1
dog,tooth,3
dog,potassium,1
dog,seizure,2
dog,spider,1
dog,crying,2
dog,chest,2
dog,heart,1
dog,yoga,1
dog,tear,1
dog,hot,1
dog,aloe,1
dog,juice,1
dog,milk,1
dog,asthma,1
dog,inhaler,1
dog,pets,3
dog,head,2
dog,tick,4
dog,strawberry,1
dog,foot,1
dog,vomit,3
dog,healing,2
dog,salt,2
dog,stitches,2
dog,aspirin,3
dog,ibuprofen,1
dog,nsaid,1
dog,olive,1
dog,cephalexin,1
dog,pregnancy,1
dog,pain,5
dog,splint,1
dog,colorado,1
dog,mushroom,1
dog,cough,1
dog,rabies,4
dog,drinking,6
dog,migraine,1
dog,breastfeed,1
dog,breast,1
dog,feeding,6
dog,nose,4
dog,tomato,1
dog,pressure,1
dog,blood,1
dog,pasta,1
dog,pneumonia,1
dog,temperature,1
dog,thermometer,1
dog,pink,2
dog,ear,2
dog,fever,1
dog,weight,1
dog,carrot,2
dog,orange,1
dog,calorie,1
dog,meat,2
dog,nutrition,1
dog,skin,2
dog,parasite,1
dog,tinnitus,1
dog,impetigo,1
dog,nail,2
dog,shock,1
dog,yeast,1
dog,grapefruit,1
dog,mucus,1
dog,constipation,1
dog,potato,1
dog,peach,1
dog,emergency,1
dog,immune,1
dog,tapeworm,2
dog,corpulence,1
dog,arthritis,1
dog,pore,1
dog,tongue,1
dog,hiv,1
dog,thumb,1
dog,bloating,1
dog,spasm,1
dog,peanut,1
dog,depression,2
dog,sadness,1
dog,dehydration,1
dog,calf,1
dog,puncture,1
dog,wound,2
dog,forehead,1
dog,cold,1
dog,muscle,1
dog,flu,1
dog,surgery,2
dog,epilepsy,1
dog,hypothyroidism,1
dog,fish,1
dog,flax,1
dog,garlic,1
dog,insulin,1
dog,dental,1
dog,hip,1
