source,target,value
drinking,pregnancy,34
drinking,food,30
drinking,heartburn,5
drinking,pain,42
drinking,drug,18
drinking,coffee,28
drinking,incontinence,1
drinking,diet,19
drinking,soda,25
drinking,paranoid,2
drinking,schizophrenia,1
drinking,smoking,19
drinking,taste,8
drinking,alcoholic,7
drinking,muscle,2
drinking,over,4
drinking,multivitamin,2
drinking,juice,20
drinking,tooth,10
drinking,skin,5
drinking,congestive,3
drinking,bloating,4
drinking,alcoholism,12
drinking,coldness,15
drinking,cavity,1
drinking,red,2
drinking,lithium,1
drinking,salt,5
drinking,antidepressant,2
drinking,liver,7
drinking,protein,5
drinking,grapefruit,3
drinking,fiber,4
drinking,gastric,1
drinking,surgery,9
drinking,marijuana,2
drinking,diarrhea,9
drinking,insulin,1
drinking,vomit,14
drinking,exercise,9
drinking,weight,10
drinking,pancreatitis,1
drinking,consciousness,1
drinking,height,3
drinking,movement,7
drinking,peppermint,2
drinking,soy,1
drinking,tea,24
drinking,stomach,33
drinking,swallow,4
drinking,drowsiness,4
drinking,dizziness,12
drinking,arm,5
drinking,nausea,6
drinking,platelet,1
drinking,wine,14
drinking,sleepiness,3
drinking,milk,26
drinking,testicle,1
drinking,anxiety,5
drinking,fatigue,3
drinking,fever,14
drinking,hunger,12
drinking,soy,2
drinking,chemotherapy,1
drinking,fertility,1
drinking,blood,7
drinking,eyes,5
drinking,iron,2
drinking,beverages,1
drinking,flu,3
drinking,urinary,3
drinking,adrenal,1
drinking,pelvis,1
drinking,bruise,2
drinking,healing,3
drinking,toe,1
drinking,vision,17
drinking,heart,9
drinking,insurance,3
drinking,throat,12
drinking,bowel,8
drinking,rectum,1
drinking,bipolar,1
drinking,meal,12
drinking,thyroid,2
drinking,weight,2
drinking,blood,8
drinking,cough,11
drinking,sore,2
drinking,stuffy,1
drinking,corpulence,4
drinking,cholesterol,7
drinking,high,5
drinking,sexual,11
drinking,short,3
drinking,vagina,1
drinking,hand,4
drinking,vein,1
drinking,smell,9
drinking,amoxicillin,1
drinking,erection,4
drinking,tobacco,2
drinking,urination,16
drinking,cereal,2
drinking,baby,9
drinking,mouth,6
drinking,rice,1
drinking,calorie,5
drinking,snack,2
drinking,diabetes,16
drinking,family,8
drinking,lactose,3
drinking,yeast,3
drinking,folic,1
drinking,ovulation,1
drinking,addiction,1
drinking,fibromyalgia,1
drinking,newborn,2
drinking,consumption,6
drinking,irritability,1
drinking,running,5
drinking,calcium,1
drinking,almond,1
drinking,seizure,3
drinking,ears,4
drinking,ibuprofen,1
drinking,jaw,1
drinking,dry,1
drinking,wisdom,3
drinking,sepsis,1
drinking,down,1
drinking,alzheimers,1
drinking,fruit,3
drinking,lip,3
