source,target,value
drug,methadone,6
drug,antidepressant,9
drug,alcoholism,1
drug,cold,2
drug,arrhythmia,1
drug,coldness,17
drug,baby,7
drug,pregnancy,20
drug,carbohydrate,1
drug,bipolar,5
drug,erectile,6
drug,penis,4
drug,cats,1
drug,allergy,13
drug,over,39
drug,food,5
drug,ibuprofen,6
drug,liver,2
drug,insomnia,6
drug,pain,25
drug,vision,12
drug,fibromyalgia,2
drug,allergic,1
drug,hydrocodone,4
drug,acetaminophen,7
drug,first,1
drug,hand,1
drug,belch,1
drug,ear,1
drug,heartburn,4
drug,proton,1
drug,morning,1
drug,back,2
drug,ulcer,2
drug,constipation,2
drug,ginger,2
drug,nausea,4
drug,h,1
drug,weight,6
drug,diet,1
drug,depression,15
drug,scabies,1
drug,chigger,1
drug,infection,2
drug,skin,5
drug,restlessness,1
drug,aspirin,2
drug,reaction,3
drug,drinking,18
drug,migraine,5
drug,leg,3
drug,walking,2
drug,stomach,10
drug,headache,9
drug,diet,7
drug,weight,4
drug,thyroid,5
drug,vitamin,6
drug,medicare,2
drug,period,7
drug,blood,3
drug,insurance,8
drug,sunscreen,1
drug,elbow,1
drug,psoriasis,2
drug,cystic,1
drug,surgery,3
drug,erection,5
drug,priapism,1
drug,vinegar,1
drug,rheumatoid,1
drug,seizure,2
drug,diarrhea,3
drug,travelers,1
drug,st,1
drug,anxiety,15
drug,muscle,3
drug,diabetes,7
drug,lithium,2
drug,suicide,1
drug,manic,1
drug,soda,1
drug,scalp,2
drug,calcium,1
drug,parkinsons,2
drug,sulfur,1
drug,morphine,3
drug,narcotic,5
drug,diverticulitis,1
drug,genital,2
drug,herniated,1
drug,neck,3
drug,fetus,1
drug,blood,9
drug,hemorrhoid,1
drug,celiac,1
drug,wheat,2
drug,high,11
drug,bruise,1
drug,milk,2
drug,naproxen,1
drug,tattoo,1
drug,x,1
drug,overactive,1
drug,exercise,2
drug,memory,2
drug,attention,7
drug,breastfeed,2
drug,breast,1
drug,family,6
drug,injection,5
drug,panic,3
drug,asthma,1
drug,obesity,1
drug,hallucination,4
drug,sepsis,1
drug,urinary,1
drug,potassium,2
drug,meal,3
drug,steroid,1
drug,drug,17
drug,cholesterol,9
drug,cough,4
drug,sore,1
drug,cold,1
drug,fever,1
drug,running,4
drug,birth,2
drug,flu,4
drug,whooping,1
drug,emergency,3
drug,dental,1
drug,heart,1
drug,tooth,5
drug,tooth,1
drug,acne,3
drug,knee,3
drug,swelling,4
drug,shingles,1
drug,benzoyl,1
drug,salicylic,1
drug,bowel,2
drug,eyes,4
drug,post,1
drug,libido,3
drug,testosterone,3
drug,congestive,1
drug,heart,7
drug,fatigue,1
drug,fertility,2
drug,benign,1
drug,grapefruit,3
drug,juice,3
drug,blood,1
drug,triglyceride,1
drug,antibiotic,5
drug,osteoarthritis,1
drug,high,3
drug,cyst,2
drug,painkiller,1
drug,bacterium,3
drug,coffee,2
drug,nose,2
drug,anti,1
drug,hypothyroidism,2
drug,fear,1
drug,amoxicillin,4
drug,molar,1
drug,smell,1
drug,vagina,6
drug,brain,1
drug,eyelid,1
drug,hyperactive,1
drug,magnesium,1
drug,immunotherapy,1
drug,prostate,1
drug,angioplasty,1
drug,oxycodone,3
drug,healing,1
drug,dyslexia,1
drug,cancer,3
drug,breast,3
drug,pressure,2
drug,addiction,1
drug,arm,1
drug,head,5
drug,catheterization,1
drug,marijuana,5
drug,osteoporosis,1
drug,yeast,2
drug,cellulose,1
drug,drug,2
drug,amputation,1
drug,trauma,1
drug,methicillin,2
drug,stress,3
drug,cartilage,1
drug,spondylitis,1
drug,smoking,7
drug,finger,2
drug,sexual,4
drug,stent,1
drug,brain,3
drug,organ,1
drug,abortion,1
drug,shock,1
drug,alzheimers,1
drug,birth,2
drug,heart,1
drug,hiv,1
drug,pain,1
drug,vomit,1
drug,penicillin,2
drug,crying,1
drug,newborn,1
drug,lung,1
drug,confusion,2
drug,exposure,1
drug,temperature,1
drug,sodium,2
drug,ejaculation,2
drug,masturbation,1
drug,melatonin,1
drug,shoulder,2
drug,metabolism,1
drug,niacin,1
drug,sweating,1
drug,cocaine,4
drug,lung,1
drug,irregularity,1
drug,herb,1
drug,birth,3
drug,tobacco,1
drug,post,1
drug,urinalysis,1
drug,kidney,1
drug,urinary,1
drug,chlamydia,1
drug,aorta,1
drug,vascular,1
drug,pecan,1
drug,icing,1
drug,nipple,1
drug,infertility,1
drug,folliculitis,1
drug,drowsiness,1
drug,ears,1
drug,vertigo,1
drug,numbness,1
drug,bladder,1
drug,iron,1
drug,amnesia,1
drug,mood,2
drug,gastritis,1
drug,anemia,1
drug,screening,2
drug,hair,1
drug,tongue,2
drug,heart,1
drug,low,1
drug,kidney,1
drug,stroke,1
drug,turkey,1
drug,autoimmune,1
drug,liver,1
drug,hormone,3
drug,dementia,3
drug,vascular,1
drug,movement,1
drug,blood,1
drug,bursitis,1
drug,ultrasound,1
drug,fast,1
drug,height,1
drug,aids,1
drug,first,2
drug,breast,1
drug,drug,1
drug,abscess,1
drug,kidney,1
drug,thumb,1
drug,trigger,1
drug,inhaler,1
drug,estrogen,1
drug,dizziness,2
drug,pupil,1
drug,condom,1
drug,paranoid,1
drug,short,1
drug,acupuncture,1
drug,allergic,1
drug,seizure,1
drug,nervousness,1
drug,child,1
drug,flashback,1
drug,chronic,1
drug,rehabilitation,1
