source,target,value
ears,infection,1
ears,thermometer,2
ears,drainage,10
ears,coldness,15
ears,cold,5
ears,keloid,2
ears,scar,1
ears,forehead,4
ears,neck,31
ears,psoriasis,1
ears,skin,6
ears,ear,40
ears,fever,13
ears,toddler,5
ears,poison,1
ears,ear,8
ears,movement,17
ears,pain,78
ears,pregnancy,1
ears,sinus,15
ears,amoxicillin,7
ears,rash,5
ears,hot,2
ears,blood,6
ears,injection,5
ears,pressure,24
ears,vision,27
ears,eyes,16
ears,shingles,1
ears,head,54
ears,insurance,3
ears,over,2
ears,tooth,12
ears,throat,21
ears,headache,22
ears,burn,4
ears,swelling,19
ears,hearing,10
ears,jaw,18
ears,mouth,13
ears,hair,2
ears,tumor,2
ears,temperature,3
ears,healing,9
ears,skull,3
ears,stitches,3
ears,dizziness,15
ears,chest,7
ears,lightheadedness,2
ears,tinnitus,35
ears,migraine,5
ears,allergy,2
ears,swallow,5
ears,cancer,4
ears,itch,7
ears,sore,6
ears,fear,4
ears,antibiotic,23
ears,stress,4
ears,running,8
ears,oil,2
ears,olive,1
ears,lump,11
ears,circulation,1
ears,arm,3
ears,head,1
ears,eardrum,8
ears,sinus,5
ears,lymph,5
ears,cervix,1
ears,biopsy,2
ears,nose,15
ears,thyroid,1
ears,cavity,2
ears,mole,1
ears,concussion,2
ears,nausea,6
ears,ankle,1
ears,knee,5
ears,numbness,3
ears,dental,1
ears,aging,1
ears,eyelid,2
ears,injury,3
ears,diarrhea,2
ears,bowel,1
ears,virus,3
ears,cough,11
ears,lung,4
ears,wisdom,4
ears,infant,3
ears,cheekbones,1
ears,emergency,3
ears,disorientation,1
ears,dog,6
ears,mite,2
ears,tightness,2
ears,drinking,4
ears,ibuprofen,2
ears,pink,2
ears,cauliflower,1
ears,cartilage,4
ears,drowsiness,3
ears,cuts,1
ears,wrist,1
ears,piercing,5
ears,painkiller,2
ears,anger,1
ears,blood,1
ears,epistaxis,1
ears,post,1
ears,food,1
ears,syrup,1
ears,finger,3
ears,methicillin,1
ears,thyroid,2
ears,hearing,5
ears,tenderness,2
ears,crying,7
ears,elbow,2
ears,stuffy,4
ears,nerve,1
ears,flu,6
ears,fatigue,4
ears,watery,1
ears,chickenpox,1
ears,leg,3
ears,shoulder,2
ears,hand,4
ears,reaction,1
ears,blinking,1
ears,sweating,3
ears,hunger,1
ears,rice,1
ears,blister,3
ears,shoulder,1
ears,vaccination,1
ears,ear,2
ears,ruptured,2
ears,barium,1
ears,garlic,1
ears,eyebrow,1
ears,muscle,4
ears,weakness,1
ears,heart,7
ears,weight,1
ears,high,2
ears,acne,3
ears,canker,1
ears,fingernail,1
ears,sty,2
ears,fuzziness,1
ears,tonsil,4
ears,caffeine,1
ears,nasal,2
ears,tick,1
ears,walking,5
ears,hepatitis,1
ears,stroke,1
ears,surgery,8
ears,stomach,1
ears,vertigo,7
ears,larynx,1
ears,molar,1
ears,brain,3
ears,magnetic,4
ears,confusion,2
ears,allergic,2
ears,otitis,2
ears,eye,1
ears,abscess,1
ears,toxic,1
ears,vein,1
ears,mucus,1
ears,penicillin,1
ears,perforated,2
ears,swimmers,3
ears,steroid,1
ears,otitis,1
ears,consciousness,1
ears,tetanus,1
ears,concentration,1
ears,thrush,2
ears,earwax,1
ears,brain,1
ears,mastoiditis,2
ears,tongue,1
ears,toothache,1
ears,runny,1
ears,smell,1
ears,bacterium,1
ears,baby,1
ears,immune,1
ears,pneumonia,2
ears,lower,1
ears,pulse,3
ears,diabetes,1
ears,drug,1
ears,scalp,1
ears,yeast,1
ears,internal,1
ears,cat,1
ears,smoking,1
ears,travel,3
ears,hissing,1
ears,iodine,1
ears,dental,1
ears,vitamin,1
ears,grief,1
ears,autism,1
ears,hydrogen,1
ears,middle,1
ears,contact,1
ears,cold,1
ears,sore,1
ears,osteoarthritis,1
ears,toe,1
ears,folliculitis,1
ears,mold,1
ears,car,2
ears,cats,2
ears,kidney,1
ears,kidney,1
ears,vaccines,1
ears,heat,1
ears,thirst,1
ears,iron,1
ears,taste,1
ears,spine,1
ears,onion,1
ears,bruise,1
ears,aids,1
ears,wound,1
ears,ovary,1
ears,period,1
ears,spotting,1
ears,bronchitis,1
ears,pharyngitis,1
ears,mastoidectomy,1
ears,tea,1
ears,blepharitis,1
ears,anxiety,1
ears,panic,1
ears,armpit,1
