source,target,value
erection,period,4
erection,drug,5
erection,emergency,1
erection,pain,14
erection,sexual,25
erection,prostate,2
erection,erectile,10
erection,smoking,8
erection,choking,1
erection,penis,46
erection,condom,5
erection,rectum,1
erection,testicle,8
erection,impotence,2
erection,masturbation,22
erection,weakness,6
erection,ejaculation,30
erection,antibiotic,1
erection,skin,3
erection,genitalia,1
erection,head,9
erection,drinking,4
erection,tobacco,1
erection,kidney,1
erection,antidepressant,2
erection,premature,1
erection,corpulence,3
erection,breast,1
erection,armpit,1
erection,hair,1
erection,medicare,1
erection,menopause,1
erection,orgasm,7
erection,anxiety,3
erection,heart,4
erection,pressure,2
erection,vision,7
erection,high,3
erection,vagina,2
erection,hand,2
erection,bruise,2
erection,healing,1
erection,muscle,2
erection,short,4
erection,pregnancy,3
erection,ovary,1
erection,urination,3
erection,delayed,2
erection,supplement,2
erection,testosterone,5
erection,weight,4
erection,electrocardiogram,1
erection,food,1
erection,foot,1
erection,circumcision,1
erection,attention,1
erection,clitoris,3
erection,injection,2
erection,shoulder,1
erection,plaque,1
erection,injury,2
erection,cervical,1
erection,surgery,3
erection,constipation,1
erection,bowel,1
erection,skull,1
erection,eyes,1
erection,smell,1
erection,stress,7
erection,fracture,1
erection,trauma,1
erection,depression,1
erection,self,1
erection,testicular,3
erection,tightness,3
erection,libido,3
erection,hernia,1
erection,infusion,1
erection,sexual,1
erection,high,1
erection,sperm,4
erection,dehydration,1
erection,sexually,1
erection,workout,1
erection,blood,2
erection,scrotum,1
erection,fear,2
erection,swelling,3
erection,stroke,2
erection,vein,2
erection,herniated,1
erection,leg,1
erection,hemorrhoid,1
erection,massage,1
erection,prostate,1
erection,rash,1
erection,shingles,1
erection,tenderness,1
erection,blister,1
erection,infertility,1
erection,varicocele,1
erection,movement,1
erection,marijuana,1
erection,indigestion,1
erection,family,2
erection,belly,1
erection,allergy,1
erection,blood,1
erection,artery,1
erection,wound,1
erection,catheter,1
