source,target,value
exercise,muscle,21
exercise,breast,1
exercise,cancer,1
exercise,vagina,3
exercise,diet,49
exercise,cellulite,1
exercise,meal,9
exercise,pelvis,4
exercise,menopause,1
exercise,headache,4
exercise,knee,17
exercise,fibromyalgia,4
exercise,workout,14
exercise,pain,39
exercise,surgery,10
exercise,healthy,10
exercise,polycystic,1
exercise,drug,2
exercise,blood,4
exercise,vision,14
exercise,asthma,3
exercise,tendonitis,4
exercise,attention,2
exercise,beta,2
exercise,pulse,4
exercise,travel,2
exercise,fracture,3
exercise,skin,7
exercise,baby,1
exercise,multivitamin,2
exercise,allergy,1
exercise,diabetes,6
exercise,insulin,3
exercise,coldness,10
exercise,birth,2
exercise,pregnancy,9
exercise,pregnancy,1
exercise,stress,9
exercise,coffee,5
exercise,tenderness,1
exercise,throat,2
exercise,weight,57
exercise,sleepiness,1
exercise,food,22
exercise,puberty,1
exercise,soda,2
exercise,drinking,9
exercise,chest,10
exercise,family,2
exercise,metabolism,3
exercise,thyroid,4
exercise,corpulence,12
exercise,weight,13
exercise,waist,6
exercise,dizziness,7
exercise,eyes,2
exercise,hand,4
exercise,heart,2
exercise,triglyceride,1
exercise,walking,37
exercise,rhinoplasty,1
exercise,running,21
exercise,immune,2
exercise,south,1
exercise,calcium,2
exercise,ankle,9
exercise,alcoholic,1
exercise,ultrasound,1
exercise,depression,4
exercise,blood,9
exercise,heart,11
exercise,smoking,6
exercise,congestive,1
exercise,neck,2
exercise,penis,1
exercise,shoulder,3
exercise,breast,2
exercise,insurance,2
exercise,quit,1
exercise,fear,4
exercise,epidural,1
exercise,birth,1
exercise,stomach,8
exercise,height,7
exercise,dark,1
exercise,craving,1
exercise,thigh,5
exercise,ear,1
exercise,cephalexin,1
exercise,leg,17
exercise,fish,1
exercise,herb,1
exercise,hunger,4
exercise,head,3
exercise,lung,4
exercise,heart,2
exercise,period,7
exercise,short,2
exercise,urination,2
exercise,prenatal,2
exercise,foot,13
exercise,heel,3
exercise,sweating,3
exercise,stent,1
exercise,cuts,1
exercise,gastric,2
exercise,yeast,3
exercise,herniated,1
exercise,high,2
exercise,cough,4
exercise,chronic,1
exercise,nightmare,2
exercise,physical,4
exercise,fatigue,1
exercise,heartburn,1
exercise,pilates,1
exercise,spinal,2
exercise,vertebra,1
exercise,squash,1
exercise,caffeine,3
exercise,meditation,3
exercise,diet,1
exercise,calorie,14
