source,target,value
eyes,skin,21
eyes,swelling,40
eyes,toddler,1
eyes,makeup,4
eyes,surgery,13
eyes,dry,3
eyes,wrinkle,4
eyes,hyperpigmentation,1
eyes,cosmetic,1
eyes,general,2
eyes,puffiness,12
eyes,vision,78
eyes,pupil,6
eyes,multivitamin,2
eyes,sty,7
eyes,pressure,13
eyes,sinus,3
eyes,weight,3
eyes,baby,3
eyes,tooth,1
eyes,drainage,13
eyes,antibiotic,14
eyes,allergy,13
eyes,fever,15
eyes,impetigo,1
eyes,hair,7
eyes,hypothyroidism,1
eyes,insurance,5
eyes,itch,6
eyes,movement,13
eyes,foot,7
eyes,sunscreen,1
eyes,forehead,4
eyes,whitehead,2
eyes,drug,4
eyes,tumor,1
eyes,lens,4
eyes,ears,16
eyes,pain,43
eyes,shingles,2
eyes,headache,25
eyes,sinus,5
eyes,calcium,1
eyes,head,28
eyes,amoxicillin,5
eyes,throat,7
eyes,over,3
eyes,eyelid,18
eyes,blister,1
eyes,burn,17
eyes,honey,3
eyes,iris,2
eyes,eye,1
eyes,cats,5
eyes,exercise,2
eyes,dizziness,13
eyes,hand,6
eyes,heart,1
eyes,injection,7
eyes,retinitis,1
eyes,vitamin,1
eyes,mouth,6
eyes,numbness,2
eyes,walking,9
eyes,lip,5
eyes,muscle,3
eyes,nose,22
eyes,insulin,1
eyes,morphine,1
eyes,nausea,2
eyes,stomach,6
eyes,retina,1
eyes,lump,5
eyes,coldness,15
eyes,pink,14
eyes,sore,3
eyes,drinking,5
eyes,coffee,2
eyes,blood,1
eyes,iron,2
eyes,lightheadedness,5
eyes,high,7
eyes,eyebrow,4
eyes,rash,5
eyes,running,7
eyes,autism,2
eyes,lactose,1
eyes,thyroid,1
eyes,thyroid,3
eyes,cold,1
eyes,cooking,1
eyes,macular,4
eyes,vitamin,1
eyes,subconjunctival,1
eyes,eyeball,6
eyes,corpulence,1
eyes,cholesterol,4
eyes,blood,4
eyes,fear,3
eyes,pulse,1
eyes,blindness,5
eyes,finger,1
eyes,seizure,2
eyes,spina,1
eyes,vagina,1
eyes,yeast,1
eyes,cornea,4
eyes,steroid,1
eyes,cancer,3
eyes,massage,3
eyes,pea,1
eyes,neck,7
eyes,food,5
eyes,poisoning,1
eyes,worm,2
eyes,glaucoma,3
eyes,ear,3
eyes,cold,4
eyes,leg,3
eyes,staph,2
eyes,consumption,1
eyes,wine,2
eyes,mole,1
eyes,fibromyalgia,1
eyes,stroke,4
eyes,dog,5
eyes,diabetes,4
eyes,short,1
eyes,cough,6
eyes,mucus,5
eyes,post,1
eyes,vertigo,2
eyes,freckle,1
eyes,blinking,6
eyes,sting,1
eyes,cataract,1
eyes,brain,4
eyes,family,10
eyes,detached,2
eyes,acetaminophen,2
eyes,diarrhea,1
eyes,bowel,2
eyes,gastroenteritis,1
eyes,atopic,1
eyes,reaction,1
eyes,tear,3
eyes,temperature,2
eyes,gasoline,1
eyes,drowsiness,4
eyes,crying,4
eyes,migraine,5
eyes,hunger,1
eyes,tinnitus,1
eyes,keratoconus,1
eyes,breast,1
eyes,bloating,1
eyes,weight,2
eyes,acne,2
eyes,stress,2
eyes,attention,1
eyes,vomit,2
eyes,toe,2
eyes,nail,1
eyes,peanut,1
eyes,testicle,1
eyes,weakness,2
eyes,pore,1
eyes,sperm,1
eyes,epistaxis,1
eyes,h,1
eyes,buttocks,1
eyes,corneal,1
eyes,flu,2
eyes,trauma,2
eyes,arm,3
eyes,bruise,4
eyes,jaw,1
eyes,pancreas,1
eyes,double,3
eyes,healing,4
eyes,blood,1
eyes,methicillin,1
eyes,parasite,1
eyes,bloodshot,1
eyes,ankle,1
eyes,lasik,2
eyes,epinephrine,1
eyes,hives,3
eyes,kidney,1
eyes,protein,1
eyes,congestive,1
eyes,kidney,1
eyes,benign,1
eyes,magnetic,2
eyes,eye,1
eyes,epilepsy,1
eyes,confusion,2
eyes,bacterium,1
eyes,splinter,1
eyes,tightness,1
eyes,allergic,1
eyes,scar,1
eyes,wound,1
eyes,pepper,1
eyes,ventricle,1
eyes,infant,1
eyes,thirst,1
eyes,heart,1
eyes,hemoglobin,1
eyes,sleepiness,1
eyes,exposure,1
eyes,cataract,1
eyes,chloride,1
eyes,cold,2
eyes,virus,1
eyes,lubricants,1
eyes,erection,1
eyes,nail,1
eyes,herpes,1
eyes,travel,1
eyes,food,1
eyes,oil,1
eyes,smell,2
eyes,ibuprofen,2
eyes,sepsis,1
eyes,cocaine,1
eyes,height,1
eyes,ejaculation,1
eyes,swallow,1
eyes,smoking,1
eyes,workout,1
eyes,cephalexin,1
eyes,blood,1
eyes,orgasm,1
eyes,sadness,1
eyes,hernia,1
eyes,grayness,1
eyes,runny,1
eyes,optic,1
eyes,anxiety,2
eyes,hallucination,2
eyes,panic,1
eyes,period,1
eyes,hay,1
eyes,concentration,2
eyes,astigmatism,1
eyes,albinism,1
eyes,carotid,1
eyes,artery,1
eyes,plaque,1
eyes,narcotic,1
eyes,lotion,1
eyes,concussion,1
eyes,transplant,1
eyes,taste,1
eyes,electric,1
eyes,depression,1
eyes,nerve,1
eyes,cyst,1
eyes,pilonidal,1
eyes,hepatitis,1
eyes,pregnancy,2
eyes,bee,1
eyes,salt,1
eyes,sweating,2
eyes,black,1
eyes,castor,1
eyes,genitalia,1
eyes,tenderness,1
eyes,colon,1
eyes,liver,2
eyes,colon,1
eyes,chemotherapy,1
eyes,emergency,1
eyes,cramps,1
eyes,naproxen,1
eyes,fatigue,1
eyes,giddiness,1
eyes,lazy,2
eyes,asthma,1
eyes,hair,1
