source,target,value
family,suicide,2
family,breast,3
family,multivitamin,1
family,swine,1
family,virus,5
family,cuts,1
family,salt,1
family,movement,10
family,fruit,1
family,antibiotic,3
family,drug,6
family,breastfeed,1
family,breast,4
family,milk,1
family,tooth,1
family,coldness,3
family,cold,2
family,hair,5
family,jaw,1
family,shaving,1
family,panic,1
family,insurance,6
family,cancer,10
family,breast,1
family,fatigue,1
family,weight,2
family,pregnancy,13
family,pregnancy,2
family,cholesterol,1
family,heart,2
family,weight,5
family,exercise,2
family,metabolism,1
family,fear,6
family,stress,3
family,thyroid,2
family,hypothyroidism,1
family,lump,2
family,tenderness,2
family,chest,4
family,arm,2
family,angina,1
family,pain,11
family,pharyngitis,1
family,dog,1
family,hand,5
family,wart,1
family,arthritis,1
family,depo,1
family,birth,3
family,forgetfulness,3
family,short,5
family,cervical,1
family,urination,1
family,drinking,8
family,diabetes,7
family,walking,1
family,autoimmune,1
family,lupus,1
family,consumption,2
family,irritability,1
family,running,7
family,echocardiogram,1
family,abdominal,1
family,heart,1
family,vision,18
family,baby,7
family,spotting,1
family,testicle,1
family,amyotrophic,1
family,muscle,2
family,weight,1
family,alcoholism,2
family,triglyceride,1
family,wine,2
family,bipolar,2
family,attention,1
family,post,1
family,eyes,10
family,cataract,1
family,brain,3
family,depression,8
family,itch,1
family,scabies,1
family,skin,2
family,sore,1
family,diet,4
family,carbohydrate,1
family,meat,1
family,dementia,1
family,colloid,1
family,asthma,1
family,drowsiness,3
family,anxiety,3
family,flu,5
family,sexual,2
family,colon,2
family,migraine,2
family,addiction,2
family,methadone,1
family,eating,1
family,food,5
family,biopsy,2
family,human,1
family,pap,1
family,colonoscopy,3
family,larynx,1
family,prostate,1
family,headache,4
family,sweating,2
family,stomach,5
family,lens,1
family,macular,1
family,surgery,4
family,autism,1
family,circumcision,1
family,foreskin,1
family,period,10
family,obesity,2
family,osteoarthritis,1
family,anger,4
family,sadness,2
family,cramps,1
family,stroke,3
family,pneumonia,2
family,alzheimers,2
family,constipation,2
family,painkiller,1
family,cardiac,1
family,injection,1
family,oxygen,1
family,basal,1
family,acne,1
family,temperature,1
family,foot,2
family,newborn,1
family,blood,1
family,short,1
family,head,1
family,chronic,1
family,high,3
family,nsaid,1
family,birth,1
family,biofeedback,1
family,lightheadedness,1
family,high,1
family,testosterone,1
family,melanoma,1
family,pink,1
family,prostate,2
family,anger,1
family,heart,3
family,antidepressant,1
family,genital,1
family,rehabilitation,1
family,herpes,1
family,pancreatic,1
family,cats,1
family,allergy,1
family,lithium,1
family,blood,3
family,affordable,1
family,down,1
family,mumps,1
family,vaccination,1
family,grief,1
family,male,1
family,fever,2
family,nausea,1
family,infertility,2
family,vagina,1
family,aids,1
family,kidney,1
family,salivary,1
family,tongue,1
family,masturbation,1
family,sperm,1
family,ovarian,2
family,ovary,1
family,uterus,1
family,fertility,1
family,miscarriage,1
family,dental,1
family,obamacare,1
family,toddler,1
family,vitamin,1
family,pellagra,1
family,blood,1
family,diarrhea,1
family,knee,1
family,anemia,1
family,thyroid,1
family,medicaid,1
family,seizure,1
family,blood,2
family,swelling,3
family,ankle,1
family,injury,1
family,sprain,1
family,pre,1
family,snack,1
family,glaucoma,1
family,optic,1
family,resection,1
family,postpartum,1
family,armpit,1
family,mammogram,1
family,panic,1
family,penicillin,1
family,vomit,1
family,neck,1
family,paranoia,1
family,healing,1
family,pressure,2
family,leg,1
family,transcutaneous,1
family,nerve,1
family,dizziness,3
family,dehydration,1
family,vein,1
family,corpulence,1
family,alopecia,1
family,magnetic,1
family,numbness,1
family,immune,1
family,cough,1
family,sore,1
family,throat,1
family,erection,2
family,hallucination,1
family,appendix,1
family,abortion,1
family,ultrasonography,1
family,aging,1
family,poisoning,1
family,blood,1
family,stem,1
family,back,1
family,endoscopy,1
family,diverticulitis,1
family,lung,1
family,lazy,1
