source,target,value
fear,breast,1
fear,hormone,1
fear,anesthesia,1
fear,food,8
fear,weight,3
fear,anxiety,15
fear,hand,9
fear,penis,10
fear,scrape,2
fear,urethra,1
fear,heart,4
fear,skin,8
fear,thumb,1
fear,condom,5
fear,buttocks,1
fear,vision,17
fear,family,6
fear,drug,1
fear,birth,3
fear,grief,1
fear,pregnancy,20
fear,sexual,14
fear,genitalia,3
fear,hiv,4
fear,platelet,1
fear,steroid,1
fear,swelling,2
fear,high,1
fear,pancreatic,1
fear,triglyceride,1
fear,breast,5
fear,pregnancy,4
fear,tenderness,3
fear,ears,4
fear,drug,1
fear,insomnia,1
fear,smoking,2
fear,herpes,3
fear,nervousness,3
fear,eyes,3
fear,blood,2
fear,pulse,1
fear,exercise,4
fear,stomach,3
fear,stress,6
fear,bladder,2
fear,urination,3
fear,period,13
fear,panic,3
fear,cancer,4
fear,lump,3
fear,itch,3
fear,depression,3
fear,head,5
fear,surgery,4
fear,nerve,1
fear,travel,1
fear,injection,4
fear,fever,3
fear,flu,1
fear,muscle,1
fear,running,3
fear,attention,1
fear,diet,2
fear,cooking,2
fear,cholesterol,2
fear,recipe,1
fear,exercise,1
fear,artery,2
fear,high,2
fear,blister,1
fear,reaction,2
fear,exposure,1
fear,western,1
fear,finger,3
fear,mouth,7
fear,wart,3
fear,bipolar,1
fear,nausea,3
fear,suicide,3
fear,drowsiness,1
fear,craving,1
fear,pain,10
fear,tinnitus,1
fear,coldness,4
fear,antibiotic,4
fear,vagina,7
fear,endoscopy,1
fear,indigestion,1
fear,chest,2
fear,supplement,1
fear,arm,4
fear,fibromyalgia,1
fear,leg,5
fear,headache,2
fear,ibuprofen,2
fear,breast,1
fear,lotion,1
fear,eating,1
fear,movement,4
fear,emergency,2
fear,kidney,2
fear,tooth,2
fear,dog,1
fear,diabetes,4
fear,pressure,2
fear,calorie,1
fear,fiber,2
fear,tea,1
fear,short,1
fear,clitoris,2
fear,insurance,3
fear,confusion,2
fear,juice,1
fear,lemon,1
fear,scrotum,1
fear,vasovagal,1
fear,yellow,1
fear,lung,1
fear,nose,3
fear,birth,1
fear,abortion,1
fear,miscarriage,1
fear,injury,1
fear,hallucination,2
fear,cough,1
fear,blood,2
fear,pain,1
fear,diarrhea,2
fear,hot,1
fear,vomit,2
fear,melanoma,1
fear,mole,1
fear,meat,1
fear,lightheadedness,2
fear,sweating,2
fear,anus,3
fear,hemorrhoid,2
fear,cocaine,1
fear,heart,3
fear,cyst,1
fear,hysterectomy,1
fear,cervix,2
fear,forearm,1
fear,ribcage,1
fear,lip,2
fear,rehabilitation,1
fear,smell,2
fear,yeast,2
fear,hair,5
fear,paranoid,2
fear,sexually,2
fear,sting,1
fear,chemotherapy,1
fear,drinking,4
fear,throat,4
fear,anger,1
fear,intestine,1
fear,meal,1
fear,drainage,1
fear,occupational,1
fear,sperm,2
fear,multiple,1
fear,scalp,1
fear,choking,1
fear,swallow,1
fear,dry,1
fear,wisdom,1
fear,fertility,2
fear,gonorrhea,1
fear,cold,1
fear,bowel,2
fear,crying,2
fear,burn,1
fear,nail,1
fear,testicle,3
fear,walking,3
fear,gestational,1
fear,phobia,2
fear,electrocardiogram,1
fear,bronchitis,1
fear,baby,2
fear,asthma,1
fear,inhaler,1
fear,allergy,1
fear,bone,1
fear,knee,2
fear,cuts,1
fear,shaving,1
fear,stroke,1
fear,colonoscopy,1
fear,blood,1
fear,malnutrition,1
fear,amoxicillin,1
fear,hissing,1
fear,libido,1
fear,foot,2
fear,height,1
fear,erection,2
fear,testicular,1
fear,organ,1
fear,spotting,2
fear,toe,1
fear,boil,1
fear,soda,1
fear,ejaculation,1
fear,masturbation,1
fear,dizziness,1
fear,bacterial,1
fear,oxygen,1
fear,tattoo,1
fear,seizure,1
fear,benign,1
fear,urodynamic,1
fear,eyebrow,1
fear,anger,1
fear,uterus,1
fear,tampon,1
