source,target,value
fever,nausea,14
fever,weakness,8
fever,ears,13
fever,ear,5
fever,acetaminophen,13
fever,baby,12
fever,pain,47
fever,temperature,9
fever,drug,1
fever,running,37
fever,amoxicillin,2
fever,strep,3
fever,ibuprofen,10
fever,swallow,4
fever,eyes,15
fever,antibiotic,21
fever,allergy,5
fever,impetigo,1
fever,canker,1
fever,fracture,2
fever,toddler,3
fever,swelling,15
fever,dizziness,5
fever,chest,12
fever,heart,3
fever,lightheadedness,2
fever,period,4
fever,pregnancy,2
fever,stomach,30
fever,weight,1
fever,autoimmune,1
fever,cough,30
fever,mucus,7
fever,diet,1
fever,carrot,1
fever,anus,2
fever,noodle,1
fever,teething,2
fever,infant,3
fever,pain,1
fever,coldness,18
fever,emergency,3
fever,constipation,1
fever,palpitation,1
fever,shock,1
fever,vomit,25
fever,headache,38
fever,sore,13
fever,drinking,14
fever,arm,5
fever,sweating,14
fever,urination,9
fever,fatigue,7
fever,gallbladder,3
fever,shoulder,1
fever,virus,5
fever,bladder,1
fever,kidney,1
fever,potassium,2
fever,lymph,4
fever,soup,1
fever,pneumonia,3
fever,walking,7
fever,skin,7
fever,itch,2
fever,vaccination,1
fever,vision,16
fever,bowel,3
fever,milk,2
fever,diarrhea,12
fever,smell,4
fever,anemia,1
fever,abdominal,5
fever,immune,1
fever,tonsil,6
fever,food,10
fever,rectum,2
fever,runny,8
fever,x,3
fever,rash,9
fever,sinus,2
fever,throat,13
fever,leg,4
fever,weight,1
fever,nose,11
fever,blister,6
fever,head,8
fever,herpes,4
fever,vagina,6
fever,bronchitis,1
fever,asthma,1
fever,nasal,1
fever,neck,8
fever,fear,3
fever,flu,16
fever,muscle,3
fever,burn,7
fever,movement,3
fever,sinus,2
fever,blood,1
fever,dry,1
fever,drowsiness,6
fever,complete,1
fever,armpit,2
fever,penis,3
fever,vertigo,1
fever,injection,2
fever,stress,3
fever,mouth,4
fever,thermometer,1
fever,pasta,1
fever,watery,1
fever,nostril,1
fever,hot,2
fever,menopause,1
fever,juice,2
fever,urethra,1
fever,mold,1
fever,lip,3
fever,breast,2
fever,belly,3
fever,finger,1
fever,hand,1
fever,lump,5
fever,cyst,1
fever,penicillin,3
fever,tenderness,2
fever,insurance,1
fever,first,1
fever,buttocks,1
fever,back,4
fever,hypoglycemia,1
fever,bursitis,1
fever,arthritis,1
fever,heartburn,1
fever,pancreatitis,1
fever,smoking,1
fever,chickenpox,1
fever,reaction,3
fever,vaccines,1
fever,cramps,3
fever,epistaxis,1
fever,forehead,3
fever,trauma,1
fever,painkiller,1
fever,over,1
fever,appendix,1
fever,irritable,1
fever,wound,1
fever,abscess,2
fever,cold,2
fever,attention,1
fever,anxiety,4
fever,tick,1
fever,sleepiness,1
fever,endoscopy,1
fever,gastritis,1
fever,premenstrual,1
fever,hives,2
fever,orange,1
fever,sexual,2
fever,dehydration,2
fever,athletes,1
fever,toe,1
fever,knee,3
fever,pressure,3
fever,thyroid,1
fever,migraine,1
fever,tongue,3
fever,tachycardia,1
fever,corpulence,1
fever,paranoid,1
fever,cats,3
fever,sperm,1
fever,surgery,4
fever,human,1
fever,sexually,1
fever,kidney,1
fever,ectopic,1
fever,newborn,1
fever,concussion,1
fever,hysterectomy,2
fever,ulcer,1
fever,broken,1
fever,limb,1
fever,scarlet,1
fever,crying,1
fever,shaving,1
fever,dog,1
fever,family,2
fever,aids,1
fever,polio,1
fever,drainage,1
fever,cancer,2
fever,prostate,1
fever,healing,1
fever,vitamin,1
fever,measles,1
fever,thirst,1
fever,hydrogen,1
fever,yeast,1
fever,vaginal,2
fever,stuffy,1
fever,blood,1
fever,liver,1
fever,pink,1
fever,tooth,2
fever,transfusion,1
fever,torso,2
fever,swimmers,1
fever,allergic,1
fever,spotting,1
fever,taste,1
fever,cirrhosis,1
fever,calcium,1
fever,hypothyroidism,1
fever,tinnitus,1
fever,roseola,1
fever,delusions,1
fever,biopsy,1
fever,tampon,1
fever,bruise,1
fever,iris,1
fever,jaw,1
fever,steroid,1
fever,urinalysis,1
