source,target,value
finger,burn,4
finger,second,1
finger,diabetes,2
finger,big,1
finger,skin,19
finger,toe,7
finger,baby,3
finger,tooth,2
finger,atopic,1
finger,foot,11
finger,leg,7
finger,potassium,1
finger,ejaculation,4
finger,period,10
finger,pregnancy,15
finger,sperm,2
finger,movement,12
finger,thumb,13
finger,wart,8
finger,coldness,7
finger,coffee,1
finger,hand,55
finger,heart,1
finger,swelling,26
finger,walking,4
finger,bruise,5
finger,sprain,2
finger,wrist,9
finger,lip,3
finger,taste,1
finger,vagina,14
finger,carpal,2
finger,neck,7
finger,surgery,6
finger,blood,1
finger,calf,1
finger,shin,1
finger,short,3
finger,lotion,1
finger,dog,3
finger,hair,5
finger,insurance,4
finger,eyes,1
finger,tenderness,3
finger,canker,1
finger,sore,1
finger,throat,1
finger,head,6
finger,healing,4
finger,nail,16
finger,food,4
finger,index,7
finger,nerve,4
finger,fracture,4
finger,x,2
finger,mouth,5
finger,blister,5
finger,insulin,1
finger,muscle,2
finger,fever,1
finger,injection,6
finger,spasm,1
finger,spine,1
finger,salicylic,1
finger,ears,3
finger,pain,25
finger,elbow,6
finger,arm,21
finger,numbness,8
finger,shoulder,2
finger,grayness,2
finger,armpit,1
finger,stress,3
finger,stomach,1
finger,weight,1
finger,heart,1
finger,fear,3
finger,lump,5
finger,condom,2
finger,honey,1
finger,arthritis,4
finger,wound,3
finger,drug,2
finger,sexual,6
finger,vision,11
finger,injury,8
finger,fever,1
finger,fingernail,3
finger,knee,3
finger,clitoris,2
finger,jelly,1
finger,dry,1
finger,chlamydia,1
finger,penis,7
finger,urethra,2
finger,lightheadedness,1
finger,libido,1
finger,running,3
finger,shoulder,1
finger,sexually,1
finger,caffeine,1
finger,migraine,1
finger,dislocation,1
finger,bacterium,2
finger,paranoid,1
finger,tampon,1
finger,callus,1
finger,itch,3
finger,magnetic,1
finger,tendon,3
finger,deformity,1
finger,tightness,2
finger,cervix,3
finger,exercise,1
finger,emergency,1
finger,cortisone,1
finger,sting,1
finger,masturbation,4
finger,sweating,3
finger,anti,1
finger,over,1
finger,rheumatoid,1
finger,consumption,1
finger,orgasm,2
finger,cats,3
finger,drinking,2
finger,cuts,1
finger,nose,1
finger,ostomy,1
finger,smell,1
finger,salt,1
finger,stitches,5
finger,poisoning,1
finger,vaginismus,1
finger,brain,2
finger,travel,1
finger,scar,1
finger,swimmers,1
finger,vitamin,2
finger,eating,1
finger,diet,1
finger,malnutrition,1
finger,inflammation,1
finger,ring,3
finger,stomatitis,1
finger,vasectomy,1
finger,pinched,1
finger,blood,1
finger,weakness,1
finger,ankle,1
finger,alcoholism,1
finger,range,1
finger,stroke,1
finger,melanoma,1
finger,splint,1
finger,hiccup,1
finger,consciousness,1
finger,chest,1
finger,cavity,1
finger,anus,3
finger,pressure,3
finger,puffiness,2
finger,testicle,1
finger,peripheral,1
finger,sore,1
finger,exercise,1
finger,nail,1
finger,blood,1
finger,type,1
finger,forearm,3
finger,dizziness,1
finger,dehydration,2
finger,rash,1
finger,antibiotic,3
finger,circulation,1
finger,oxygen,1
finger,prostate,1
finger,parasite,1
finger,diarrhea,1
finger,hemoglobin,1
finger,cramps,3
finger,herniated,1
finger,wrinkle,1
finger,crying,1
finger,spider,1
finger,colon,1
finger,polyp,1
finger,rectum,1
finger,pregnancy,1
finger,cellulitis,1
finger,paronychia,1
finger,pain,1
finger,quit,1
finger,smoking,1
finger,tetanus,1
finger,allergic,1
finger,trigger,2
finger,physical,1
finger,dyshidrotic,1
finger,massage,1
finger,drainage,1
finger,fiber,1
finger,colonoscopy,1
finger,bowel,1
finger,mucus,1
finger,nervousness,1
finger,splinter,1
finger,yeast,1
finger,electric,1
finger,waist,1
finger,scrotum,1
finger,hymen,1
finger,blood,1
