source,target,value
flu,injection,36
flu,swine,8
flu,chemotherapy,2
flu,coldness,18
flu,cold,6
flu,vaccines,6
flu,pregnancy,4
flu,breastfeed,3
flu,infant,2
flu,arm,5
flu,pain,9
flu,strep,2
flu,vaccination,5
flu,diabetes,2
flu,drug,4
flu,thyroid,1
flu,pneumonia,4
flu,diarrhea,3
flu,rectum,1
flu,spine,1
flu,surgery,2
flu,menopause,1
flu,period,3
flu,virus,7
flu,lump,2
flu,shingles,3
flu,whooping,1
flu,blood,1
flu,reaction,2
flu,sweating,4
flu,allergy,1
flu,newborn,1
flu,drinking,3
flu,hiv,1
flu,cold,2
flu,bacterium,2
flu,stomach,3
flu,cough,8
flu,vision,7
flu,fatigue,3
flu,muscle,2
flu,temperature,2
flu,dizziness,1
flu,menstrual,1
flu,stress,3
flu,bowel,2
flu,hemmorhoid,1
flu,movement,2
flu,sodium,1
flu,antibiotic,5
flu,baby,2
flu,fever,16
flu,fear,1
flu,running,5
flu,cardiovascular,1
flu,heart,1
flu,stroke,1
flu,headache,6
flu,chest,2
flu,tooth,1
flu,throat,3
flu,drowsiness,2
flu,over,1
flu,vomit,4
flu,sexual,1
flu,exposure,1
flu,shoulder,2
flu,family,5
flu,ears,6
flu,head,4
flu,cancer,3
flu,nose,4
flu,edema,1
flu,congestive,1
flu,acetaminophen,1
flu,nausea,5
flu,sore,1
flu,laboratory,1
flu,alzheimers,1
flu,blood,2
flu,kidney,1
flu,breast,2
flu,milk,2
flu,emergency,1
flu,narcolepsy,1
flu,mucus,1
flu,eyes,2
flu,burn,1
flu,swelling,2
flu,toe,1
flu,wine,1
flu,egg,1
flu,heart,2
flu,irregularity,1
flu,methadone,1
flu,hair,2
flu,asthma,1
flu,endometrium,1
flu,sarcoma,1
flu,ibuprofen,3
flu,blood,1
flu,insulin,1
flu,fibromyalgia,1
flu,ankle,1
flu,fracture,1
flu,immune,2
flu,pulse,1
flu,condom,2
flu,herpes,1
flu,lip,1
flu,baldness,1
flu,mononucleosis,1
flu,tonsil,1
flu,grapefruit,1
flu,hives,1
flu,welt,1
flu,steroid,1
flu,aids,1
flu,sinus,1
flu,blister,1
flu,sore,1
flu,vagina,1
flu,migraine,1
flu,travel,1
flu,hand,1
flu,knee,1
flu,rash,1
flu,lymph,1
flu,neck,1
flu,ammonia,1
flu,smell,1
flu,weakness,1
flu,dairy,1
flu,oil,1
flu,cramps,1
flu,leg,1
flu,piercing,1
flu,bruise,1
flu,spotting,1
flu,pink,1
flu,paranoid,1
flu,short,1
flu,pregnancy,1
flu,dog,1
flu,immunization,2
flu,fuzziness,1
flu,exercise,1
