source,target,value
food,aging,1
food,cholesterol,7
food,baby,8
food,drug,5
food,allergy,7
food,drinking,30
food,diet,42
food,skin,7
food,surgery,6
food,gallbladder,3
food,heart,8
food,salt,5
food,heartburn,7
food,prostate,2
food,tomato,2
food,incontinence,1
food,magnesium,1
food,food,1
food,stomach,30
food,fear,8
food,weight,33
food,pregnancy,11
food,hunger,17
food,tooth,9
food,mouth,1
food,esophagus,2
food,throat,15
food,immune,2
food,taste,7
food,oatmeal,4
food,feeding,10
food,calcium,2
food,swallow,10
food,hiatal,3
food,plant,1
food,exposure,1
food,beverages,2
food,blood,8
food,attention,1
food,gastritis,3
food,hair,2
food,pore,1
food,soda,4
food,milk,15
food,reaction,1
food,exercise,22
food,puberty,2
food,pain,26
food,pancreatitis,3
food,chest,6
food,stress,1
food,thyroid,2
food,craving,4
food,breast,7
food,nausea,13
food,waist,5
food,period,11
food,tightness,1
food,weight,6
food,emergency,1
food,ejaculation,3
food,over,2
food,vitamin,8
food,cooking,9
food,fruit,10
food,walking,7
food,pancreas,2
food,potassium,4
food,head,5
food,protein,4
food,blood,3
food,soy,1
food,ice,2
food,index,1
food,pasta,3
food,herpes,3
food,anus,2
food,wheat,3
food,whole,3
food,healthy,2
food,meal,18
food,snack,3
food,large,1
food,small,1
food,nutrition,4
food,mouth,6
food,peanut,2
food,shellfish,2
food,soy,2
food,lip,3
food,thrush,3
food,arm,2
food,leg,5
food,muscle,4
food,dizziness,6
food,urination,4
food,height,4
food,diabetes,5
food,herb,2
food,oyster,2
food,pancreatic,2
food,finger,4
food,psoriasis,1
food,bowel,4
food,multivitamin,2
food,eyes,5
food,headache,5
food,poisoning,1
food,fish,2
food,dairy,2
food,colon,2
food,rectum,2
food,stroke,1
food,fever,10
food,vision,10
food,coffee,6
food,caffeine,5
food,potato,2
food,salad,1
food,vegetable,4
food,bacterium,6
food,hand,5
food,turkey,2
food,flour,1
food,drowsiness,2
food,flatulence,2
food,seasoning,1
food,movement,10
food,cough,4
food,dairy,4
food,meat,7
food,ears,1
food,antibiotic,5
food,syrup,2
food,hepatitis,1
food,smoking,4
food,tonsil,2
food,smell,3
food,genital,1
food,virus,3
food,healing,2
food,cuts,1
food,foot,4
food,nail,1
food,coldness,6
food,lump,1
food,gastric,1
food,pie,1
food,iron,6
food,peanut,1
food,beta,1
food,meditation,1
food,antidepressant,1
food,type,1
food,dog,11
food,burn,9
food,injection,4
food,hemorrhoid,1
food,diarrhea,12
food,insulin,2
food,amoxicillin,3
food,tenderness,3
food,cereal,6
food,lightheadedness,2
food,hives,2
food,sore,3
food,ulcer,2
food,family,5
food,eating,1
food,suicide,1
food,vomit,10
food,armpit,1
food,sweating,1
food,ringworm,1
food,drug,1
food,fitness,5
food,ear,1
food,running,4
food,morbid,1
food,hepatitis,1
food,liver,9
food,sleepiness,1
food,masturbation,1
food,sperm,1
food,oil,4
food,olive,3
food,hepatitis,1
food,vaccination,1
food,weight,7
food,migraine,1
food,injury,1
food,confusion,1
food,hormone,1
food,gastroenteritis,1
food,cats,10
food,tetanus,2
food,wound,2
food,tongue,3
food,rice,1
food,urinary,2
food,chronic,1
food,calorie,4
food,gastroparesis,2
food,gender,1
food,paralysis,1
food,tubal,1
food,uterus,1
food,jaw,1
food,crying,3
food,shock,1
food,fiber,3
food,bloating,4
food,insurance,2
food,shrimp,1
food,fatigue,2
food,pregnancy,4
food,abdominal,2
food,hemochromatosis,1
food,eyelid,1
food,erection,1
food,electrocardiogram,1
food,corpulence,3
food,penis,1
food,endoscopy,3
food,colonoscopy,1
food,irritable,2
food,swelling,2
food,morphine,1
food,pain,1
food,cervical,1
food,brain,3
food,artery,1
food,coma,1
food,knee,1
food,juice,2
food,tea,2
food,workout,2
food,gout,2
food,pickle,1
food,vinegar,1
food,choking,1
food,sadness,1
food,bladder,3
food,appendix,1
food,spinal,1
food,colitis,2
food,weakness,3
food,carrot,4
food,anorexia,1
food,pulse,1
food,pizza,1
food,supplement,3
food,first,1
food,bruise,1
food,medicaid,1
food,hemoglobin,1
food,allergic,2
food,ovary,1
food,pelvis,1
food,high,1
food,triglyceride,1
food,pork,1
food,hyperthyroidism,1
food,back,1
food,obesity,1
food,depression,1
food,post,1
food,birth,1
food,strep,1
food,yogurt,1
food,low,1
food,urinalysis,1
food,mold,2
food,vein,1
food,drainage,2
food,heart,1
food,sodium,2
food,blood,2
food,metabolism,1
food,lentil,1
food,rice,3
food,testosterone,1
food,dry,1
food,nose,1
food,ear,1
food,orange,1
food,pressure,4
food,sausage,1
food,diverticulitis,1
food,steroid,1
food,intestine,2
food,toddler,1
food,anemia,1
food,cold,2
food,indigestion,1
food,osteopenia,1
food,osteoporosis,1
food,vitamin,1
food,worm,2
food,immunodeficiency,1
food,diverticulosis,1
food,cramps,1
food,sexual,2
food,grains,1
food,cancer,2
food,kidney,2
food,canola,1
food,pre,1
food,cranberry,1
food,hiv,1
food,scalp,2
food,chickenpox,1
food,multivitamins,1
food,treadmill,1
food,alcoholism,1
food,mango,1
food,pineapple,1
food,seafood,1
food,x,1
food,gallbladder,1
food,dry,1
food,heart,1
food,high,1
food,lung,2
food,sternum,1
food,kidney,2
food,anxiety,1
food,lactose,2
food,addiction,1
food,ginger,1
food,fatty,2
food,pets,1
food,rabies,1
food,wine,1
food,constipation,1
food,biopsy,1
food,cirrhosis,1
food,corn,1
food,aspirin,1
food,delayed,1
food,conception,1
food,breastfeed,1
food,rash,1
food,giddiness,1
food,cold,2
food,niacin,1
food,gallstone,1
food,scabies,1
food,vagina,1
food,belly,1
