source,target,value
foot,hand,54
foot,mouth,8
foot,amoxicillin,1
foot,itch,10
foot,cuts,4
foot,wound,2
foot,electrogastrogram,1
foot,callus,2
foot,heel,20
foot,injection,8
foot,wrinkle,5
foot,colon,2
foot,parkinsons,1
foot,walking,69
foot,rash,7
foot,skin,21
foot,over,1
foot,plantar,1
foot,weight,17
foot,leg,61
foot,pregnancy,7
foot,swelling,53
foot,morphine,2
foot,pain,66
foot,emphysema,1
foot,congestive,2
foot,heart,4
foot,knee,22
foot,eyes,7
foot,sunscreen,1
foot,finger,11
foot,potassium,1
foot,diabetes,14
foot,ankle,37
foot,injury,15
foot,lymphedema,1
foot,shingles,2
foot,coldness,15
foot,blood,4
foot,mucus,1
foot,arm,12
foot,hydrocortisone,1
foot,thigh,9
foot,toe,33
foot,calf,7
foot,sore,4
foot,vein,4
foot,cramps,5
foot,muscle,7
foot,shin,4
foot,head,6
foot,orange,1
foot,shoulder,2
foot,fatty,1
foot,epidural,1
foot,neck,5
foot,hand,1
foot,vaccination,1
foot,surgery,18
foot,circulation,5
foot,bruise,10
foot,inflammation,2
foot,lump,5
foot,sting,1
foot,healing,10
foot,x,4
foot,collarbone,1
foot,broken,1
foot,pressure,1
foot,wound,1
foot,diet,8
foot,type,1
foot,thumb,1
foot,wine,1
foot,height,9
foot,waist,2
foot,knee,2
foot,movement,19
foot,diabetic,3
foot,anxiety,3
foot,panic,1
foot,wrist,4
foot,dizziness,5
foot,numbness,11
foot,toenail,3
foot,antibiotic,3
foot,throat,1
foot,big,10
foot,nail,7
foot,vision,17
foot,hair,1
foot,oil,1
foot,flat,4
foot,heart,1
foot,heart,1
foot,exercise,13
foot,burn,12
foot,vagina,2
foot,fingernail,1
foot,elbow,2
foot,gout,3
foot,tenderness,2
foot,fertility,1
foot,sleepiness,2
foot,sperm,1
foot,workout,3
foot,jaw,2
foot,emergency,2
foot,lip,2
foot,broken,1
foot,arthritis,5
foot,insurance,6
foot,food,4
foot,vitamin,3
foot,period,5
foot,tightness,2
foot,pressure,7
foot,cancer,1
foot,cough,2
foot,hysterectomy,1
foot,rectum,1
foot,fibromyalgia,2
foot,forearm,1
foot,abdominal,1
foot,miscarriage,1
foot,post,1
foot,buttocks,1
foot,stuffy,1
foot,cortisone,2
foot,ibuprofen,3
foot,sweating,2
foot,worm,2
foot,decompression,1
foot,lotion,1
foot,aspirin,1
foot,fracture,6
foot,stress,1
foot,baby,1
foot,corpulence,2
foot,neuropathy,11
foot,obesity,2
foot,triglyceride,1
foot,belly,2
foot,stomach,4
foot,short,4
foot,anterior,1
foot,blood,2
foot,temperature,2
foot,disorientation,2
foot,breast,1
foot,smell,4
foot,family,2
foot,newborn,1
foot,lung,3
foot,ultrasound,1
foot,blood,2
foot,methicillin,1
foot,parasite,1
foot,tibia,2
foot,dog,1
foot,bacterium,1
foot,psoriasis,1
foot,salt,1
foot,tetanus,3
foot,blister,5
foot,running,2
foot,physical,1
foot,back,4
foot,erection,1
foot,fitness,1
foot,fasciitis,1
foot,icing,2
foot,chest,1
foot,seizure,1
foot,angioplasty,1
foot,chemotherapy,1
foot,oregon,1
foot,utah,1
foot,meniscus,1
foot,kidney,2
foot,allergic,1
foot,scabies,1
foot,magnetic,1
foot,restless,1
foot,health,1
foot,metatarsalgia,1
foot,anti,1
foot,insulin,1
foot,pastry,1
foot,edema,2
foot,deep,1
foot,broken,2
foot,ringworm,1
foot,scalp,1
foot,nerve,6
foot,scar,2
foot,hiccup,1
foot,long,1
foot,smoking,3
foot,pregnancy,1
foot,peripheral,3
foot,degenerative,1
foot,chronic,2
foot,osteoarthritis,2
foot,ankle,2
foot,grief,1
foot,blood,1
foot,aging,1
foot,anti,1
foot,drinking,2
foot,coffee,1
foot,plant,1
foot,nausea,1
foot,ligament,1
foot,allergy,1
foot,hives,1
foot,treadmill,1
foot,irregularity,1
foot,rheumatoid,2
foot,tendonitis,2
foot,fruit,1
foot,sprain,2
foot,fear,2
foot,splint,1
foot,radiation,1
foot,herniated,1
foot,ganglion,1
foot,splinter,1
foot,facial,1
foot,carcinoma,1
foot,poison,1
foot,contusion,1
foot,vinegar,1
foot,oxygen,1
foot,stress,1
foot,concussion,1
foot,trauma,1
foot,boil,1
foot,hemochromatosis,1
foot,menopause,1
foot,lightheadedness,1
foot,wart,1
foot,lupus,1
foot,thirst,1
foot,atrophy,1
foot,ovary,1
foot,cirrhosis,1
foot,sciatica,1
foot,varicose,1
foot,penis,2
foot,kidney,1
foot,bunion,1
foot,bone,1
foot,plantar,1
foot,ejaculation,1
foot,premature,1
foot,ring,1
foot,stroke,1
foot,bipolar,1
foot,dry,1
foot,human,1
