source,target,value
hair,benzoyl,1
hair,skin,21
hair,shaving,5
hair,prenatal,1
hair,arm,10
hair,hair,11
hair,head,27
hair,polycystic,3
hair,leg,9
hair,neck,7
hair,oil,5
hair,sunscreen,2
hair,lithium,1
hair,eyes,7
hair,shoulder,3
hair,lip,8
hair,surgery,6
hair,alopecia,1
hair,family,5
hair,jaw,1
hair,armpit,6
hair,healing,4
hair,penis,9
hair,food,2
hair,pore,3
hair,soda,2
hair,birth,1
hair,period,7
hair,birth,3
hair,orgasm,1
hair,sexual,2
hair,vaginal,1
hair,dry,2
hair,thigh,5
hair,vagina,9
hair,dog,5
hair,baby,3
hair,forehead,2
hair,bruise,1
hair,lump,6
hair,ears,2
hair,eye,1
hair,cats,2
hair,makeup,2
hair,vitamin,1
hair,weight,2
hair,zinc,2
hair,scalp,18
hair,keratosis,1
hair,nail,1
hair,weight,1
hair,stress,8
hair,heart,2
hair,thyroid,5
hair,finger,5
hair,hand,6
hair,insurance,2
hair,fatigue,3
hair,depression,2
hair,pituitary,2
hair,testosterone,4
hair,wart,2
hair,eyebrow,4
hair,chest,6
hair,belly,3
hair,nipple,1
hair,pain,8
hair,shingles,1
hair,hysterectomy,2
hair,menopause,1
hair,ovary,1
hair,thymoma,1
hair,peach,2
hair,erection,1
hair,corpulence,2
hair,breast,2
hair,foot,1
hair,electrogastrogram,1
hair,pinworm,1
hair,wound,2
hair,cradle,1
hair,olive,1
hair,lice,3
hair,blood,5
hair,acne,6
hair,vision,8
hair,cyst,2
hair,vein,1
hair,feeding,1
hair,seborrhea,1
hair,scar,3
hair,wrinkle,1
hair,burn,2
hair,allergic,3
hair,baldness,4
hair,anus,1
hair,urination,2
hair,sexually,2
hair,bulimia,1
hair,elbow,1
hair,crying,2
hair,emergency,1
hair,pilonidal,2
hair,walking,1
hair,aging,2
hair,diarrhea,1
hair,sweating,4
hair,vitamin,4
hair,ringworm,1
hair,injection,3
hair,puberty,5
hair,migraine,1
hair,headache,1
hair,high,1
hair,obsessive,1
hair,trichotillomania,1
hair,pregnancy,3
hair,malaria,1
hair,atopic,1
hair,itch,3
hair,weakness,1
hair,short,2
hair,hunger,1
hair,running,1
hair,cold,2
hair,muscle,1
hair,weight,3
hair,drug,5
hair,sperm,1
hair,testicle,1
hair,clitoris,1
hair,pap,1
hair,pressure,1
hair,smell,4
hair,lymph,1
hair,swelling,5
hair,coldness,2
hair,sinus,1
hair,throat,1
hair,tooth,1
hair,allergy,2
hair,postpartum,1
hair,reaction,1
hair,tattoo,1
hair,fear,5
hair,paranoid,1
hair,ejaculation,2
hair,hiv,2
hair,bipolar,1
hair,genitalia,2
hair,genital,1
hair,nutrition,1
hair,hormone,3
hair,secondary,1
hair,ovulation,1
hair,urethra,1
hair,menstrual,1
hair,height,2
hair,brain,1
hair,peanut,1
hair,grayness,2
hair,eating,1
hair,diet,8
hair,malnutrition,1
hair,stuffy,1
hair,flu,2
hair,mite,1
hair,blister,1
hair,cornea,1
hair,pregnancy,1
hair,tick,1
hair,fish,1
hair,yeast,1
hair,melanoma,1
hair,lupus,1
hair,narcotic,1
hair,painkiller,1
hair,iron,1
hair,vitamin,1
hair,rice,1
hair,tenderness,1
hair,antibiotic,2
hair,vinegar,3
hair,condom,1
hair,irregularity,1
hair,stomach,2
hair,diabetes,1
hair,male,2
hair,fingernail,1
hair,fiber,1
hair,cough,1
hair,movement,2
hair,drinking,1
hair,sting,3
hair,keloid,1
hair,heart,1
hair,drug,1
hair,hypothyroidism,1
hair,sore,3
hair,boil,2
hair,cooking,1
hair,liver,1
hair,smoking,2
hair,gynecomastia,1
hair,histrionic,1
hair,confusion,2
hair,transplant,1
hair,chemotherapy,2
hair,massage,1
hair,bacterium,1
hair,hormone,1
hair,nerve,1
hair,milk,1
hair,exercise,1
hair,colon,1
hair,aspirin,1
hair,pubic,1
hair,almond,3
hair,salad,3
hair,sunflower,3
hair,manic,1
hair,mole,1
hair,coconut,1
hair,hydrocodone,1
hair,skull,1
hair,masturbation,1
hair,heat,1
hair,lotion,1
hair,whitehead,1
hair,dizziness,1
hair,brain,1
hair,irritability,1
hair,shoulder,1
hair,spine,1
hair,estrogen,1
hair,cervical,1
hair,anesthesia,1
