source,target,value
hand,arthritis,6
hand,wrist,22
hand,foot,54
hand,mouth,18
hand,skin,35
hand,first,1
hand,drug,1
hand,baby,6
hand,burn,15
hand,antibiotic,5
hand,infection,1
hand,blister,11
hand,healing,10
hand,wart,5
hand,injection,8
hand,wrinkle,2
hand,forearm,8
hand,itch,9
hand,poison,2
hand,arm,60
hand,tremor,8
hand,morphine,1
hand,pain,55
hand,swelling,43
hand,exposure,2
hand,hormone,2
hand,lump,8
hand,fear,9
hand,penis,18
hand,scrape,3
hand,urethra,1
hand,heart,2
hand,thumb,18
hand,shingles,4
hand,neck,6
hand,shoulder,1
hand,spine,1
hand,rash,11
hand,fracture,7
hand,heart,8
hand,knee,3
hand,running,7
hand,throat,5
hand,finger,55
hand,coldness,20
hand,coffee,1
hand,eyes,6
hand,exercise,4
hand,dizziness,6
hand,heart,1
hand,walking,8
hand,genitalia,1
hand,hiv,4
hand,headache,4
hand,lumbar,1
hand,meningitis,1
hand,masturbation,9
hand,period,23
hand,tampon,3
hand,vision,18
hand,emergency,4
hand,potassium,1
hand,sweating,5
hand,shoulder,9
hand,weight,12
hand,workout,1
hand,hand,1
hand,diabetes,6
hand,meat,1
hand,cramps,8
hand,edema,2
hand,movement,24
hand,bruise,11
hand,carpal,5
hand,surgery,14
hand,vagina,13
hand,paranoid,6
hand,elbow,10
hand,ring,5
hand,milk,1
hand,muscle,15
hand,wound,5
hand,lotion,6
hand,hair,6
hand,dog,6
hand,insurance,1
hand,drinking,4
hand,vein,3
hand,family,5
hand,virus,2
hand,numbness,16
hand,restlessness,1
hand,circulation,3
hand,stitches,3
hand,vinegar,2
hand,nail,3
hand,crying,2
hand,head,11
hand,stomach,7
hand,smell,5
hand,giddiness,1
hand,leg,22
hand,x,4
hand,ejaculation,6
hand,pregnancy,27
hand,asthma,1
hand,smoking,6
hand,limb,1
hand,brain,3
hand,cats,5
hand,puncture,3
hand,tendon,1
hand,drainage,1
hand,lymph,1
hand,dehydration,1
hand,sore,5
hand,oil,1
hand,reaction,5
hand,thigh,2
hand,food,5
hand,bacterium,2
hand,turkey,1
hand,calf,2
hand,sexual,8
hand,drowsiness,2
hand,blood,3
hand,herpes,4
hand,nerve,3
hand,essential,3
hand,blood,3
hand,blinking,1
hand,fingernail,3
hand,fiber,1
hand,bowel,2
hand,heartburn,1
hand,high,2
hand,sleepiness,2
hand,big,1
hand,toe,2
hand,grip,4
hand,jaw,1
hand,abdominal,1
hand,ovulation,5
hand,lip,4
hand,anger,1
hand,pressure,3
hand,grayness,1
hand,frostbite,1
hand,temperature,2
hand,aggression,1
hand,cancer,3
hand,vitamin,1
hand,blood,2
hand,kidney,2
hand,breast,5
hand,fibromyalgia,2
hand,allergy,3
hand,chest,5
hand,pulse,1
hand,tightness,2
hand,ears,4
