source,target,value
head,hair,27
head,hair,4
head,polycystic,1
head,penis,88
head,magnetic,5
head,pain,96
head,headache,52
head,lump,15
head,movement,24
head,breastfeed,2
head,brain,14
head,baby,9
head,acne,5
head,itch,11
head,lymph,7
head,neck,54
head,shoulder,15
head,tonsil,1
head,pressure,25
head,testicle,3
head,urethra,2
head,prostatitis,3
head,migraine,8
head,ears,54
head,insurance,5
head,over,3
head,tooth,3
head,grip,1
head,ejaculation,4
head,tightness,7
head,tick,4
head,cyst,3
head,nausea,8
head,ovary,1
head,weight,6
head,orgasm,3
head,sexual,15
head,vaginal,1
head,chlamydia,1
head,herpes,4
head,eyes,28
head,calcium,2
head,whitehead,4
head,amoxicillin,3
head,sinus,10
head,throat,8
head,chest,12
head,arm,17
head,elbow,1
head,armpit,2
head,forehead,3
head,bruise,10
head,scalp,8
head,steroid,3
head,thigh,4
head,toe,3
head,foot,6
head,orange,2
head,concentration,5
head,anxiety,8
head,hot,3
head,panic,1
head,abdominal,1
head,hernia,1
head,stomach,14
head,healing,6
head,skull,10
head,stitches,2
head,head,6
head,dizziness,25
head,morphine,1
head,nervousness,2
head,rash,5
head,food,5
head,feeding,3
head,seborrhea,2
head,blindness,1
head,lightheadedness,8
head,cough,7
head,boil,3
head,nose,11
head,nostril,3
head,vision,29
head,blood,1
head,stress,10
head,genitalia,1
head,erection,9
head,heart,8
head,thyroid,2
head,antibiotic,12
head,surgery,10
head,hip,1
head,hydrocodone,1
head,trauma,5
head,walking,10
head,ear,3
head,cervix,2
head,tinnitus,7
head,finger,6
head,concussion,14
head,hand,11
head,crying,6
head,coldness,15
head,birth,4
head,spotting,2
head,period,3
head,seizure,4
head,spine,3
head,leg,9
head,limb,1
head,lung,5
head,circumcision,3
head,skin,24
head,muscle,5
head,tremor,3
head,injury,8
head,nerve,2
head,exercise,3
head,healthy,1
head,hallucination,1
head,drug,5
head,clitoris,2
head,mouth,3
head,tenderness,6
head,fracture,2
head,hematoma,1
head,skull,1
head,shingles,3
head,fever,8
head,blister,5
head,vagina,3
head,fear,5
head,depression,4
head,breast,4
head,mucus,2
head,ibuprofen,1
head,pregnancy,11
head,sore,2
head,swallow,3
head,cradle,2
head,olive,1
head,bursitis,1
head,anger,3
head,running,8
head,knee,3
head,lice,2
head,syrup,1
head,drinking,6
head,smell,1
head,onion,1
head,hearing,1
head,hearing,1
head,learning,1
head,obsessive,1
head,sinus,3
head,short,3
head,cold,4
head,stuffy,1
head,vertigo,2
head,drowsiness,1
head,injection,2
head,jaw,6
head,bicep,2
head,flu,4
head,blood,4
head,consciousness,2
head,blinking,2
head,eye,1
head,swelling,20
head,sweating,10
head,foreskin,15
head,supplement,1
head,numbness,3
head,wisdom,1
head,virus,2
head,vomit,5
head,std,2
head,vinegar,2
head,attention,1
head,hike,1
head,hypoglycemia,1
head,head,2
head,waist,1
head,eyebrow,1
head,bipolar,1
head,mood,3
head,acetaminophen,1
head,disorientation,1
head,wrinkle,1
head,masturbation,6
head,baldness,1
head,burn,10
head,sty,2
head,ankle,2
head,emergency,3
head,skin,1
head,aspirin,1
head,lotion,3
head,caffeine,1
head,heart,1
head,dog,2
head,diarrhea,1
head,confusion,5
head,blood,1
head,varicose,1
head,larynx,1
head,painkiller,1
head,family,1
head,sleepwalking,1
head,benign,1
head,palpitation,1
head,cat,2
head,paranoid,1
head,eyelid,1
head,drug,1
head,vein,5
head,yeast,1
head,brain,1
head,sperm,1
head,fatigue,3
head,autism,1
head,essential,1
head,epistaxis,1
head,chiari,1
head,tumor,3
head,sunburn,1
head,cartilage,1
head,digestive,1
head,nipple,1
head,miscarriage,1
head,toxic,1
head,spit,1
head,drainage,4
head,penile,1
head,wart,1
head,reaction,2
head,sprain,2
head,high,2
head,human,1
head,yeast,2
head,belly,1
head,temperature,4
head,sleepiness,2
head,sore,4
head,incontinence,1
head,kidney,1
head,condom,1
head,menopause,1
head,ovulation,1
head,thermometer,1
head,vertebra,1
head,hemorrhoid,1
head,bowel,2
head,weakness,3
head,thumb,1
head,cats,2
head,scar,3
head,pupil,2
head,diabetes,3
head,high,1
head,mastoiditis,1
head,melanoma,1
head,memory,1
head,pulse,2
head,pneumonia,2
head,tampon,1
head,internal,1
head,stroke,2
head,fibromyalgia,1
head,vasectomy,1
head,keloid,1
head,ligament,1
head,seizure,1
head,cat,1
head,puffiness,1
head,diet,1
head,syphilis,1
head,iodine,1
head,penicillin,1
head,grief,1
head,contact,1
head,bacterium,1
head,stem,1
head,tendon,1
head,echocardiogram,1
head,bladder,1
head,urination,2
head,hysterectomy,1
head,tic,2
head,bed,1
head,shock,1
head,oxygen,1
head,ultrasound,1
head,freckle,1
head,mole,1
head,massage,4
head,prostate,1
head,birth,2
head,kidney,1
head,motion,1
head,sexually,3
head,hyperventilation,1
head,panic,1
head,vitamin,1
head,car,1
head,heat,1
head,thirst,1
head,hypospadias,1
head,hypothyroidism,1
head,pea,1
head,scabies,1
head,insomnia,1
head,contusion,1
head,weight,1
head,degenerative,1
head,heat,1
head,shin,1
head,splint,1
head,mastoidectomy,1
head,estrogen,1
head,low,1
head,melatonin,1
head,post,1
head,soda,1
head,blood,1
head,zinc,1
head,ulcer,1
