source,target,value
headache,migraine,21
headache,diet,1
headache,ibuprofen,10
headache,pressure,11
headache,runny,7
headache,sinus,7
headache,drug,9
headache,over,7
headache,stomach,20
headache,ulcer,1
headache,stroke,3
headache,exercise,4
headache,numbness,2
headache,sexual,5
headache,head,52
headache,lump,4
headache,multiple,1
headache,pregnancy,21
headache,acetaminophen,1
headache,urinary,1
headache,pain,54
headache,oil,1
headache,rosacea,1
headache,massage,1
headache,vitamin,1
headache,anxiety,5
headache,dizziness,23
headache,allergy,1
headache,weakness,6
headache,bacterium,1
headache,eyes,25
headache,ears,22
headache,diabetes,4
headache,hypoglycemia,3
headache,meal,3
headache,fatigue,11
headache,sore,12
headache,throat,8
headache,virus,3
headache,hand,4
headache,lumbar,2
headache,meningitis,1
headache,neck,25
headache,cramps,5
headache,breast,9
headache,period,24
headache,spine,2
headache,fever,38
headache,head,3
headache,heart,1
headache,cyst,3
headache,polyp,1
headache,mouth,6
headache,taste,3
headache,vitamin,2
headache,shingles,1
headache,nausea,38
headache,chest,9
headache,vomit,12
headache,seizure,4
headache,spina,1
headache,brain,5
headache,aneurysm,1
headache,sinus,3
headache,diet,3
headache,vision,33
headache,back,10
headache,hydronephrosis,1
headache,nose,7
headache,stuffy,3
headache,ultrasound,2
headache,food,5
headache,poisoning,1
headache,blood,14
headache,nerve,1
headache,premature,1
headache,surgery,3
headache,diarrhea,4
headache,bowel,3
headache,movement,4
headache,urination,6
headache,salivary,1
headache,disorientation,1
headache,skull,3
headache,tenderness,5
headache,walking,8
headache,lightheadedness,10
headache,hunger,1
headache,spotting,3
headache,shin,1
headache,short,2
headache,swelling,8
headache,heart,4
headache,muscle,5
headache,drinking,16
headache,coffee,1
headache,high,7
headache,blood,1
headache,abdominal,2
headache,swallow,2
headache,flu,6
headache,sweating,9
headache,cough,10
headache,marijuana,2
headache,watery,2
headache,bladder,1
headache,crying,3
headache,leg,7
headache,drowsiness,3
headache,pulse,4
headache,brain,1
headache,lip,1
headache,strep,2
headache,libido,1
headache,fear,2
headache,bronchitis,1
headache,amoxicillin,1
headache,hernia,1
headache,skin,2
headache,torso,1
headache,jaw,1
headache,nail,1
headache,dry,3
headache,soda,2
headache,thirst,4
headache,smell,3
headache,cold,4
headache,family,4
headache,depression,6
headache,diverticulitis,1
headache,colonoscopy,1
headache,first,1
headache,buttocks,1
headache,rash,2
headache,running,4
headache,concussion,3
headache,grains,1
headache,chickenpox,1
headache,reaction,3
headache,vaccines,1
headache,hair,1
headache,insurance,4
headache,coldness,7
headache,magnetic,2
headache,sadness,3
headache,pregnancy,4
headache,tonsil,2
headache,ovulation,1
headache,pelvic,2
headache,stress,3
headache,dehydration,1
headache,blood,3
headache,tongue,2
headache,flatulence,1
headache,electrogastrogram,1
headache,tattoo,1
headache,black,1
headache,bloating,6
headache,nipple,1
headache,brain,1
headache,burn,3
headache,orgasm,1
headache,aspirin,1
headache,mucus,2
headache,craving,1
headache,caffeine,1
headache,intrauterine,1
headache,rehabilitation,1
headache,kidney,1
headache,urethra,1
headache,exposure,3
headache,asthma,1
headache,forehead,2
headache,injury,2
headache,mononucleosis,2
headache,sprain,1
headache,antidepressant,1
headache,mood,2
headache,nervousness,1
headache,birth,3
headache,health,1
headache,condom,1
headache,chlamydia,1
headache,consciousness,1
headache,confusion,4
headache,arm,7
headache,weight,2
headache,limb,1
headache,x,1
headache,ovary,1
headache,arrhythmias,1
headache,tension,1
headache,degenerative,1
headache,physical,1
headache,pupil,1
headache,circulation,1
headache,cholesterol,1
headache,kidney,1
headache,emergency,1
headache,acute,1
headache,toddler,1
headache,antibiotic,5
headache,thyroid,1
headache,thyroidectomy,1
headache,transplant,1
headache,menopause,1
headache,smoking,1
headache,tobacco,1
headache,birth,1
headache,baby,1
headache,electrocution,1
headache,long,1
headache,hysterectomy,1
headache,vagina,1
headache,eyebrow,2
headache,drainage,2
headache,mold,1
headache,insomnia,3
headache,testosterone,1
headache,tremor,1
headache,immunization,1
headache,bruise,5
headache,schizophrenia,1
headache,inflammation,1
headache,trauma,1
headache,concentration,1
headache,sleepiness,1
headache,cataract,1
headache,ear,1
headache,travel,1
headache,tick,1
headache,seizure,1
headache,tooth,1
headache,tea,1
headache,tightness,4
headache,waist,1
headache,acute,1
headache,hot,2
headache,alcohol,1
headache,grief,1
headache,potassium,1
headache,peanut,1
headache,jet,1
headache,constipation,1
headache,menstrual,1
headache,masturbation,1
headache,uterus,1
headache,vertigo,1
headache,tinnitus,2
headache,niacin,1
headache,boil,1
headache,steroid,1
headache,cold,1
headache,fruit,1
headache,calorie,1
headache,weight,2
headache,thigh,1
headache,insulin,1
headache,heat,1
headache,paranoid,1
headache,iron,1
headache,corpulence,1
headache,salt,1
headache,rheumatoid,1
headache,spinal,1
headache,narcotic,1
headache,calf,1
headache,puncture,1
headache,herniated,1
headache,pelvis,1
headache,erosion,1
headache,contusion,1
headache,flaxseed,1
headache,fiber,1
headache,detached,1
headache,pizza,1
headache,ejaculation,1
headache,spasm,1
headache,gastric,1
headache,lymph,1
headache,lung,1
