source,target,value
healing,hand,10
healing,burn,5
healing,blister,5
healing,contact,1
healing,over,2
healing,itch,3
healing,leg,13
healing,sore,7
healing,stress,4
healing,wisdom,2
healing,lip,9
healing,skin,18
healing,tooth,6
healing,acne,4
healing,hair,4
healing,penis,15
healing,bruise,11
healing,instability,1
healing,knee,4
healing,cancer,1
healing,mouth,3
healing,skin,2
healing,head,6
healing,ears,9
healing,skull,1
healing,stitches,4
healing,diabetes,4
healing,ablation,1
healing,heart,2
healing,surgery,27
healing,swelling,10
healing,tonsil,2
healing,bloating,1
healing,hysterectomy,2
healing,ovary,1
healing,tenderness,4
healing,drainage,6
healing,boil,3
healing,foot,10
healing,ankle,4
healing,weight,3
healing,x,3
healing,injury,6
healing,neck,2
healing,vertebra,1
healing,drinking,3
healing,toe,6
healing,vision,10
healing,birth,1
healing,abscess,2
healing,sinus,1
healing,drug,1
healing,nose,2
healing,pain,29
healing,egg,1
healing,wart,2
healing,wrist,3
healing,scar,5
healing,vagina,5
healing,wound,10
healing,stomach,3
healing,ulcer,5
healing,finger,4
healing,nail,2
healing,circumcision,4
healing,armpit,1
healing,rash,4
healing,thigh,4
healing,ejaculation,2
healing,masturbation,1
healing,urethra,1
healing,belly,2
healing,abdominal,1
healing,hernia,1
healing,scalp,1
healing,bladder,1
healing,lobectomy,1
healing,muscle,5
healing,rotator,2
healing,piercing,4
healing,diet,2
healing,hemorrhoidectomy,1
healing,iron,1
healing,gastritis,1
healing,food,2
healing,gallbladder,1
healing,anus,6
healing,urination,1
healing,femur,1
healing,eardrum,1
healing,amoxicillin,1
healing,fracture,8
healing,insurance,1
healing,physical,1
healing,diaper,1
healing,antibiotic,10
healing,lung,1
healing,smoking,3
healing,arm,6
healing,foreskin,1
healing,yeast,2
healing,ear,2
healing,ruptured,2
healing,calf,3
healing,erection,1
healing,sexual,4
healing,spider,1
healing,cavity,1
healing,broken,2
healing,oil,1
healing,arthritis,1
healing,ibuprofen,2
healing,sore,2
healing,throat,2
healing,virus,1
healing,steroid,2
healing,furuncle,1
healing,salt,5
healing,nipple,2
healing,tinnitus,2
healing,eyes,4
healing,double,1
healing,movement,1
healing,walking,6
healing,jaw,1
healing,herpes,4
healing,tongue,3
healing,magnetic,1
healing,running,2
healing,tendon,2
healing,milk,1
healing,sunburn,1
healing,orgasm,1
healing,uterus,1
healing,big,3
healing,dog,2
healing,multivitamin,1
healing,small,1
healing,vitamin,1
healing,clavicle,1
healing,consumption,1
healing,short,2
healing,collarbone,1
healing,achilles,1
healing,appendix,1
healing,laparoscopy,1
healing,polycystic,1
healing,icing,2
healing,breast,3
healing,back,1
healing,forearm,1
healing,pelvis,1
healing,injection,1
healing,lump,3
healing,perforated,2
healing,pressure,3
healing,osteoporosis,1
healing,narcotic,1
healing,vertigo,1
healing,yeast,1
healing,ischemia,1
healing,limb,1
healing,shin,1
healing,syphilis,1
healing,sprain,2
healing,testosterone,1
healing,taste,2
healing,ligament,1
healing,pea,1
healing,fistula,2
healing,clitoris,1
healing,coldness,1
healing,cold,4
healing,chest,2
healing,athletes,1
healing,liver,1
healing,index,1
healing,enema,1
healing,bowel,1
healing,rectum,2
healing,puffiness,1
healing,spine,2
healing,spider,1
healing,thrombosis,1
healing,vein,2
healing,shoulder,2
healing,calcium,1
healing,supplement,1
healing,hip,2
healing,heel,2
healing,pressure,1
healing,urinary,1
healing,fever,1
healing,esophagus,1
healing,salad,1
healing,nicotine,2
healing,epidural,1
healing,bone,2
healing,laminotomy,1
healing,dizziness,1
healing,sleepiness,1
healing,tendonitis,2
healing,weight,2
healing,nervousness,1
healing,family,1
healing,constipation,2
healing,welt,1
healing,genital,2
healing,travel,1
healing,anal,2
healing,thumb,2
healing,ear,1
healing,diarrhea,2
healing,hike,1
healing,sexually,1
healing,tattoo,1
healing,edema,1
healing,pupil,1
healing,canker,1
healing,cuts,1
healing,anxiety,1
healing,resection,1
healing,sweating,1
healing,blood,1
healing,gasoline,1
healing,allergic,1
healing,numbness,1
healing,pinched,1
healing,cellulitis,1
healing,broken,1
healing,splint,1
healing,bacterium,1
healing,genitalia,1
healing,testicle,1
healing,varicocele,1
