source,target,value
heart,catheter,1
heart,ablation,3
heart,anxiety,14
heart,diet,11
heart,food,8
heart,aging,1
heart,red,1
heart,wine,1
heart,chest,50
heart,pain,37
heart,stent,9
heart,lupus,1
heart,sexual,4
heart,rehabilitation,1
heart,foot,4
heart,emphysema,1
heart,congestive,4
heart,mitral,2
heart,tricuspid,1
heart,unstable,1
heart,drug,7
heart,narcotic,2
heart,high,9
heart,heartburn,3
heart,nausea,3
heart,stomach,9
heart,fever,3
heart,dizziness,17
heart,lightheadedness,4
heart,fish,1
heart,coronary,1
heart,meat,1
heart,breast,6
heart,pacemaker,2
heart,cough,5
heart,shoulder,3
heart,sweating,9
heart,heart,6
heart,grief,4
heart,dilated,1
heart,artery,7
heart,obesity,1
heart,short,6
heart,exercise,1
heart,arm,11
heart,neck,6
heart,hand,8
heart,knee,6
heart,running,7
heart,throat,3
heart,finger,1
heart,coldness,5
heart,coffee,2
heart,x,4
heart,cats,1
heart,catheterization,2
heart,vision,14
heart,emergency,1
heart,potassium,3
heart,healing,2
heart,diabetes,6
heart,surgery,11
heart,lung,7
heart,pulmonary,1
heart,blood,11
heart,asthma,2
heart,palpitation,12
heart,choking,1
heart,swallow,1
heart,movement,5
heart,exercise,11
heart,workout,1
heart,muscle,5
heart,stress,5
heart,virus,1
heart,drinking,9
heart,insurance,2
heart,milk,1
heart,indigestion,1
heart,walking,12
heart,thyroid,5
heart,colic,1
heart,newborn,1
heart,weight,4
heart,head,8
heart,hair,2
heart,scalp,1
heart,oxygen,2
heart,sleep,2
heart,pulse,5
heart,caffeine,1
heart,brain,4
heart,polyp,1
heart,vertigo,3
heart,angioplasty,1
heart,angiogram,1
heart,vein,3
heart,ultrasound,3
heart,headache,4
heart,pregnancy,5
heart,fatigue,4
heart,back,2
heart,vomit,2
heart,nervousness,1
heart,weight,5
heart,shoulder,1
heart,erection,4
heart,penis,2
heart,kidney,1
heart,burn,6
heart,aloe,1
heart,nose,1
heart,electrocardiogram,3
heart,elbow,2
heart,echocardiogram,3
heart,heart,3
heart,cat,3
heart,meal,1
heart,goiter,1
heart,carotid,1
heart,massage,1
heart,ligament,1
heart,ribcage,2
heart,birth,1
heart,mouth,2
heart,heart,11
heart,injection,2
heart,penicillin,1
heart,swelling,3
heart,corpulence,3
heart,pneumonia,1
heart,swine,1
heart,concentration,1
heart,leg,7
heart,sadness,1
heart,ears,7
heart,confusion,1
heart,blood,3
heart,migraine,1
heart,dog,1
heart,crying,2
heart,yoga,1
heart,thigh,1
heart,cyst,1
heart,physical,1
heart,pressure,4
heart,sternum,2
heart,calcium,1
heart,fear,3
heart,cocaine,1
heart,varicose,1
heart,hepatitis,1
heart,stroke,4
heart,angina,1
heart,antidepressant,1
heart,palpation,1
heart,cervical,1
heart,family,3
heart,anger,1
heart,flatulence,1
heart,organ,2
heart,panic,3
heart,drainage,1
heart,sinus,1
heart,nipple,1
heart,smoking,4
heart,eyes,1
heart,hemoglobin,1
heart,iron,2
heart,flu,2
heart,irregularity,3
heart,methadone,1
heart,fitness,1
heart,tachycardia,1
heart,ventricle,1
heart,skin,1
heart,yeast,1
heart,edema,1
heart,plaque,1
heart,open,1
heart,tightness,3
heart,allergic,1
heart,diarrhea,1
heart,low,1
heart,hot,2
heart,stem,1
heart,cramps,1
heart,hyperventilation,1
heart,urination,2
heart,dehydration,1
heart,nasal,1
heart,sinus,1
heart,magnetic,1
heart,medicare,1
heart,height,2
heart,paralysis,1
heart,ankle,1
heart,kidney,1
heart,salt,1
heart,hiatal,1
heart,lasik,1
heart,blood,2
heart,numbness,1
heart,bundle,1
heart,irritable,1
heart,weakness,1
heart,tea,1
heart,birth,1
heart,birth,1
heart,inflammation,2
heart,over,1
heart,acute,1
heart,dark,1
heart,cocoa,1
heart,jaw,2
heart,bladder,1
heart,hip,1
heart,hypogonadism,1
heart,testosterone,2
heart,rheumatoid,1
heart,circulation,1
heart,attention,1
heart,aorta,1
heart,cooking,2
heart,oil,1
heart,lymphedema,1
heart,lettuce,1
heart,salad,1
heart,yam,1
heart,blood,3
heart,aspirin,1
heart,tonsil,1
heart,tonsillectomy,1
heart,vinegar,1
heart,melatonin,1
heart,taste,1
heart,scoliosis,1
heart,fingernail,1
heart,depression,1
heart,fatty,1
heart,alcoholism,1
heart,spasm,1
heart,fetus,1
heart,cervix,1
heart,miscarriage,1
heart,knee,1
heart,triglyceride,1
