source,target,value
herpes,virus,18
herpes,infection,1
herpes,condom,6
herpes,oral,3
herpes,blister,14
herpes,allergic,1
herpes,itch,6
herpes,skin,11
herpes,vision,8
herpes,sexual,21
herpes,shingles,5
herpes,head,4
herpes,chlamydia,4
herpes,penis,14
herpes,prostatitis,1
herpes,cold,16
herpes,pregnancy,2
herpes,sore,11
herpes,pain,6
herpes,pelvis,2
herpes,arm,2
herpes,bacterium,1
herpes,orgasm,1
herpes,vagina,16
herpes,genital,19
herpes,coldness,1
herpes,lip,11
herpes,food,3
herpes,blood,4
herpes,poison,1
herpes,thigh,2
herpes,breast,1
herpes,massage,2
herpes,syphilis,2
herpes,fear,3
herpes,nervousness,3
herpes,mouth,3
herpes,hiv,3
herpes,lump,2
herpes,lymph,1
herpes,reaction,2
herpes,boil,1
herpes,pain,1
herpes,wart,2
herpes,fever,4
herpes,hand,4
herpes,ulcer,1
herpes,spit,2
herpes,acne,4
herpes,immune,1
herpes,period,2
herpes,tenderness,1
herpes,anus,2
herpes,masturbation,2
herpes,tongue,1
herpes,hunger,1
herpes,spotting,1
herpes,yeast,2
herpes,bacterial,2
herpes,rash,3
herpes,chickenpox,1
herpes,impotence,1
herpes,burn,2
herpes,fatigue,1
herpes,numbness,1
herpes,urination,1
herpes,confusion,2
herpes,methicillin,1
herpes,healing,4
herpes,testicle,1
herpes,human,2
herpes,elbow,1
herpes,flatulence,1
herpes,walking,1
herpes,ejaculation,2
herpes,aids,1
herpes,transfusion,1
herpes,meningitis,1
herpes,vaccination,1
herpes,family,1
herpes,sexually,3
herpes,lupus,1
herpes,hemorrhoid,2
herpes,trichomoniasis,1
herpes,eyes,1
herpes,flu,1
herpes,grief,1
herpes,cervical,1
herpes,surgery,2
herpes,buttocks,1
herpes,dizziness,1
herpes,swelling,2
herpes,herpes,1
herpes,shaving,1
herpes,drinking,1
herpes,vaginal,3
herpes,smell,2
herpes,folliculitis,1
herpes,sunflower,1
herpes,bladder,1
herpes,std,1
herpes,hives,1
herpes,running,2
herpes,tonsil,1
herpes,tooth,1
herpes,taste,1
herpes,puffiness,1
herpes,oil,1
herpes,paranoid,1
herpes,exposure,1
herpes,pressure,1
herpes,suicide,1
herpes,thumb,1
herpes,baby,1
herpes,uterus,1
herpes,carpal,1
herpes,wrist,1
herpes,menopause,1
herpes,genitalia,1
herpes,genital,1
herpes,jock,1
herpes,pelvic,1
herpes,abscess,1
herpes,urinalysis,1
