source,target,value
infection,hepatitis,1
infection,injury,1
infection,liver,1
infection,methicillin,1
infection,ears,1
infection,hand,1
infection,burn,1
infection,antibiotic,2
infection,wrist,1
infection,drug,2
infection,over,2
infection,skin,3
infection,dog,1
infection,cuts,1
infection,cephalexin,1
infection,amoxicillin,1
infection,belly,1
infection,piercing,2
infection,diarrhea,1
infection,travelers,1
infection,hiv,1
infection,sexual,1
infection,pain,1
infection,tooth,2
infection,whooping,1
infection,herpes,1
infection,middle,1
infection,bacterium,1
infection,ibuprofen,1
infection,birth,1
infection,acetaminophen,1
infection,penicillin,1
infection,cats,1
infection,lip,1
infection,scar,1
infection,pacemaker,1
infection,tongue,1
