source,target,value
injection,steroid,11
injection,flu,36
injection,chemotherapy,1
injection,weight,3
injection,swine,5
injection,coldness,4
injection,cold,2
injection,nail,4
injection,tetanus,10
injection,drainage,3
injection,sinus,2
injection,pregnancy,18
injection,lip,2
injection,vision,9
injection,hand,8
injection,heel,1
injection,foot,8
injection,asthma,1
injection,allergy,7
injection,fibromyalgia,1
injection,pain,20
injection,drug,5
injection,arm,8
injection,strep,2
injection,insurance,4
injection,chickenpox,3
injection,birth,5
injection,over,2
injection,keloid,1
injection,scar,1
injection,surgery,7
injection,walking,2
injection,x,3
injection,muscle,1
injection,rash,3
injection,spine,3
injection,ears,5
injection,blood,1
injection,pressure,3
injection,testosterone,13
injection,eyes,7
injection,lens,1
injection,epidural,3
injection,leg,7
injection,neck,1
injection,meningitis,1
injection,insulin,7
injection,macular,1
injection,vitamin,1
injection,nodule,1
injection,penis,2
injection,boil,1
injection,antibiotic,11
injection,shaving,1
injection,dizziness,3
injection,numbness,1
injection,chest,6
injection,breast,4
injection,nipple,1
injection,cyst,2
injection,knee,1
injection,fear,4
injection,diabetes,3
injection,shingles,3
injection,swelling,3
injection,period,21
injection,finger,6
injection,spasm,1
injection,mouth,3
injection,nerve,2
injection,dental,2
injection,tooth,1
injection,drowsiness,6
injection,sexual,12
injection,cold,1
injection,fever,2
injection,emergency,1
injection,elbow,2
injection,gallbladder,1
injection,cranberry,1
injection,juice,1
injection,olive,1
injection,gastroenteritis,1
injection,diarrhea,1
injection,bowel,1
injection,vomit,1
injection,head,2
injection,tenderness,1
injection,hysterectomy,1
injection,rectum,1
injection,magnetic,1
injection,food,4
injection,dog,2
injection,burn,5
injection,exposure,1
injection,virus,1
injection,shoulder,7
injection,depo,14
injection,depression,3
injection,spotting,8
injection,lightheadedness,2
injection,pregnancy,4
injection,vertigo,1
injection,heart,2
injection,heart,1
injection,penicillin,2
injection,stent,1
injection,laboratory,1
injection,blood,2
injection,calf,1
injection,blood,1
injection,ibuprofen,1
injection,cortisone,6
injection,cramps,2
injection,alzheimers,1
injection,back,3
injection,fertility,1
injection,sinus,1
injection,smell,1
injection,taste,1
injection,condom,2
injection,weight,2
injection,fracture,2
injection,femur,1
injection,b12,2
injection,polio,1
injection,whooping,1
injection,narcolepsy,1
injection,hair,3
injection,puberty,1
injection,exercise,2
injection,tinnitus,1
injection,acetaminophen,2
injection,running,2
injection,hormone,1
injection,orgasm,2
injection,belly,1
injection,movement,2
injection,stomach,2
injection,ear,1
injection,vasovagal,1
injection,yellow,1
injection,irregularity,2
injection,injury,2
injection,smoking,2
injection,stress,1
injection,blister,1
injection,jaw,2
injection,ovulation,1
injection,tonsil,1
injection,hemangioma,1
injection,nose,1
injection,ankle,1
injection,sprain,1
injection,cats,2
injection,wound,2
injection,family,1
injection,cardiac,1
injection,breast,1
injection,oxygen,1
injection,rotator,1
injection,vagina,1
injection,human,2
injection,cervical,1
injection,cancer,2
injection,baby,2
injection,anemia,1
injection,occupational,1
injection,cocaine,1
injection,cat,1
injection,hot,2
injection,hormone,1
injection,thyroid,1
injection,hives,2
injection,allergic,2
injection,hunger,1
injection,irritability,1
injection,diet,1
injection,disc,1
injection,forearm,1
injection,stitches,2
injection,fatigue,1
injection,drinking,1
injection,cuts,1
injection,menstrual,1
injection,ovary,2
injection,uterus,1
injection,dermatitis,1
injection,thrush,1
injection,tongue,1
injection,milk,1
injection,confusion,1
injection,liver,1
injection,healing,1
injection,e,1
injection,erection,2
injection,erectile,3
injection,plaque,1
injection,feeding,1
injection,breastfeed,1
injection,nausea,1
injection,weight,1
injection,mood,1
injection,creatinine,1
injection,kidney,1
injection,vaginal,1
injection,clitoris,1
injection,bursitis,1
injection,spinal,1
injection,herniated,1
injection,menopause,2
injection,fiber,1
injection,tuberculosis,1
injection,anxiety,2
injection,stroke,1
injection,human,1
injection,reaction,1
injection,torso,1
injection,welt,1
injection,diverticulosis,1
injection,diverticulitis,1
injection,pneumonia,2
injection,postpartum,1
injection,nerve,1
injection,physical,1
injection,scoliosis,1
injection,myelogram,1
injection,short,1
injection,hepatitis,1
injection,allergic,1
