source,target,value
injury,infection,1
injury,hepatitis,1
injury,liver,5
injury,pain,48
injury,ginkgo,1
injury,diabetes,3
injury,neck,5
injury,sperm,1
injury,anterior,2
injury,walking,9
injury,ankle,11
injury,iron,1
injury,tooth,3
injury,over,1
injury,catheter,1
injury,bladder,2
injury,brain,6
injury,type,1
injury,kidney,5
injury,foot,15
injury,lymphedema,1
injury,femur,1
injury,surgery,8
injury,thigh,3
injury,weight,4
injury,skin,7
injury,wound,3
injury,healing,6
injury,vertebra,1
injury,knee,11
injury,ligament,2
injury,index,3
injury,nail,3
injury,stitches,1
injury,spine,3
injury,pressure,5
injury,running,4
injury,scar,2
injury,shin,2
injury,eyelid,1
injury,ears,3
injury,dental,1
injury,aging,2
injury,inflammation,2
injury,fatigue,3
injury,swelling,11
injury,leg,11
injury,vein,1
injury,elbow,4
injury,arm,6
injury,shoulder,11
injury,x,4
injury,nose,2
injury,head,8
injury,armpit,1
injury,lump,3
injury,heel,1
injury,hormone,1
injury,orgasm,1
injury,sexual,1
injury,nerve,1
injury,muscle,7
injury,workout,3
injury,tetanus,2
injury,vaccines,1
injury,cough,2
injury,sinus,1
injury,lip,1
injury,mouth,1
injury,bruise,14
injury,movement,5
injury,depression,1
injury,anxiety,1
injury,fracture,3
injury,exercise,5
injury,finger,8
injury,big,5
injury,tenderness,4
injury,insurance,5
injury,oxygen,1
injury,numbness,2
injury,puffiness,1
injury,wound,1
injury,coccydynia,1
injury,stress,2
injury,herniated,2
injury,fibromyalgia,1
injury,chronic,1
injury,sciatica,1
injury,grip,1
injury,vision,4
injury,wrist,3
injury,injection,2
injury,food,1
injury,fear,1
injury,stress,1
injury,hike,1
injury,breast,2
injury,kidney,1
injury,magnetic,1
injury,arthritis,1
injury,salt,1
injury,hernia,1
injury,painkiller,1
injury,period,2
injury,head,1
injury,autism,1
injury,consumption,1
injury,short,2
injury,sting,1
injury,potassium,1
injury,spasm,1
injury,birth,1
injury,birth,1
injury,vertigo,1
injury,weight,1
injury,headache,2
injury,forehead,1
injury,tibia,2
injury,molar,1
injury,tongue,1
injury,ring,1
injury,blood,1
injury,shock,1
injury,trauma,2
injury,whiplash,1
injury,constriction,1
injury,coldness,1
injury,blood,1
injury,spitting,1
injury,erection,2
injury,penis,2
injury,drinking,1
injury,thumb,1
injury,anti,1
injury,knee,1
injury,spit,1
injury,toenail,1
injury,toenail,1
injury,consciousness,1
injury,concussion,2
injury,toe,3
injury,insomnia,1
injury,calf,2
injury,testicle,1
injury,urination,1
injury,bulging,1
injury,creatinine,1
injury,bipolar,1
injury,post,1
injury,erectile,1
injury,internal,1
injury,tinnitus,1
injury,sprain,4
injury,hand,4
injury,health,1
injury,pre,1
injury,spider,1
injury,family,1
injury,concentration,1
injury,migraine,1
injury,seizure,1
injury,waist,1
injury,varicose,1
injury,antibiotic,2
injury,urethra,1
injury,blood,1
injury,weakness,2
injury,dementia,1
injury,coma,1
injury,closed,1
injury,travel,1
injury,amoxicillin,1
injury,referred,1
injury,hip,1
injury,buttocks,1
injury,rotator,2
injury,caffeine,1
injury,supplement,1
injury,restless,1
injury,restlessness,1
injury,tendonitis,2
injury,herniated,1
injury,anger,1
injury,massage,1
injury,soft,1
injury,bunion,1
injury,cats,1
injury,broken,1
injury,rotator,1
injury,masturbation,1
injury,shoulder,1
injury,anus,1
injury,vagina,1
injury,trigger,1
