source,target,value
insurance,dental,7
insurance,liposuction,2
insurance,arm,7
insurance,spider,1
insurance,poison,1
insurance,sinus,2
insurance,medicare,11
insurance,prostate,2
insurance,over,6
insurance,penicillin,1
insurance,supplement,1
insurance,tooth,7
insurance,high,2
insurance,asthma,1
insurance,drug,8
insurance,diet,2
insurance,blood,1
insurance,mole,1
insurance,skin,1
insurance,vision,19
insurance,acne,1
insurance,itch,2
insurance,skin,7
insurance,tattoo,1
insurance,injection,4
insurance,health,4
insurance,affordable,5
insurance,medicaid,5
insurance,neck,7
insurance,eyes,5
insurance,puffiness,1
insurance,depression,2
insurance,anxiety,2
insurance,mammogram,1
insurance,pap,1
insurance,screening,1
insurance,drug,1
insurance,family,6
insurance,dizziness,1
insurance,running,2
insurance,vertigo,1
insurance,head,5
insurance,ears,3
insurance,back,3
insurance,pain,19
insurance,nausea,3
insurance,ovary,3
insurance,pelvic,1
insurance,diarrhea,1
insurance,bowel,1
insurance,movement,6
insurance,period,12
insurance,pregnancy,2
insurance,eyeball,1
insurance,astigmatism,1
insurance,swelling,2
insurance,coldness,4
insurance,bipolar,3
insurance,mood,2
insurance,turkey,1
insurance,heart,2
insurance,drinking,3
insurance,milk,1
insurance,throat,2
insurance,blood,1
insurance,ana,1
insurance,lupus,1
insurance,sepsis,1
insurance,fertility,1
insurance,baby,4
insurance,pregnancy,11
insurance,sadness,2
insurance,hand,1
insurance,hair,2
insurance,finger,4
insurance,dog,3
insurance,tenderness,4
insurance,thumb,2
insurance,chest,4
insurance,x,1
insurance,exercise,2
insurance,quit,1
insurance,surgery,12
insurance,weight,3
insurance,index,1
insurance,nerve,1
insurance,leg,5
insurance,breast,7
insurance,breast,1
insurance,nipple,2
insurance,cyst,3
insurance,paranoid,2
insurance,birth,4
insurance,tampon,2
insurance,yeast,1
insurance,hemoglobin,1
insurance,anemia,2
insurance,rotator,1
insurance,stress,2
insurance,irregularity,2
insurance,spotting,2
insurance,hoarseness,1
insurance,cough,2
insurance,muscle,2
insurance,spine,1
insurance,foot,6
insurance,broken,1
insurance,arthritis,1
insurance,morning,1
insurance,penis,1
insurance,tongue,2
insurance,dry,1
insurance,atopic,1
insurance,oatmeal,1
insurance,jaw,2
insurance,healing,1
insurance,fracture,1
insurance,physical,2
insurance,fallopian,1
insurance,pelvis,1
insurance,shoulder,1
insurance,lump,2
insurance,peanut,1
insurance,testicle,1
insurance,injury,5
insurance,fatigue,1
insurance,liver,2
insurance,oxygen,1
insurance,thyroid,1
insurance,fever,1
insurance,drowsiness,1
insurance,strep,2
insurance,fear,3
insurance,clitoris,1
insurance,sexual,3
insurance,vagina,5
insurance,rash,1
insurance,manic,1
insurance,seizure,1
insurance,headache,4
insurance,thigh,1
insurance,hike,1
insurance,bruise,3
insurance,ankle,3
insurance,hiv,2
insurance,shoulder,1
insurance,swallow,1
insurance,tightness,2
insurance,immune,2
insurance,antibiotic,5
insurance,acetaminophen,4
insurance,food,2
insurance,walking,3
insurance,candidiasis,1
insurance,amoxicillin,1
insurance,meal,1
insurance,vomit,1
insurance,hysterectomy,1
insurance,cancer,2
insurance,suicide,1
insurance,naproxen,1
insurance,coffee,1
insurance,sperm,1
insurance,epidural,1
insurance,disc,1
insurance,forearm,1
insurance,stitches,2
insurance,methadone,1
insurance,vitamin,1
insurance,genital,1
insurance,calcium,1
insurance,kidney,1
insurance,thyroidectomy,1
insurance,burn,2
insurance,ejaculation,1
insurance,boil,2
insurance,armpit,1
insurance,digestive,1
insurance,fibromyalgia,1
insurance,diabetes,3
insurance,weight,1
insurance,rehabilitation,1
insurance,dementia,1
insurance,aca,3
insurance,pre,3
insurance,oregon,1
insurance,obesity,1
insurance,sore,1
insurance,antidepressant,1
insurance,ingrown,1
insurance,big,1
insurance,anus,1
insurance,louisiana,1
insurance,blood,1
insurance,biopsy,1
insurance,psychotherapy,1
insurance,hunger,1
insurance,grief,1
insurance,abdominal,2
insurance,b12,1
insurance,newyork,1
insurance,wisdom,1
insurance,cramps,3
insurance,constipation,2
insurance,calf,1
insurance,toe,1
insurance,palpitation,1
insurance,emergency,3
insurance,wrist,1
insurance,lymphoma,1
insurance,bladder,2
insurance,breast,1
insurance,post,1
insurance,nose,1
insurance,pressure,1
insurance,blood,1
insurance,weakness,1
insurance,trigeminal,1
insurance,short,1
insurance,scabies,1
insurance,obamacare,1
insurance,colonoscopy,1
insurance,colon,1
insurance,colon,1
insurance,in,1
insurance,abscess,1
insurance,narcotic,1
insurance,nightmare,1
insurance,ganglion,1
insurance,laser,1
insurance,wart,2
insurance,tick,1
insurance,whiplash,1
insurance,smell,1
insurance,confusion,1
insurance,shaving,1
insurance,heat,1
insurance,forehead,1
insurance,blood,1
insurance,pain,1
insurance,primary,1
insurance,insomnia,1
insurance,stomach,1
insurance,brain,1
insurance,photophobia,1
insurance,scar,1
insurance,condom,2
insurance,cold,1
insurance,immunotherapy,1
insurance,allergy,1
insurance,vasectomy,1
