source,target,value
itch,insect,3
itch,pain,12
itch,sting,5
itch,cough,2
itch,throat,4
itch,stomach,2
itch,foot,10
itch,amoxicillin,1
itch,dry,2
itch,dog,1
itch,poison,4
itch,walking,3
itch,insurance,2
itch,skin,43
itch,tattoo,1
itch,vision,15
itch,breast,5
itch,pregnancy,3
itch,burn,15
itch,mole,3
itch,skin,1
itch,healing,3
itch,leg,13
itch,sore,6
itch,stress,1
itch,hand,9
itch,forearm,4
itch,muscle,2
itch,rash,24
itch,sexually,5
itch,urethra,3
itch,supplement,1
itch,period,6
itch,quit,1
itch,chest,6
itch,arm,19
itch,menopause,2
itch,toe,3
itch,elbow,3
itch,eyes,6
itch,movement,6
itch,hives,4
itch,scalp,4
itch,scabies,6
itch,methicillin,1
itch,atopic,2
itch,head,11
itch,hair,1
itch,emergency,1
itch,soup,1
itch,thigh,6
itch,herpes,6
itch,allergic,7
itch,serotonin,1
itch,blister,7
itch,waist,1
itch,inflammation,1
itch,meal,1
itch,armpit,2
itch,smell,5
itch,phlebotomy,1
itch,reaction,4
itch,pea,2
itch,shaving,2
itch,vagina,15
itch,chlamydia,1
itch,nervousness,1
itch,herpes,1
itch,ears,7
itch,cancer,2
itch,sore,1
itch,clitoris,4
itch,vaginal,3
itch,yeast,8
itch,swelling,7
itch,prostate,1
itch,urination,2
itch,fever,2
itch,vaccination,2
itch,sweating,3
itch,antibiotic,4
itch,tooth,1
itch,drainage,1
itch,bedbug,1
itch,heat,2
itch,whitehead,1
itch,fear,3
itch,penis,24
itch,sexual,3
itch,forehead,1
itch,tenderness,3
itch,genitalia,4
itch,buttocks,3
itch,wart,2
itch,drinking,1
itch,mucus,2
itch,spit,1
itch,family,1
itch,belly,1
itch,cereal,1
itch,hiv,1
itch,biopsy,2
itch,hair,3
itch,weakness,1
itch,masturbation,4
itch,shoulder,1
itch,sunburn,1
itch,finger,3
itch,callus,1
itch,acne,2
itch,ringworm,2
itch,worm,2
itch,shingles,3
itch,head,1
itch,neck,1
itch,shoulder,1
itch,anus,3
itch,bruise,2
itch,spider,1
itch,swallow,1
itch,swimmers,1
itch,balanitis,1
itch,otitis,1
itch,pressure,2
itch,short,2
itch,scar,2
itch,lip,4
itch,coldness,1
itch,lubricants,1
itch,pink,1
itch,toddler,1
itch,lotion,3
itch,weight,2
itch,weight,2
itch,syphilis,1
itch,welt,3
itch,psoriasis,2
itch,vein,1
itch,bacterial,1
itch,allergy,2
itch,knee,4
itch,cold,1
itch,exercise,2
itch,bloating,1
itch,bladder,1
itch,food,1
itch,vitamin,1
itch,genital,1
itch,ankle,3
itch,over,1
itch,steroid,1
itch,fatigue,1
itch,massage,1
itch,freckle,1
itch,condom,3
itch,iodine,1
itch,lump,3
itch,puffiness,2
itch,scrotum,5
itch,running,1
itch,nipple,1
itch,testicle,3
itch,cholesterol,1
itch,boil,2
itch,calamine,1
itch,ejaculation,1
itch,yeast,1
itch,wound,1
itch,diabetes,1
itch,crying,1
itch,tick,1
itch,wrist,1
itch,kidney,1
itch,liver,1
itch,thyroid,1
itch,height,1
itch,nose,1
itch,jock,2
itch,fish,1
itch,razor,1
itch,diarrhea,1
itch,bowel,1
itch,nerve,1
itch,pelvic,1
itch,vaginal,1
