source,target,value
knee,pain,87
knee,exercise,17
knee,period,5
knee,ganglion,1
knee,calf,6
knee,tendonitis,2
knee,surgery,31
knee,drug,3
knee,leg,62
knee,swelling,26
knee,foot,22
knee,skin,7
knee,instability,5
knee,healing,4
knee,bruise,13
knee,arm,3
knee,neck,5
knee,sweating,1
knee,heart,6
knee,hand,3
knee,running,15
knee,throat,1
knee,diarrhea,2
knee,bladder,1
knee,pacemaker,3
knee,walking,42
knee,toe,8
knee,fracture,2
knee,femur,4
knee,blood,6
knee,lump,5
knee,knee,11
knee,hip,4
knee,meniscus,5
knee,inflammation,2
knee,sting,1
knee,heel,2
knee,cramps,2
knee,arthritis,7
knee,boil,1
knee,scrotum,1
knee,vision,7
knee,injury,11
knee,ligament,6
knee,ankle,17
knee,ears,5
knee,numbness,2
knee,insulin,2
knee,diabetes,3
knee,type,1
knee,sciatica,2
knee,tenderness,3
knee,fetus,1
knee,endometriosis,1
knee,elbow,6
knee,shoulder,5
knee,immune,1
knee,gastric,1
knee,chickenpox,1
knee,rheumatoid,3
knee,tightness,4
knee,coldness,1
knee,injection,1
knee,drainage,3
knee,cyst,2
knee,steroid,1
knee,pressure,7
knee,uterine,1
knee,x,3
knee,gender,1
knee,icing,3
knee,movement,12
knee,spasm,1
knee,head,3
knee,sinus,1
knee,nerve,2
knee,thigh,9
knee,osteotomy,1
knee,virus,1
knee,muscle,8
knee,workout,1
knee,confusion,1
knee,cervix,1
knee,birth,1
knee,nervousness,1
knee,pap,1
knee,cat,1
knee,physical,3
knee,sprain,2
knee,puffiness,1
knee,blood,1
knee,abdominal,1
knee,dog,1
knee,dislocation,1
knee,heartburn,1
knee,flatulence,1
knee,stomach,1
knee,cartilage,2
knee,spondylitis,1
knee,armpit,1
knee,rash,5
knee,pelvis,1
knee,sacroiliac,1
knee,vein,2
knee,weight,7
knee,back,3
knee,scoliosis,1
knee,finger,3
knee,baby,1
knee,hike,1
knee,anterior,1
knee,diet,2
knee,shin,2
knee,ibuprofen,1
knee,buttocks,2
knee,stress,1
knee,spine,1
knee,burn,2
knee,thumb,1
knee,tibia,1
knee,arthroscopy,1
knee,trauma,2
knee,wrist,2
knee,fever,3
knee,acetaminophen,1
knee,temperature,1
knee,antibiotic,2
knee,penicillin,1
knee,stitches,1
knee,alzheimers,1
knee,vitamin,1
knee,osteoarthritis,3
knee,food,1
knee,waist,1
knee,scar,1
knee,hamstring,2
knee,blister,1
knee,bursitis,1
knee,aspiration,1
knee,pinched,1
knee,inhaler,1
knee,bronchitis,1
knee,pastry,1
knee,intestine,1
knee,wound,2
knee,flat,1
knee,itch,4
knee,sore,1
knee,fear,2
knee,cooking,1
knee,magnetic,1
knee,medicare,1
knee,stent,2
knee,flu,1
knee,pelvic,1
knee,hip,3
knee,weight,1
knee,cholesterol,1
knee,over,2
knee,esophageal,1
knee,endoscopy,1
knee,colonoscopy,1
knee,heart,1
knee,low,1
knee,bicep,1
knee,diabetic,1
knee,neuropathy,1
knee,cough,1
knee,stuffy,1
knee,blood,1
knee,contact,1
knee,potassium,1
knee,calorie,1
knee,posterior,1
knee,weakness,1
knee,aneurysm,1
knee,transfusion,1
knee,dizziness,1
knee,car,1
knee,lymphedema,1
knee,crying,1
knee,skin,1
knee,anxiety,1
knee,travel,1
knee,bow,1
knee,chondromalacia,1
knee,supplement,1
knee,infusion,1
knee,varicose,1
knee,toenail,1
knee,ck,1
knee,allergy,1
knee,poisoning,1
knee,kidney,1
knee,psoriasis,1
knee,short,1
