source,target,value
leg,pain,130
leg,pregnancy,15
leg,rash,15
leg,skin,38
leg,drug,3
leg,walking,52
leg,atopic,1
leg,hair,9
leg,shaving,1
leg,spider,2
leg,varicose,4
leg,acne,1
leg,sweating,9
leg,itch,13
leg,healing,13
leg,sore,6
leg,stress,4
leg,parkinsons,1
leg,weakness,9
leg,tendon,3
leg,cramps,24
leg,potassium,4
leg,blister,12
leg,foot,61
leg,swelling,44
leg,psoriasis,2
leg,steroid,2
leg,weight,4
leg,knee,62
leg,hydrocortisone,1
leg,surgery,29
leg,finger,7
leg,potassium,1
leg,baby,5
leg,arm,56
leg,forearm,3
leg,torso,3
leg,period,13
leg,spasm,5
leg,caffeine,1
leg,melatonin,1
leg,oxycodone,1
leg,restlessness,6
leg,instability,1
leg,bruise,23
leg,calf,13
leg,ankle,38
leg,vein,8
leg,kidney,5
leg,diet,6
leg,movement,21
leg,chest,10
leg,dog,6
leg,diarrhea,4
leg,over,2
leg,muscle,25
leg,shin,11
leg,crying,4
leg,migraine,3
leg,toe,8
leg,corpulence,4
leg,big,3
leg,neck,11
leg,pea,1
leg,shoulder,8
leg,injection,7
leg,epidural,1
leg,vaccination,1
leg,heel,5
leg,allergic,2
leg,cuts,2
leg,circulation,10
leg,drainage,2
leg,sting,2
leg,kidney,1
leg,newborn,1
leg,x,1
leg,arthritis,6
leg,lumbar,1
leg,boil,4
leg,scrotum,3
leg,vision,22
leg,weight,18
leg,confusion,1
leg,short,3
leg,stroke,6
leg,running,21
leg,thigh,31
leg,numbness,12
leg,stomach,11
leg,food,5
leg,meal,1
leg,anxiety,1
leg,dizziness,5
leg,urination,3
leg,buttocks,6
leg,prostate,1
leg,height,1
leg,hand,22
leg,giddiness,1
leg,diabetes,7
leg,insurance,5
leg,medicare,1
leg,diabetic,1
leg,anus,2
leg,penis,7
leg,testicle,4
leg,injury,11
leg,exercise,17
leg,ear,1
leg,cephalexin,1
leg,sciatica,3
leg,tenderness,7
leg,head,9
leg,limb,2
leg,blood,3
leg,burn,15
leg,nerve,11
leg,spine,8
leg,lotion,2
leg,blood,7
leg,uterine,1
leg,dehydration,2
leg,neuropathy,4
leg,fever,4
leg,b12,1
leg,herniated,2
leg,eyes,3
leg,staph,2
leg,emergency,1
leg,cats,6
leg,fatigue,5
leg,coldness,6
leg,low,1
leg,nose,3
leg,physical,6
leg,amputation,3
leg,trauma,5
leg,cortisone,1
leg,welt,2
leg,cyst,3
leg,electric,1
leg,multiple,1
leg,pressure,5
leg,laparoscopy,1
leg,hernia,2
leg,cancer,2
leg,syphilis,1
leg,sexual,7
leg,antibiotic,6
leg,mouth,1
leg,throat,3
leg,hysterectomy,3
leg,rectum,3
leg,massage,1
leg,femur,3
leg,dislocation,1
leg,high,1
leg,heart,2
leg,drowsiness,3
leg,headache,7
leg,nausea,1
leg,lightheadedness,2
leg,pulse,1
leg,ears,3
leg,chickenpox,1
leg,lump,4
leg,vinegar,2
leg,genital,1
leg,stent,2
leg,turkey,1
leg,fibromyalgia,1
leg,fear,5
leg,tightness,7
leg,rehabilitation,1
leg,canker,1
leg,pelvis,5
