source,target,value
lump,breast,31
lump,skin,25
lump,headache,4
lump,head,15
lump,pain,35
lump,penis,13
lump,sexual,2
lump,hand,8
lump,belly,5
lump,nausea,2
lump,cyst,5
lump,bruise,11
lump,lip,2
lump,forearm,2
lump,arm,12
lump,tattoo,1
lump,flu,2
lump,shin,1
lump,hair,6
lump,forehead,1
lump,egg,1
lump,anaphylaxis,1
lump,allergy,1
lump,shock,1
lump,coldness,4
lump,lymph,6
lump,neck,6
lump,pressure,3
lump,nipple,12
lump,puberty,2
lump,fatigue,1
lump,spine,2
lump,knee,5
lump,blood,3
lump,running,3
lump,hypothyroidism,1
lump,family,2
lump,tenderness,10
lump,testicle,8
lump,eyes,5
lump,inflammation,1
lump,foot,5
lump,sting,2
lump,breast,1
lump,biopsy,4
lump,benign,2
lump,thigh,7
lump,vagina,8
lump,jaw,2
lump,ears,11
lump,throat,5
lump,cancer,19
lump,tumor,2
lump,brain,1
lump,grape,1
lump,thumb,2
lump,eyelid,6
lump,sty,4
lump,hiv,1
lump,herpes,2
lump,reaction,1
lump,muscle,3
lump,organ,2
lump,armpit,15
lump,scrotum,4
lump,swelling,20
lump,dizziness,2
lump,movement,14
lump,rash,2
lump,fear,3
lump,injury,3
lump,cauliflower,1
lump,cartilage,2
lump,milk,1
lump,spotting,1
lump,weight,2
lump,nostril,1
lump,ultrasound,3
lump,vision,15
lump,chalazion,1
lump,scar,3
lump,food,1
lump,chest,6
lump,cough,1
lump,finger,5
lump,leg,4
lump,prostate,1
lump,prostate,1
lump,acne,2
lump,massage,2
lump,pea,9
lump,vein,2
lump,insurance,2
lump,peanut,1
lump,fever,5
lump,diarrhea,1
lump,electrocardiogram,1
lump,spit,1
lump,surgery,1
lump,tongue,4
lump,baby,2
lump,jelly,2
lump,clitoris,5
lump,acetaminophen,1
lump,canker,1
lump,walking,4
lump,blinking,1
lump,thyroid,1
lump,condom,1
lump,blister,4
lump,abscess,3
lump,waist,1
lump,heartburn,1
lump,mouth,2
lump,tooth,3
lump,bicep,1
lump,shoulder,3
lump,lower,2
lump,hemorrhoid,2
lump,anus,9
lump,ring,1
lump,ankle,3
lump,painkiller,1
lump,soft,1
lump,puncture,1
lump,larynx,1
lump,sore,2
lump,ligament,1
lump,exercise,2
lump,fracture,1
lump,trauma,1
lump,confusion,1
lump,wisdom,2
lump,drainage,2
lump,carpal,1
lump,wrist,2
lump,burn,3
lump,antibiotic,1
lump,multiple,1
lump,scalp,1
lump,gonorrhea,1
lump,chlamydia,1
lump,urethra,1
lump,varicocele,1
lump,screening,1
lump,healing,3
lump,wound,1
lump,mammogram,2
lump,period,2
lump,molar,1
lump,swallow,1
lump,open,1
lump,buttocks,1
lump,drinking,2
lump,anxiety,2
lump,nervousness,1
lump,melanoma,2
lump,skull,1
lump,breast,3
lump,mastoiditis,1
lump,yeast,1
lump,splint,1
lump,masturbation,2
lump,menstrual,1
lump,hemmorhoid,1
lump,mucus,2
lump,urination,1
lump,lymphoma,1
lump,smell,2
lump,eyeball,1
lump,sleepiness,1
lump,fetus,1
lump,miscarriage,1
lump,itch,3
lump,sexually,3
lump,shaving,1
lump,ovarian,1
lump,hysterectomy,1
lump,hair,1
lump,stomach,2
lump,mole,1
lump,spider,1
lump,tightness,1
lump,pulse,1
lump,cholesterol,1
lump,tinnitus,1
lump,pore,1
lump,vaginal,1
lump,hernia,1
lump,pregnancy,1
lump,weakness,1
lump,infant,1
lump,almond,1
lump,foreskin,1
lump,nerve,1
lump,fuzziness,1
lump,urinalysis,1
lump,weight,1
lump,wart,1
