source,target,value
masturbation,urination,6
masturbation,premature,2
masturbation,forgetfulness,1
masturbation,brain,2
masturbation,impotence,2
masturbation,erection,22
masturbation,weakness,4
masturbation,hand,9
masturbation,period,7
masturbation,tampon,1
masturbation,vision,13
masturbation,paranoid,1
masturbation,condom,2
masturbation,kidney,1
masturbation,sexual,23
masturbation,ejaculation,30
masturbation,erectile,4
masturbation,pregnancy,14
masturbation,delayed,1
masturbation,healing,1
masturbation,penis,53
masturbation,urethra,3
masturbation,menopause,1
masturbation,pain,16
masturbation,thigh,1
masturbation,skin,8
masturbation,sting,1
masturbation,testicle,10
masturbation,confusion,1
masturbation,bipolar,1
masturbation,sadness,1
masturbation,workout,2
masturbation,orgasm,17
masturbation,vagina,15
masturbation,herpes,2
masturbation,anus,3
masturbation,tongue,1
masturbation,prostate,3
masturbation,hepatitis,1
masturbation,hepatitis,1
masturbation,sexually,1
masturbation,lip,1
masturbation,walnut,1
masturbation,head,6
masturbation,food,1
masturbation,sperm,5
masturbation,vein,1
masturbation,birth,1
masturbation,itch,4
masturbation,blister,2
masturbation,foreskin,7
masturbation,circumcision,2
masturbation,prostate,3
masturbation,prostate,1
masturbation,drinking,2
masturbation,diet,3
masturbation,sexual,1
masturbation,movement,3
masturbation,exercise,2
masturbation,morning,1
masturbation,finger,4
masturbation,sweating,2
masturbation,stress,2
masturbation,hormone,1
masturbation,drowsiness,1
masturbation,testosterone,2
masturbation,nervousness,2
masturbation,drug,1
masturbation,surgery,5
masturbation,balanitis,1
masturbation,chronic,1
masturbation,burn,4
masturbation,clitoris,1
masturbation,hiv,1
masturbation,mouth,2
masturbation,virus,1
masturbation,puffiness,1
masturbation,chlamydia,1
masturbation,blood,1
masturbation,anxiety,1
masturbation,anger,1
masturbation,pelvis,4
masturbation,lotion,1
masturbation,rash,2
masturbation,lump,2
masturbation,stitches,1
masturbation,testicular,1
masturbation,muscle,2
masturbation,snorer,2
masturbation,leg,1
masturbation,high,1
masturbation,fracture,1
masturbation,trauma,1
masturbation,smell,3
masturbation,family,1
masturbation,stomach,2
masturbation,stroke,2
masturbation,cuts,1
masturbation,circulation,1
masturbation,infertility,2
masturbation,tightness,1
masturbation,cancer,1
masturbation,antibiotic,2
masturbation,wart,1
masturbation,headache,1
masturbation,swelling,1
masturbation,nerve,1
masturbation,oil,1
masturbation,fear,1
masturbation,neurogenic,1
masturbation,typhoid,1
masturbation,hypospadias,1
masturbation,bladder,3
masturbation,massage,1
masturbation,chest,3
masturbation,walking,1
masturbation,spit,1
masturbation,libido,1
masturbation,weight,2
masturbation,hair,1
masturbation,emergency,1
masturbation,injury,1
masturbation,genital,1
masturbation,nightmare,1
masturbation,corpulence,1
