source,target,value
mouth,hand,18
mouth,foot,8
mouth,inhaler,2
mouth,taste,22
mouth,nose,11
mouth,radial,2
mouth,scar,2
mouth,wrinkle,2
mouth,dental,4
mouth,pain,28
mouth,tooth,16
mouth,genital,2
mouth,anus,1
mouth,acne,2
mouth,torso,2
mouth,skin,12
mouth,eyelid,1
mouth,shingles,2
mouth,allergy,2
mouth,sore,4
mouth,throat,17
mouth,lip,17
mouth,cold,8
mouth,cortisone,1
mouth,jaw,7
mouth,hearing,1
mouth,ears,13
mouth,movement,4
mouth,reaction,1
mouth,healing,3
mouth,cancer,5
mouth,skin,1
mouth,canker,4
mouth,over,1
mouth,zinc,1
mouth,garlic,1
mouth,eyes,6
mouth,numbness,1
mouth,walking,4
mouth,hand,1
mouth,anxiety,1
mouth,mucus,1
mouth,stress,1
mouth,pregnancy,14
mouth,headache,6
mouth,vitamin,1
mouth,food,6
mouth,thrush,5
mouth,herpes,3
mouth,sore,8
mouth,drinking,6
mouth,cereal,1
mouth,baby,4
mouth,rice,1
mouth,neck,6
mouth,blister,6
mouth,virus,4
mouth,wart,2
mouth,finger,5
mouth,ejaculation,6
mouth,pea,2
mouth,ulcer,3
mouth,emergency,2
mouth,cheekbones,1
mouth,amoxicillin,1
mouth,pregnancy,1
mouth,head,3
mouth,bruise,1
mouth,tenderness,1
mouth,swelling,6
mouth,nail,2
mouth,swallow,9
mouth,hallucination,1
mouth,burn,8
mouth,blood,1
mouth,heel,1
mouth,surgery,3
mouth,cough,3
mouth,spitting,1
mouth,injection,3
mouth,nerve,1
mouth,drowsiness,2
mouth,vision,5
mouth,wisdom,1
mouth,fever,4
mouth,thermometer,2
mouth,injury,1
mouth,stomach,6
mouth,weight,2
mouth,hot,1
mouth,leg,1
mouth,arm,4
mouth,heartburn,2
mouth,diarrhea,1
mouth,rash,3
mouth,rosacea,1
mouth,dog,1
mouth,fear,7
mouth,heart,2
mouth,heart,1
mouth,birth,1
mouth,period,5
mouth,intestine,2
mouth,nausea,2
mouth,spit,3
mouth,kidney,2
mouth,crohns,1
mouth,abscess,1
mouth,vein,1
mouth,eyebrow,2
mouth,muscle,2
mouth,weakness,3
mouth,sexual,3
mouth,tooth,1
mouth,yeast,4
mouth,chest,2
mouth,pacemaker,1
mouth,lymph,2
mouth,herpes,1
mouth,insomnia,1
mouth,attention,1
mouth,nostril,3
mouth,coldness,2
mouth,rhinitis,1
mouth,sinus,1
mouth,anger,1
mouth,multiple,1
mouth,personality,1
mouth,nasal,1
mouth,sinus,2
mouth,tinnitus,1
mouth,lump,2
mouth,antibiotic,4
mouth,tonsil,3
mouth,pear,1
mouth,genitalia,2
mouth,condom,4
mouth,vagina,9
mouth,jelly,1
mouth,tongue,12
mouth,hiv,4
mouth,clitoris,3
mouth,elbow,1
mouth,stitches,2
mouth,pink,1
mouth,digestive,1
mouth,biopsy,1
mouth,fatigue,2
mouth,drainage,1
mouth,nebulization,1
mouth,masturbation,2
mouth,runny,1
mouth,x,1
mouth,lockjaw,1
mouth,tetanus,1
mouth,penis,6
mouth,temperature,1
mouth,smoking,1
mouth,toddler,1
mouth,running,4
mouth,bowel,1
mouth,smell,3
mouth,urination,3
mouth,molar,1
mouth,pumpkin,1
mouth,seeds,1
mouth,obsessive,1
mouth,tick,1
mouth,tick,1
mouth,salt,2
mouth,seizure,1
mouth,mold,1
mouth,lemon,1
mouth,juice,1
mouth,lower,1
mouth,impetigo,3
mouth,grape,1
mouth,scalp,1
mouth,yeast,1
mouth,bad,1
mouth,sweating,1
mouth,dermatitis,1
mouth,sting,1
mouth,cyst,1
mouth,snorer,1
mouth,ear,1
mouth,dental,1
mouth,coconut,1
mouth,oil,1
mouth,vomit,2
mouth,hunger,1
mouth,asthma,1
mouth,pain,1
mouth,constipation,1
mouth,exercise,1
mouth,tightness,1
mouth,choking,1
mouth,sleep,1
mouth,trachea,1
mouth,bladder,1
mouth,teething,1
mouth,dizziness,1
mouth,diet,1
mouth,forehead,1
mouth,chlamydia,2
mouth,allergic,1
mouth,trauma,1
mouth,bacterium,2
mouth,corpulence,1
mouth,thyroid,1
mouth,cats,1
mouth,sperm,1
mouth,erosion,1
mouth,exposure,1
mouth,mint,1
mouth,learning,1
mouth,feeding,1
mouth,eating,1
mouth,dry,1
mouth,dehydration,1
mouth,fracture,1
mouth,ankle,1
mouth,sexually,1
mouth,leukoplakia,1
mouth,whitehead,1
