source,target,value
movement,brain,5
movement,family,10
movement,head,24
movement,pain,122
movement,ears,17
movement,ear,1
movement,shoulder,17
movement,surgery,3
movement,itch,6
movement,eyes,13
movement,birth,5
movement,period,13
movement,pregnancy,22
movement,penis,11
movement,testicle,7
movement,finger,12
movement,thumb,6
movement,leg,21
movement,kidney,4
movement,diet,9
movement,scoliosis,2
movement,height,2
movement,drinking,7
movement,consciousness,1
movement,mouth,4
movement,jaw,5
movement,hearing,1
movement,chest,13
movement,arm,15
movement,muscle,9
movement,tightness,6
movement,vein,1
movement,sleepiness,1
movement,back,10
movement,swelling,19
movement,anus,5
movement,nausea,7
movement,salt,1
movement,skin,18
movement,toe,5
movement,lip,3
movement,nose,1
movement,bruise,7
movement,sprain,2
movement,wrist,9
movement,blood,3
movement,insurance,6
movement,diarrhea,7
movement,bowel,11
movement,over,1
movement,hand,24
movement,edema,1
movement,diabetes,2
movement,neck,10
movement,lung,3
movement,heart,5
movement,cough,9
movement,ablation,1
movement,lightheadedness,3
movement,autism,2
movement,tenderness,4
movement,hot,2
movement,blood,4
movement,pulse,3
movement,temperature,2
movement,arthritis,5
movement,foot,19
movement,sore,2
movement,drug,1
movement,delusions,1
movement,paranoid,1
movement,virus,2
movement,walking,24
movement,stomach,28
movement,weight,6
movement,lump,14
movement,dizziness,12
movement,rash,6
movement,vision,30
movement,worm,6
movement,headache,4
movement,ribcage,3
movement,travel,3
movement,hemmorhoid,1
movement,flu,2
movement,fatigue,3
movement,oatmeal,1
movement,turkey,1
movement,urination,6
movement,ultrasound,4
movement,fetus,4
movement,baby,15
movement,coldness,7
movement,mucus,2
movement,rotator,2
movement,stress,5
movement,belly,4
movement,knee,12
movement,fever,3
movement,food,10
movement,hydrocortisone,1
movement,acetaminophen,1
movement,kidney,2
movement,colon,1
movement,vertigo,2
movement,pea,2
movement,depression,1
movement,antidepressant,2
movement,canker,1
movement,tongue,2
movement,ankle,3
movement,pressure,11
movement,injury,5
movement,blood,2
movement,abdominal,4
movement,miscarriage,2
movement,thigh,2
movement,colon,1
movement,blinking,2
movement,post,1
movement,sexual,6
movement,irregularity,2
movement,dog,6
movement,sexually,2
movement,weakness,1
movement,paraplegia,1
movement,fear,4
movement,gastric,1
movement,exercise,6
movement,bloating,3
movement,running,4
movement,burn,11
movement,sweating,1
movement,short,2
movement,bladder,2
movement,obesity,1
movement,osteoarthritis,1
movement,spider,2
movement,spine,2
movement,insulin,1
movement,injection,2
movement,big,2
movement,birth,2
movement,eyelid,1
movement,sty,1
movement,antibiotic,2
movement,tear,1
movement,little,1
movement,range,3
movement,x,2
movement,breast,7
movement,gender,1
movement,paralysis,1
movement,healing,1
movement,double,1
movement,femur,1
movement,tibia,1
movement,drowsiness,1
movement,throat,4
movement,ring,1
movement,pregnancy,1
movement,deformity,1
movement,uterus,1
movement,cyst,3
movement,ovary,2
movement,masturbation,3
movement,ejaculation,3
movement,orgasm,2
movement,pelvic,4
movement,polycystic,1
movement,penicillin,1
movement,stitches,1
movement,adrenal,1
movement,pituitary,1
movement,thyroid,1
movement,marijuana,2
movement,screening,2
movement,smoking,3
movement,bacterium,1
movement,anger,1
movement,fibromyalgia,1
movement,cats,4
movement,cartilage,1
movement,acne,1
movement,coma,1
movement,ammonia,2
movement,smell,4
movement,tinnitus,2
movement,toxic,1
movement,grip,1
movement,fracture,6
movement,mood,1
movement,carrot,1
movement,vegetable,1
movement,shoulder,4
movement,open,1
movement,jelly,1
movement,hemorrhoid,2
movement,vagina,6
movement,elbow,5
movement,thermometer,1
movement,rectum,1
movement,stroke,2
movement,night,1
movement,toddler,1
movement,cramps,4
movement,hives,1
movement,eyebrow,1
movement,workout,2
movement,blood,1
movement,pelvis,3
movement,borderline,1
movement,anxiety,1
movement,waist,1
movement,circumcision,1
movement,potassium,1
movement,liver,1
movement,cancer,1
movement,blood,1
movement,nervousness,1
movement,bronchitis,2
movement,numbness,4
movement,allergy,1
movement,pleurisy,1
movement,appendicitis,1
movement,swallow,1
movement,ibuprofen,1
movement,intestine,1
movement,flaxseed,1
movement,vomit,5
movement,hair,2
movement,condom,2
movement,scar,1
movement,hematoma,2
movement,meditation,2
movement,oxycodone,1
movement,pain,1
movement,scrotum,2
movement,broken,1
movement,second,2
movement,armpit,3
movement,colonoscopy,1
movement,parasite,1
movement,melanoma,1
movement,heartburn,1
movement,drug,1
movement,oxygen,3
movement,strep,1
movement,gonorrhea,1
movement,breast,1
movement,crying,2
movement,labor,1
movement,cervix,1
movement,motion,1
movement,newborn,1
movement,heat,1
movement,blister,1
movement,corpulence,1
movement,transcutaneous,1
movement,wound,2
movement,sperm,1
movement,constipation,2
movement,bone,1
movement,nerve,2
movement,supplement,2
movement,gastritis,1
movement,confusion,3
movement,fertility,1
movement,yeast,1
movement,restlessness,1
movement,spasm,1
movement,bow,1
movement,fruit,1
movement,sodium,1
movement,concussion,1
movement,orange,1
movement,tailbone,1
movement,rabies,1
movement,wrist,1
movement,ulcer,1
movement,tooth,1
movement,wisdom,1
movement,erection,1
movement,oil,1
movement,cold,1
movement,knee,2
movement,spinal,1
movement,sting,1
movement,painful,1
movement,ovulation,1
movement,spotting,1
movement,lymph,1
movement,migraine,1
movement,irritable,1
movement,aspirin,1
