source,target,value
muscle,exercise,21
muscle,cramps,13
muscle,vitamin,2
muscle,vagina,4
muscle,nerve,4
muscle,pain,65
muscle,multivitamin,1
muscle,back,6
muscle,naproxen,2
muscle,spasm,17
muscle,buttocks,2
muscle,drug,3
muscle,depression,3
muscle,anxiety,6
muscle,nausea,1
muscle,fibromyalgia,2
muscle,itch,2
muscle,workout,10
muscle,magnetic,2
muscle,forearm,5
muscle,multiple,1
muscle,dizziness,2
muscle,surgery,7
muscle,parkinsons,1
muscle,pelvic,2
muscle,drinking,2
muscle,fracture,1
muscle,fatigue,7
muscle,coldness,2
muscle,chest,14
muscle,pacemaker,1
muscle,pectoral,1
muscle,weight,16
muscle,injection,1
muscle,rash,2
muscle,spine,5
muscle,steroid,2
muscle,breast,2
muscle,arm,21
muscle,antibiotic,1
muscle,movement,9
muscle,tightness,10
muscle,neck,10
muscle,shoulder,9
muscle,leg,25
muscle,foot,7
muscle,shin,3
muscle,walking,17
muscle,cough,4
muscle,shoulder,4
muscle,vision,11
muscle,lip,1
muscle,eyes,3
muscle,nose,2
muscle,short,1
muscle,short,1
muscle,thyroid,1
muscle,range,1
muscle,sleepiness,1
muscle,weight,2
muscle,heart,5
muscle,stomach,6
muscle,stress,2
muscle,virus,2
muscle,milk,1
muscle,hand,15
muscle,wound,2
muscle,meal,3
muscle,food,4
muscle,ovary,2
muscle,ovulation,1
muscle,period,3
muscle,vertebra,1
muscle,lump,3
muscle,cancer,2
muscle,belly,2
muscle,organ,3
muscle,flu,2
muscle,height,1
muscle,running,10
muscle,ear,1
muscle,cephalexin,1
muscle,head,5
muscle,brain,2
muscle,tremor,2
muscle,ribcage,3
muscle,tenderness,1
muscle,travel,1
muscle,hysterectomy,2
muscle,thigh,7
muscle,urination,1
muscle,headache,5
muscle,blood,4
muscle,insulin,1
muscle,finger,2
muscle,toe,3
muscle,ejaculation,6
muscle,calf,4
muscle,sexual,3
muscle,fever,3
muscle,fear,1
muscle,family,2
muscle,amyotrophic,1
muscle,weight,4
muscle,lobectomy,1
muscle,healing,5
muscle,over,1
muscle,knee,8
muscle,injury,7
muscle,big,1
muscle,spinal,1
muscle,insurance,2
muscle,nipple,2
muscle,swelling,8
muscle,burn,4
muscle,blinking,1
muscle,sting,2
muscle,long,1
muscle,high,2
muscle,waist,2
muscle,kidney,1
muscle,bicep,2
muscle,numbness,4
muscle,smoking,1
muscle,femur,1
muscle,ligament,1
muscle,drowsiness,1
muscle,jaw,1
muscle,pressure,4
muscle,vein,1
muscle,weakness,8
muscle,vinegar,1
muscle,penis,3
muscle,sperm,1
muscle,protein,4
muscle,diet,4
muscle,calorie,2
muscle,gallbladder,2
muscle,diabetes,4
muscle,arthritis,2
muscle,birth,1
muscle,mouth,2
muscle,eyebrow,1
muscle,ears,4
muscle,bone,1
muscle,antidepressant,2
muscle,erection,2
muscle,liver,3
muscle,collarbone,1
muscle,cervix,1
muscle,slipped,1
muscle,supplement,2
muscle,insomnia,2
muscle,electrogastrogram,1
muscle,bacterium,1
muscle,stroke,1
muscle,soda,1
muscle,hernia,3
muscle,migraine,2
muscle,skull,1
muscle,thumb,1
muscle,cholesterol,2
muscle,niacin,1
muscle,pancreatitis,2
muscle,sinus,1
muscle,throat,3
muscle,hair,1
muscle,puberty,1
muscle,testosterone,3
muscle,pregnancy,2
muscle,sweating,4
muscle,tongue,1
muscle,tendon,2
muscle,elbow,7
muscle,osteoarthritis,1
muscle,tendonitis,1
muscle,trauma,1
muscle,circulation,1
muscle,potassium,1
muscle,lyme,1
muscle,bee,1
muscle,skin,5
muscle,blister,2
muscle,rotator,1
muscle,sprain,2
muscle,lactic,1
muscle,anal,1
muscle,hamstring,1
muscle,broken,1
muscle,healthy,2
muscle,salad,1
muscle,massage,3
muscle,masturbation,2
muscle,pelvis,3
muscle,snorer,2
muscle,intestine,1
muscle,bowel,1
muscle,inflammation,2
muscle,swallow,1
muscle,tonsil,1
muscle,physical,1
muscle,blood,1
muscle,painkiller,1
muscle,hives,1
muscle,vitamin,1
muscle,bladder,3
muscle,iron,1
muscle,hunger,1
muscle,pancreas,1
muscle,indigestion,1
muscle,acute,1
muscle,acetone,1
muscle,taste,1
muscle,urea,1
muscle,biopsy,1
muscle,autoimmune,1
muscle,primary,1
muscle,constipation,1
muscle,bruise,1
muscle,rectum,1
muscle,sphincter,1
muscle,sternum,2
muscle,panic,1
muscle,scar,2
muscle,grip,1
muscle,blood,1
muscle,ring,1
muscle,rice,1
muscle,low,1
muscle,salt,1
muscle,breast,1
muscle,restlessness,1
muscle,sciatica,1
muscle,puncture,1
muscle,tennis,1
muscle,lymph,2
muscle,carpal,1
muscle,reaction,1
muscle,testicle,2
muscle,tick,1
muscle,wrist,1
muscle,dog,1
muscle,aspirin,1
muscle,bladder,1
muscle,orgasm,1
muscle,melatonin,1
muscle,scalp,1
muscle,stem,1
muscle,smell,1
muscle,hiccup,1
muscle,cartilage,1
muscle,confusion,1
muscle,ankle,1
