source,target,value
nausea,vomit,35
nausea,over,1
nausea,prenatal,1
nausea,ginger,1
nausea,drug,4
nausea,fever,14
nausea,weakness,7
nausea,lightheadedness,7
nausea,dizziness,32
nausea,chest,4
nausea,stomach,55
nausea,muscle,1
nausea,depression,2
nausea,anxiety,9
nausea,b12,1
nausea,ibuprofen,2
nausea,food,3
nausea,acetaminophen,2
nausea,wine,1
nausea,running,3
nausea,spotting,13
nausea,vision,14
nausea,heartburn,5
nausea,heart,3
nausea,breast,19
nausea,bloating,14
nausea,surgery,3
nausea,lump,2
nausea,belly,6
nausea,pain,34
nausea,mood,2
nausea,fatigue,18
nausea,diarrhea,21
nausea,cramps,12
nausea,bowel,5
nausea,head,8
nausea,cyst,3
nausea,ovary,9
nausea,weight,5
nausea,period,44
nausea,stress,6
nausea,fish,1
nausea,drowsiness,12
nausea,niacin,1
nausea,oil,1
nausea,hunger,13
nausea,drinking,6
nausea,arm,4
nausea,platelet,1
nausea,food,13
nausea,craving,2
nausea,tooth,3
nausea,diabetes,2
nausea,celiac,1
nausea,insurance,3
nausea,pelvic,7
nausea,coldness,4
nausea,antibiotic,5
nausea,movement,7
nausea,anus,3
nausea,emergency,3
nausea,constipation,1
nausea,morphine,1
nausea,eyes,2
nausea,ovulation,5
nausea,sexual,14
nausea,intestine,3
nausea,pregnancy,49
nausea,irregularity,4
nausea,pregnancy,10
nausea,birth,11
nausea,pressure,6
nausea,gallbladder,4
nausea,shoulder,1
nausea,back,14
nausea,headache,38
nausea,exercise,1
nausea,sweating,6
nausea,thirst,1
nausea,ears,6
nausea,concussion,5
nausea,blood,4
nausea,abdominal,6
nausea,liver,5
nausea,cough,3
nausea,sinus,2
nausea,wisdom,2
nausea,morning,5
nausea,salivary,1
nausea,nose,2
nausea,aspirin,1
nausea,oatmeal,1
nausea,turkey,1
nausea,urination,4
nausea,pelvic,2
nausea,vaginal,1
nausea,migraine,3
nausea,neck,2
nausea,lymph,1
nausea,skin,2
nausea,vertigo,3
nausea,severe,1
nausea,gastroenteritis,2
nausea,painful,1
nausea,burn,3
nausea,healthy,1
nausea,ribcage,1
nausea,x,1
nausea,weight,2
nausea,antidepressant,1
nausea,leg,1
nausea,walking,5
nausea,fear,3
nausea,bipolar,1
nausea,suicide,1
nausea,hand,2
nausea,cat,1
nausea,birth,2
nausea,cranberry,1
nausea,flu,5
nausea,sore,1
nausea,strep,1
nausea,mouth,2
nausea,spit,1
nausea,meal,5
nausea,tinnitus,1
nausea,libido,1
nausea,cold,1
nausea,rash,2
nausea,tongue,1
nausea,kidney,1
nausea,flatulence,1
nausea,short,2
nausea,nipple,4
nausea,iron,1
nausea,anorexia,1
nausea,condom,1
nausea,numbness,1
nausea,throat,2
nausea,welt,1
nausea,sadness,1
nausea,blister,1
nausea,wound,1
nausea,mucus,4
nausea,post,1
nausea,conception,1
nausea,gastritis,1
nausea,endoscopy,1
nausea,breastfeed,1
nausea,vagina,2
nausea,dehydration,1
nausea,marijuana,1
nausea,chronic,1
nausea,appendix,2
nausea,smell,3
nausea,taste,3
nausea,electrogastrogram,1
nausea,occupational,1
nausea,hysterectomy,1
nausea,cervix,1
nausea,uterus,3
nausea,tenderness,4
nausea,milk,1
nausea,sleepiness,1
nausea,antibiotic,1
nausea,staph,1
nausea,diet,1
nausea,paranoid,1
nausea,inflammation,1
nausea,vasculitis,1
nausea,urinary,1
nausea,hernia,2
nausea,endometriosis,1
nausea,grief,1
nausea,virus,1
nausea,injection,1
nausea,ulcer,1
nausea,seizure,2
nausea,allergy,1
nausea,feeding,1
nausea,reflex,1
nausea,swallow,1
nausea,long,1
nausea,electrocution,1
nausea,family,1
nausea,appendicitis,1
nausea,drainage,2
nausea,swelling,4
nausea,foot,1
nausea,peripheral,1
nausea,tubal,1
nausea,makeup,1
nausea,oxycodone,1
nausea,pain,1
nausea,eating,1
nausea,exercise,1
nausea,rectum,2
nausea,alcohol,1
nausea,spasm,1
nausea,forgetfulness,1
nausea,sepsis,1
nausea,acute,1
nausea,pancreatitis,1
nausea,exposure,2
nausea,pancreatic,1
nausea,hot,1
nausea,drug,1
nausea,cirrhosis,1
nausea,smoking,1
nausea,consciousness,1
nausea,shoulder,1
nausea,ear,1
nausea,hiv,1
nausea,toddler,1
nausea,miscarriage,1
nausea,tightness,2
nausea,lumbar,1
nausea,infusion,1
nausea,heart,1
nausea,jaw,1
nausea,fibromyalgia,1
nausea,ventricular,1
nausea,thyroid,1
