source,target,value
neck,pain,86
neck,vitiligo,1
neck,aging,2
neck,over,3
neck,skin,14
neck,injury,5
neck,hyperpigmentation,1
neck,arm,28
neck,forehead,2
neck,ears,31
neck,psoriasis,2
neck,turkey,3
neck,hair,7
neck,fracture,1
neck,cold,1
neck,canker,1
neck,drug,3
neck,fibromyalgia,3
neck,swelling,22
neck,jaw,15
neck,tinnitus,4
neck,trauma,1
neck,insurance,7
neck,allergy,2
neck,shoulder,38
neck,plaque,1
neck,scalp,1
neck,dizziness,2
neck,running,4
neck,vertigo,6
neck,rash,6
neck,lymph,17
neck,head,54
neck,tonsil,2
neck,nerve,5
neck,knee,5
neck,sweating,8
neck,ear,2
neck,throat,13
neck,tooth,6
neck,hand,6
neck,shoulder,6
neck,spine,6
neck,heart,6
neck,exercise,1
neck,chest,24
neck,muscle,10
neck,tightness,5
neck,cough,7
neck,vision,15
neck,lump,6
neck,coldness,8
neck,pressure,7
neck,meningitis,1
neck,lumbar,2
neck,headache,25
neck,fatigue,3
neck,leg,11
neck,pea,2
neck,injection,1
neck,foot,5
neck,epidural,2
neck,hives,2
neck,steroid,1
neck,temperature,3
neck,migraine,7
neck,finger,7
neck,carpal,1
neck,surgery,5
neck,movement,10
neck,forearm,1
neck,armpit,1
neck,numbness,6
neck,brain,5
neck,blindness,1
neck,degenerative,2
neck,cervix,5
neck,healing,2
neck,vertebra,2
neck,puffiness,2
neck,wound,1
neck,exercise,2
neck,congestive,1
neck,walking,3
neck,bells,1
neck,tenderness,4
neck,thumb,2
neck,breast,2
neck,vomit,2
neck,adult,1
neck,acne,6
neck,mouth,6
neck,eyes,7
neck,gallbladder,1
neck,back,3
neck,belly,1
neck,nipple,1
neck,mole,2
neck,weight,3
neck,blister,3
neck,shingles,2
neck,nausea,2
neck,diabetes,4
neck,mucus,2
neck,ibuprofen,2
neck,pregnancy,2
neck,herniated,3
neck,fever,8
neck,sore,4
neck,lightheadedness,4
neck,drowsiness,2
neck,antibiotic,8
neck,mumps,1
neck,blood,1
neck,benign,1
neck,pinched,4
neck,shock,1
neck,bursitis,2
neck,sinus,5
neck,herniated,1
neck,paraplegia,1
neck,hoarseness,1
neck,cat,1
neck,x,1
neck,ear,1
neck,wrinkle,1
neck,stress,2
neck,thyroid,3
neck,anger,1
neck,nervousness,2
neck,short,4
neck,skull,5
neck,puncture,1
neck,sting,2
neck,burn,6
neck,crying,2
neck,torso,1
neck,confusion,1
neck,osteoarthritis,1
neck,swallow,4
neck,indigestion,1
neck,oxygen,1
neck,suicide,1
neck,cyst,4
neck,vaccination,1
neck,stomach,9
neck,toothache,2
neck,menopause,1
neck,height,1
neck,high,3
neck,drinking,3
neck,larynx,1
neck,benign,1
neck,palpitation,1
neck,ankle,1
neck,itch,1
neck,head,1
neck,wisdom,1
neck,penicillin,2
neck,brain,1
neck,anemia,1
neck,hiv,1
neck,post,1
neck,lung,1
neck,organ,2
neck,ribcage,1
neck,fine,1
neck,anesthesia,1
neck,pecan,1
neck,sprain,2
neck,elbow,2
neck,spasm,1
neck,blood,1
neck,scoliosis,1
neck,kidney,1
neck,kidney,1
neck,concentration,1
neck,blood,1
neck,birth,1
neck,period,2
neck,weight,1
neck,physical,1
neck,emergency,1
neck,acute,1
neck,obsessive,1
neck,asthma,1
neck,pneumonia,2
neck,irregularity,1
neck,smoking,1
neck,blood,1
neck,heart,1
neck,pulse,2
neck,depression,2
neck,lower,1
neck,metastasis,1
neck,cancer,6
neck,virus,1
neck,labor,1
neck,cellulitis,1
neck,tongue,2
neck,bowel,1
neck,irritable,1
neck,heart,1
neck,bundle,1
neck,tick,2
neck,flu,1
neck,weight,1
neck,cats,1
neck,cat,1
neck,vitamin,1
neck,pancreas,1
neck,coffee,1
neck,cortisone,2
neck,esophagus,1
neck,carotid,1
neck,tic,2
neck,bed,1
neck,sore,1
neck,thigh,1
neck,diabetic,1
neck,neuropathy,1
neck,stitches,1
neck,ultrasound,2
neck,contact,1
neck,hair,1
neck,motor,1
neck,tumor,1
neck,family,1
neck,circulation,1
neck,rotator,3
neck,mold,1
neck,massage,1
neck,lupus,1
neck,arthritis,3
neck,breastfeed,1
neck,hunger,1
neck,concussion,2
neck,skin,1
neck,yeast,1
neck,contusion,1
neck,attention,1
neck,salt,1
neck,gasoline,1
neck,allergic,1
neck,anxiety,1
neck,bulging,1
neck,knee,1
