source,target,value
nose,nostril,10
nose,running,12
nose,baby,3
nose,mouth,11
nose,epistaxis,9
nose,polyp,1
nose,sinus,9
nose,tooth,3
nose,acne,4
nose,adult,1
nose,skin,14
nose,fracture,1
nose,pore,2
nose,impetigo,3
nose,bacterium,4
nose,rash,3
nose,virus,3
nose,allergy,12
nose,sore,4
nose,throat,19
nose,drug,2
nose,coffee,1
nose,vision,9
nose,wheat,1
nose,crying,1
nose,stomach,4
nose,coldness,18
nose,temperature,2
nose,muscle,2
nose,movement,1
nose,lip,6
nose,eyes,22
nose,mucus,9
nose,anxiety,1
nose,taste,2
nose,cough,12
nose,chest,4
nose,head,11
nose,boil,2
nose,surgery,6
nose,eyebrow,3
nose,healing,2
nose,pain,15
nose,oxygen,2
nose,vagina,1
nose,yeast,1
nose,swelling,8
nose,ears,15
nose,biopsy,1
nose,thyroid,1
nose,hot,2
nose,sweating,2
nose,vomit,3
nose,bruise,4
nose,blood,4
nose,aspirin,3
nose,hydronephrosis,1
nose,headache,7
nose,stuffy,2
nose,ultrasound,1
nose,infant,1
nose,whooping,1
nose,injury,2
nose,lung,4
nose,over,3
nose,wart,1
nose,nausea,2
nose,fever,11
nose,swallow,2
nose,antibiotic,6
nose,period,4
nose,massage,1
nose,burn,5
nose,smell,6
nose,blood,3
nose,post,1
nose,low,1
nose,leg,3
nose,fatigue,2
nose,ear,2
nose,drowsiness,2
nose,separation,1
nose,high,1
nose,piercing,2
nose,heart,1
nose,aloe,1
nose,torso,1
nose,grief,1
nose,brain,3
nose,drainage,4
nose,flu,4
nose,tear,1
nose,lotion,1
nose,cavity,1
nose,pinworm,1
nose,walking,3
nose,sinus,4
nose,stroke,1
nose,talc,1
nose,chronic,1
nose,pneumonia,1
nose,nail,2
nose,hand,3
nose,mood,1
nose,bipolar,1
nose,stress,2
nose,cold,2
nose,cat,1
nose,hunger,2
nose,tightness,2
nose,supplement,1
nose,vitamin,1
nose,fear,3
nose,tonsil,1
nose,nasal,3
nose,injection,1
nose,hemangioma,1
nose,steroid,1
nose,thigh,2
nose,multivitamin,1
nose,urethra,1
nose,cartilage,3
nose,benign,1
nose,scar,2
nose,tumor,1
nose,miscarriage,1
nose,fertility,1
nose,ovulation,1
nose,wisdom,1
nose,nervousness,1
nose,tampon,1
nose,mushroom,1
nose,finger,1
nose,ostomy,1
nose,spit,1
nose,morning,1
nose,pregnancy,2
nose,spitting,1
nose,dog,4
nose,lupus,1
nose,arm,1
nose,numbness,1
nose,kidney,1
nose,circulation,1
nose,cholesterol,1
nose,tongue,1
nose,forehead,3
nose,insurance,1
nose,pressure,2
nose,food,1
nose,drinking,3
nose,cats,1
nose,methicillin,1
nose,sexual,1
nose,blister,2
nose,fingernail,1
nose,transfusion,1
nose,liver,1
nose,drug,1
nose,choking,1
nose,stretch,1
nose,thyroid,1
nose,runny,2
nose,strep,1
nose,concentration,1
nose,shingles,1
nose,breast,1
nose,type,1
nose,mold,1
nose,bronchitis,1
nose,asthma,1
nose,bloating,1
nose,osteoarthritis,1
nose,toe,1
nose,folliculitis,1
nose,dizziness,1
nose,blinking,1
nose,ibuprofen,1
nose,rabies,1
nose,adenoidectomy,1
nose,amoxicillin,1
nose,sunburn,1
nose,zinc,1
nose,trauma,1
nose,itch,1
nose,ear,1
nose,graft,1
nose,deviated,1
nose,blood,1
nose,pulse,1
nose,sore,1
nose,fruit,1
nose,diet,1
nose,vegetable,1
nose,scabies,1
