source,target,value
oil,heartburn,1
oil,soda,1
oil,fish,24
oil,over,3
oil,cooking,6
oil,allergy,2
oil,shellfish,2
oil,headache,1
oil,hair,5
oil,skin,2
oil,sunscreen,1
oil,omega,1
oil,st,1
oil,monoamine,1
oil,antidepressant,1
oil,flaxseed,2
oil,calcium,1
oil,vitamin,1
oil,niacin,1
oil,nausea,1
oil,drowsiness,1
oil,ears,2
oil,olive,10
oil,dry,1
oil,diabetes,2
oil,scalp,3
oil,folic,1
oil,bladder,1
oil,hand,1
oil,foot,1
oil,salad,1
oil,vinegar,1
oil,liver,1
oil,ileostomy,1
oil,fibrosis,1
oil,magnesium,1
oil,vitamin,2
oil,zinc,1
oil,multivitamin,1
oil,diet,2
oil,cuts,2
oil,iodine,1
oil,reaction,1
oil,healing,1
oil,cavity,1
oil,broken,1
oil,tooth,2
oil,food,4
oil,exposure,1
oil,chronic,1
oil,period,1
oil,running,1
oil,leg,2
oil,birthmark,1
oil,vision,3
oil,cholesterol,2
oil,blood,1
oil,triglyceride,1
oil,arm,1
oil,acne,1
oil,sunburn,1
oil,dermatitis,2
oil,aging,1
oil,wrinkle,1
oil,baby,2
oil,eyebrow,1
oil,castor,1
oil,lip,2
oil,diarrhea,1
oil,aspirin,1
oil,eyes,1
oil,coldness,1
oil,smell,1
oil,forehead,1
oil,sore,1
oil,plaque,1
oil,psoriasis,1
oil,consumption,1
oil,rectum,1
oil,asthma,1
oil,high,1
oil,blood,2
oil,flax,1
oil,pregnancy,1
oil,mouth,1
oil,coconut,2
oil,salad,1
oil,soy,1
oil,canola,1
oil,seeds,2
oil,lotion,1
oil,almond,1
oil,peanut,1
oil,nerve,1
oil,masturbation,1
oil,penis,2
oil,herpes,1
oil,cold,1
oil,paranoid,1
oil,geographic,1
oil,heart,1
oil,massage,1
oil,balanitis,1
oil,sexually,1
oil,urination,1
oil,peanut,1
oil,plant,1
oil,poison,1
oil,rash,1
oil,movement,1
oil,flu,1
oil,corn,1
oil,syrup,1
oil,pneumonia,1
oil,therapeutic,1
oil,drinking,1
oil,weight,1
oil,mucus,1
oil,hernia,1
oil,bloating,1
oil,tea,1
