source,target,value
over,diet,3
over,weight,2
over,drug,39
over,cats,1
over,allergy,4
over,diarrhea,5
over,constipation,2
over,nausea,1
over,vomit,2
over,vitamin,1
over,liver,2
over,ibuprofen,4
over,insomnia,1
over,pain,9
over,vision,5
over,acetaminophen,4
over,coldness,13
over,belch,1
over,baby,3
over,ear,1
over,diaper,1
over,heartburn,2
over,benzoyl,1
over,pregnancy,4
over,vitamin,1
over,prenatal,3
over,stomach,3
over,sinus,4
over,cold,2
over,healing,2
over,contact,1
over,infection,2
over,skin,8
over,restlessness,1
over,shingles,4
over,sting,2
over,headache,7
over,ulcer,1
over,drug,1
over,potassium,1
over,insurance,6
over,blood,1
over,oil,3
over,fish,2
over,neck,3
over,aging,2
over,hemorrhoid,1
over,atopic,1
over,flatulence,1
over,heel,1
over,foot,1
over,plantar,1
over,aids,1
over,drinking,4
over,coffee,1
over,tooth,3
over,injury,1
over,chest,3
over,adult,3
over,high,5
over,cholesterol,1
over,cough,7
over,birth,1
over,narcotic,1
over,thyroid,1
over,aspirin,3
over,cold,3
over,whooping,1
over,hydrocodone,1
over,injection,2
over,birth,1
over,scar,1
over,acne,3
over,nasal,2
over,steroid,3
over,lithium,1
over,post,1
over,antidepressant,1
over,diet,3
over,testosterone,4
over,folic,2
over,benign,1
over,tattoo,1
over,period,2
over,yeast,5
over,ovary,1
over,mood,1
over,hysterectomy,3
over,hormone,1
over,head,3
over,ears,2
over,rash,2
over,eyes,3
over,leg,2
over,dog,1
over,mouth,1
over,canker,1
over,taste,2
over,zinc,1
over,hydrogen,1
over,penicillin,1
over,wrist,1
over,food,2
over,ejaculation,1
over,vitamin,2
over,movement,1
over,bowel,2
over,diabetes,2
over,bacterium,1
over,poisoning,1
over,nose,3
over,wart,2
over,abdominal,1
over,surgery,4
over,abdominal,1
over,muscle,1
over,lobectomy,1
over,tongue,1
over,flu,1
over,hay,1
over,runny,2
over,multivitamin,1
over,stress,1
over,oxycodone,1
over,cranberry,1
over,sexual,2
over,walking,1
over,hives,2
over,allergic,1
over,fever,1
over,reaction,1
over,emergency,1
over,stitches,1
over,anxiety,1
over,panic,1
over,supplement,1
over,tea,1
over,pap,1
over,vagina,2
over,ectopic,1
over,pregnancy,1
over,migraine,1
over,swelling,3
over,arm,1
over,sunburn,1
over,genital,1
over,mucus,1
over,clitoris,1
over,urination,1
over,finger,1
over,anti,2
over,rheumatoid,2
over,tonsil,1
over,tonsillectomy,1
over,depression,1
over,sinus,1
over,smell,1
over,yeast,1
over,folliculitis,1
over,scalp,1
over,sodium,1
over,bruise,1
over,back,2
over,itch,1
over,ankle,1
over,knee,2
over,inflammation,1
over,heart,1
over,menopause,2
over,drug,1
over,sweating,2
over,trauma,1
over,tinnitus,1
over,thumb,1
over,bunion,1
over,hot,1
over,dermatitis,2
