source,target,value
ovulation,menstrual,2
ovulation,period,87
ovulation,ovary,4
ovulation,pregnancy,96
ovulation,ovulation,1
ovulation,sexual,47
ovulation,ejaculation,13
ovulation,cramps,10
ovulation,fertility,13
ovulation,confusion,4
ovulation,short,1
ovulation,vision,5
ovulation,irregularity,5
ovulation,surgery,1
ovulation,nausea,5
ovulation,lightheadedness,1
ovulation,birth,15
ovulation,muscle,1
ovulation,tightness,2
ovulation,pregnancy,9
ovulation,spotting,13
ovulation,folic,1
ovulation,drinking,1
ovulation,smoking,1
ovulation,breast,7
ovulation,painful,1
ovulation,hand,5
ovulation,abdominal,1
ovulation,fatigue,1
ovulation,dizziness,1
ovulation,exercise,1
ovulation,yoga,1
ovulation,baby,5
ovulation,tenderness,3
ovulation,nipple,2
ovulation,pain,7
ovulation,pelvic,2
ovulation,bowel,1
ovulation,taste,1
ovulation,sperm,3
ovulation,electrogastrogram,2
ovulation,birth,2
ovulation,injection,1
ovulation,depo,1
ovulation,mucus,1
ovulation,headache,1
ovulation,paranoid,1
ovulation,stress,2
ovulation,condom,5
ovulation,ovulation,2
ovulation,anus,1
ovulation,yeast,2
ovulation,nose,1
ovulation,miscarriage,1
ovulation,epistaxis,1
ovulation,vagina,2
ovulation,hair,1
ovulation,hair,1
ovulation,menopause,2
ovulation,head,1
ovulation,pressure,1
ovulation,sweating,1
ovulation,urination,1
ovulation,nerve,1
ovulation,blood,1
ovulation,stomachache,1
ovulation,estrogen,1
ovulation,back,2
ovulation,hysterectomy,1
ovulation,cervix,2
ovulation,polyp,1
ovulation,penis,4
ovulation,stomach,4
ovulation,hunger,1
ovulation,hormone,1
ovulation,cortisone,1
ovulation,bloating,1
ovulation,bacterium,1
ovulation,movement,1
ovulation,orgasm,1
ovulation,organ,1
ovulation,ovulation,1
ovulation,burn,1
ovulation,temperature,1
ovulation,tubal,1
